PSP|ZHA,|ZHA|CAN|PVG|SFO|PSP|
PSP|ZYI,|ZYI|PEK|SFO|PSP|
PSP|BAV,|BAV|SJW|DLC|ICN|SFO|PSP|
PSP|CJU,|CJU|DLC|ICN|SFO|PSP|
PSP|DSN,|DSN|CGO|PEK|SFO|PSP|
PSP|HMI,|HMI|CGO|PEK|SFO|PSP|
PSP|INC,|INC|PEK|SFO|PSP|
PSP|KHH,|KHH|WUH|ICN|SFO|PSP|
PSP|UYN,|UYN|CGO|PEK|SFO|PSP|
PSP|XNN,|XNN|PEK|SFO|PSP|
PSP|ZUH,|ZUH|PVG|SFO|PSP|
PSP|YNJ,|YNJ|ICN|SFO|PSP|
PSP|DAT,|DAT|CIH|PEK|SFO|PSP|
PSP|JHG,|JHG|CKG|PEK|SFO|PSP|
PSP|LJG,|LJG|CKG|PEK|SFO|PSP|
PSP|LXA,|LXA|XIY|PEK|SFO|PSP|
PSP|YCU,|YCU|CSX|ICN|SFO|PSP|
PSP|LZO,|LZO|CSX|ICN|SFO|PSP|
PSP|MDG,|MDG|ICN|SFO|PSP|
PSP|NGO,|NGO|ICN|SFO|PSP|
PSP|TOY,|TOY|DLC|ICN|SFO|PSP|
PSP|MFM,|MFM|HGH|DLC|ICN|SFO|PSP|
PSP|TGO,|TGO|HET|DLC|ICN|SFO|PSP|
PSP|XIL,|XIL|HET|DLC|ICN|SFO|PSP|
PSP|HEK,|HEK|HRB|ICN|SFO|PSP|
PSP|KIJ,|KIJ|HRB|ICN|SFO|PSP|
PSP|LDS,|LDS|HRB|ICN|SFO|PSP|
PSP|OHE,|OHE|HRB|ICN|SFO|PSP|
PSP|HSN,|HSN|PEK|SFO|PSP|
PSP|DLU,|DLU|KMG|PEK|SFO|PSP|
PSP|SYM,|SYM|KMG|PEK|SFO|PSP|
PSP|ZAT,|ZAT|KMG|PEK|SFO|PSP|
PSP|LUN,|LUN|NBO|ZRH|LAX|PSP|
PSP|AOG,|AOG|PEK|SFO|PSP|
PSP|GMP,|GMP|PEK|SFO|PSP|
PSP|ISB,|ISB|PEK|SFO|PSP|
PSP|TAS,|TAS|PEK|SFO|PSP|
PSP|WUS,|WUS|PEK|SFO|PSP|
PSP|JMU,|JMU|PVG|SFO|PSP|
PSP|NDG,|NDG|PVG|SFO|PSP|
PSP|JXA,|JXA|SHE|ICN|SFO|PSP|
PSP|PUS,|PUS|SHE|ICN|SFO|PSP|
PSP|BKI,|BKI|SZX|PVG|SFO|PSP|
PSP|AKU,|AKU|URC|PEK|SFO|PSP|
PSP|ALA,|ALA|URC|PEK|SFO|PSP|
PSP|ASB,|ASB|GYD|FRA|DEN|PSP|
PSP|DNH,|DNH|XIY|PEK|SFO|PSP|
PSP|DYU,|DYU|URC|PEK|SFO|PSP|
PSP|FRU,|FRU|URC|PEK|SFO|PSP|
PSP|GYD,|GYD|FRA|DEN|PSP|
PSP|HTN,|HTN|URC|PEK|SFO|PSP|
PSP|IKA,|IKA|SAW|FRA|DEN|PSP|
PSP|KCA,|KCA|URC|PEK|SFO|PSP|
PSP|KHG,|KHG|URC|PEK|SFO|PSP|
PSP|KRL,|KRL|URC|PEK|SFO|PSP|
PSP|KRY,|KRY|URC|PEK|SFO|PSP|
PSP|LBD,|LBD|URC|PEK|SFO|PSP|
PSP|NLT,|NLT|URC|PEK|SFO|PSP|
PSP|OSS,|OSS|URC|PEK|SFO|PSP|
PSP|OVB,|OVB|URC|PEK|SFO|PSP|
PSP|TBS,|TBS|SAW|FRA|DEN|PSP|
PSP|TCG,|TCG|URC|PEK|SFO|PSP|
PSP|TSE,|TSE|FRA|DEN|PSP|
PSP|YIN,|YIN|URC|PEK|SFO|PSP|
PSP|ENH,|ENH|WUH|ICN|SFO|PSP|
PSP|ENY,|ENY|XIY|PEK|SFO|PSP|
PSP|WXN,|WXN|XIY|PEK|SFO|PSP|
PSP|BLL,|BLL|IST|FRA|DEN|PSP|
PSP|ESB,|ESB|FRA|DEN|PSP|
PSP|SAW,|SAW|FRA|DEN|PSP|
PSP|HAM,|HAM|EWR|DEN|PSP|
PSP|HRE,|HRE|ADD|JED|FRA|DEN|PSP|
PSP|JUB,|JUB|CAI|IST|FRA|DEN|PSP|
PSP|SSG,|SSG|DLA|BRU|ORD|DEN|PSP|
PSP|BGW,|BGW|ESB|FRA|DEN|PSP|
PSP|EBL,|EBL|IST|FRA|DEN|PSP|
PSP|VKO,|VKO|IST|FRA|DEN|PSP|
PSP|MCT,|MCT|IST|FRA|DEN|PSP|
PSP|AYT,|AYT|IST|FRA|DEN|PSP|
PSP|SCQ,|SCQ|BIO|IST|FRA|DEN|PSP|
PSP|AAL,|AAL|IST|FRA|DEN|PSP|
PSP|AOE,|AOE|BRU|ORD|DEN|PSP|
PSP|JNB,|JNB|DKR|IAD|DEN|PSP|
PSP|LBV,|LBV|DLA|BRU|ORD|DEN|PSP|
PSP|ADA,|ADA|SAW|FRA|DEN|PSP|
PSP|ADB,|ADB|IST|FRA|DEN|PSP|
PSP|ADF,|ADF|ESB|FRA|DEN|PSP|
PSP|AJI,|AJI|ESB|FRA|DEN|PSP|
PSP|BAL,|BAL|ESB|FRA|DEN|PSP|
PSP|BJV,|BJV|IST|FRA|DEN|PSP|
PSP|CKZ,|CKZ|ESB|FRA|DEN|PSP|
PSP|DIY,|DIY|ESB|FRA|DEN|PSP|
PSP|ECN,|ECN|IST|FRA|DEN|PSP|
PSP|ERC,|ERC|ESB|FRA|DEN|PSP|
PSP|ERZ,|ERZ|ESB|FRA|DEN|PSP|
PSP|EZS,|EZS|ESB|FRA|DEN|PSP|
PSP|GNY,|GNY|ESB|FRA|DEN|PSP|
PSP|GZP,|GZP|ESB|FRA|DEN|PSP|
PSP|GZT,|GZT|ESB|FRA|DEN|PSP|
PSP|HTY,|HTY|SAW|FRA|DEN|PSP|
PSP|KCM,|KCM|ESB|FRA|DEN|PSP|
PSP|KSY,|KSY|ESB|FRA|DEN|PSP|
PSP|MLX,|MLX|ESB|FRA|DEN|PSP|
PSP|MQM,|MQM|ESB|FRA|DEN|PSP|
