CAN|KOA,|KOA|YVR|CAN|
CAN|LAR,|LAR|DEN|YVR|CAN|
CAN|LBB,|LBB|DEN|YVR|CAN|
CAN|LIH,|LIH|HNL|NRT|CAN|
CAN|LIT,|LIT|DEN|YVR|CAN|
CAN|LNK,|LNK|DEN|YVR|CAN|
CAN|MAF,|MAF|DEN|YVR|CAN|
CAN|MEM,|MEM|ORD|PEK|CAN|
CAN|MFR,|MFR|SFO|PVG|CAN|
CAN|MLI,|MLI|ORD|PEK|CAN|
CAN|MOT,|MOT|DEN|YVR|CAN|
CAN|MRY,|MRY|SFO|PVG|CAN|
CAN|MSN,|MSN|ORD|PEK|CAN|
CAN|MSO,|MSO|DEN|YVR|CAN|
CAN|MTJ,|MTJ|DEN|YVR|CAN|
