SXM|TAO,|TAO|DLC|PEK|EWR|SXM|
SXM|TEN,|TEN|PEK|EWR|SXM|
SXM|TNA,|TNA|DLC|PEK|EWR|SXM|
SXM|TPE,|TPE|PVG|EWR|SXM|
SXM|TSN,|TSN|DLC|PEK|EWR|SXM|
SXM|TXN,|TXN|DLC|PEK|EWR|SXM|
SXM|TYN,|TYN|DAT|CIH|PEK|EWR|SXM|
SXM|WNZ,|WNZ|CGO|PEK|EWR|SXM|
SXM|WUX,|WUX|CAN|PEK|EWR|SXM|
SXM|XFN,|XFN|XMN|PEK|EWR|SXM|
SXM|XIY,|XIY|PEK|EWR|SXM|
SXM|XUZ,|XUZ|LYG|HSN|PEK|EWR|SXM|
SXM|YIH,|YIH|CKG|PEK|EWR|SXM|
SXM|YIW,|YIW|PEK|EWR|SXM|
SXM|YNT,|YNT|SHE|PEK|EWR|SXM|
SXM|YNZ,|YNZ|DLC|PEK|EWR|SXM|
SXM|YTY,|YTY|DLC|PEK|EWR|SXM|
SXM|ZHA,|ZHA|CAN|PEK|EWR|SXM|
SXM|ZYI,|ZYI|PEK|EWR|SXM|
SXM|BAV,|BAV|CGO|PEK|EWR|SXM|
SXM|CJU,|CJU|DLC|PEK|EWR|SXM|
SXM|DSN,|DSN|CGO|PEK|EWR|SXM|
SXM|HMI,|HMI|URC|TSE|FRA|EWR|SXM|
SXM|INC,|INC|PEK|EWR|SXM|
SXM|KHH,|KHH|CGO|PEK|EWR|SXM|
SXM|UYN,|UYN|CGO|PEK|EWR|SXM|
SXM|XNN,|XNN|PEK|EWR|SXM|
SXM|ZUH,|ZUH|PEK|EWR|SXM|
SXM|YNJ,|YNJ|PEK|EWR|SXM|
SXM|DAT,|DAT|CIH|PEK|EWR|SXM|
SXM|JHG,|JHG|CKG|PEK|EWR|SXM|
SXM|LJG,|LJG|CKG|PEK|EWR|SXM|
SXM|LXA,|LXA|XIY|PEK|EWR|SXM|
SXM|YCU,|YCU|CSX|PEK|EWR|SXM|
SXM|LZO,|LZO|CSX|PEK|EWR|SXM|
SXM|MDG,|MDG|ICN|JFK|IAD|SXM|
SXM|NGO,|NGO|ICN|JFK|IAD|SXM|
SXM|TOY,|TOY|DLC|PEK|EWR|SXM|
SXM|MFM,|MFM|XMN|PEK|EWR|SXM|
SXM|TGO,|TGO|HET|DLC|PEK|EWR|SXM|
SXM|XIL,|XIL|HET|DLC|PEK|EWR|SXM|
SXM|HEK,|HEK|HRB|PEK|EWR|SXM|
SXM|KIJ,|KIJ|HRB|PEK|EWR|SXM|
SXM|LDS,|LDS|HRB|PEK|EWR|SXM|
SXM|OHE,|OHE|HRB|PEK|EWR|SXM|
SXM|HSN,|HSN|PEK|EWR|SXM|
SXM|DLU,|DLU|KMG|PEK|EWR|SXM|
SXM|SYM,|SYM|KMG|PEK|EWR|SXM|
SXM|ZAT,|ZAT|KMG|PEK|EWR|SXM|
SXM|LUN,|LUN|NBO|ZRH|EWR|SXM|
SXM|AOG,|AOG|PEK|EWR|SXM|
SXM|GMP,|GMP|PEK|EWR|SXM|
SXM|ISB,|ISB|IST|BHX|EWR|SXM|
SXM|TAS,|TAS|IST|BHX|EWR|SXM|
SXM|WUS,|WUS|PEK|EWR|SXM|
SXM|JMU,|JMU|PVG|EWR|SXM|
SXM|NDG,|NDG|PVG|EWR|SXM|
SXM|JXA,|JXA|SHE|PEK|EWR|SXM|
SXM|PUS,|PUS|SHE|PEK|EWR|SXM|
SXM|BKI,|BKI|SZX|PEK|EWR|SXM|
SXM|AKU,|AKU|URC|TSE|FRA|EWR|SXM|
SXM|ALA,|ALA|TSE|FRA|EWR|SXM|
SXM|ASB,|ASB|GYD|FRA|EWR|SXM|
SXM|DNH,|DNH|URC|TSE|FRA|EWR|SXM|
SXM|DYU,|DYU|IST|BHX|EWR|SXM|
SXM|FRU,|FRU|IST|BHX|EWR|SXM|
SXM|GYD,|GYD|FRA|EWR|SXM|
SXM|HTN,|HTN|URC|TSE|FRA|EWR|SXM|
SXM|IKA,|IKA|SAW|FRA|EWR|SXM|
SXM|KCA,|KCA|URC|TSE|FRA|EWR|SXM|
SXM|KHG,|KHG|URC|TSE|FRA|EWR|SXM|
SXM|KRL,|KRL|URC|TSE|FRA|EWR|SXM|
SXM|KRY,|KRY|URC|TSE|FRA|EWR|SXM|
SXM|LBD,|LBD|URC|TSE|FRA|EWR|SXM|
SXM|NLT,|NLT|URC|TSE|FRA|EWR|SXM|
SXM|OSS,|OSS|IST|BHX|EWR|SXM|
SXM|OVB,|OVB|IST|BHX|EWR|SXM|
SXM|TBS,|TBS|SAW|FRA|EWR|SXM|
SXM|TCG,|TCG|URC|TSE|FRA|EWR|SXM|
SXM|TSE,|TSE|FRA|EWR|SXM|
SXM|YIN,|YIN|URC|TSE|FRA|EWR|SXM|
SXM|ENH,|ENH|WUH|PEK|EWR|SXM|
SXM|ENY,|ENY|XIY|PEK|EWR|SXM|
SXM|WXN,|WXN|XIY|PEK|EWR|SXM|
SXM|BLL,|BLL|IST|BHX|EWR|SXM|
SXM|ESB,|ESB|FRA|EWR|SXM|
SXM|SAW,|SAW|FRA|EWR|SXM|
SXM|HAM,|HAM|EWR|SXM|
SXM|HRE,|HRE|ADD|JED|FRA|EWR|SXM|
SXM|JUB,|JUB|CAI|IST|BHX|EWR|SXM|
SXM|SSG,|SSG|DLA|BRU|EWR|SXM|
SXM|BGW,|BGW|ESB|FRA|EWR|SXM|
SXM|EBL,|EBL|IST|BHX|EWR|SXM|
SXM|VKO,|VKO|IST|BHX|EWR|SXM|
SXM|MCT,|MCT|IST|BHX|EWR|SXM|
SXM|AYT,|AYT|IST|BHX|EWR|SXM|
SXM|SCQ,|SCQ|BIO|IST|BHX|EWR|SXM|
SXM|AAL,|AAL|IST|BHX|EWR|SXM|
SXM|AOE,|AOE|BRU|EWR|SXM|
SXM|JNB,|JNB|DKR|IAD|SXM|
SXM|LBV,|LBV|DLA|BRU|EWR|SXM|
SXM|ADA,|ADA|SAW|FRA|EWR|SXM|
SXM|ADB,|ADB|HAM|EWR|SXM|
SXM|ADF,|ADF|ESB|FRA|EWR|SXM|
SXM|AJI,|AJI|ESB|FRA|EWR|SXM|
SXM|BAL,|BAL|ESB|FRA|EWR|SXM|
SXM|BJV,|BJV|IST|BHX|EWR|SXM|
SXM|CKZ,|CKZ|ESB|FRA|EWR|SXM|
SXM|DIY,|DIY|ESB|FRA|EWR|SXM|
SXM|ECN,|ECN|IST|BHX|EWR|SXM|
SXM|ERC,|ERC|ESB|FRA|EWR|SXM|
SXM|ERZ,|ERZ|ESB|FRA|EWR|SXM|
SXM|EZS,|EZS|ESB|FRA|EWR|SXM|
SXM|GNY,|GNY|ESB|FRA|EWR|SXM|
SXM|GZP,|GZP|ESB|FRA|EWR|SXM|
SXM|GZT,|GZT|ESB|FRA|EWR|SXM|
SXM|HTY,|HTY|SAW|FRA|EWR|SXM|
SXM|KCM,|KCM|ESB|FRA|EWR|SXM|
