SKG|CEC,|CEC|ACV|SMF|SEA|FRA|IST|SKG|
SKG|SMF,|SMF|SEA|FRA|IST|SKG|
SKG|CDR,|CDR|AIA|DEN|FRA|IST|SKG|
SKG|FMN,|FMN|DEN|FRA|IST|SKG|
SKG|JST,|JST|IAD|IST|SKG|
SKG|JHW,|JHW|CLE|YYZ|IST|SKG|
SKG|SHD,|SHD|IAD|IST|SKG|
SKG|PTY,|PTY|MIA|ZRH|IST|SKG|
SKG|FNA,|FNA|BRU|IST|SKG|
SKG|SXB,|SXB|BRU|IST|SKG|
SKG|ACV,|ACV|SMF|SEA|FRA|IST|SKG|
SKG|MGW,|MGW|IAD|IST|SKG|
SKG|ALB,|ALB|EWR|BHX|IST|SKG|
SKG|AUS,|AUS|ORD|IST|SKG|
SKG|BFD,|BFD|CLE|YYZ|IST|SKG|
SKG|BUF,|BUF|EWR|BHX|IST|SKG|
SKG|CHS,|CHS|EWR|BHX|IST|SKG|
SKG|DAY,|DAY|CLE|YYZ|IST|SKG|
SKG|DUJ,|DUJ|CLE|YYZ|IST|SKG|
SKG|ERI,|ERI|CLE|YYZ|IST|SKG|
SKG|FKL,|FKL|CLE|YYZ|IST|SKG|
SKG|FNT,|FNT|CLE|YYZ|IST|SKG|
SKG|GRR,|GRR|CLE|YYZ|IST|SKG|
SKG|GSP,|GSP|EWR|BHX|IST|SKG|
SKG|PBI,|PBI|EWR|BHX|IST|SKG|
SKG|PKB,|PKB|CLE|YYZ|IST|SKG|
SKG|RIC,|RIC|EWR|BHX|IST|SKG|
SKG|SDF,|SDF|CLE|YYZ|IST|SKG|
SKG|GUM,|GUM|FUK|ICN|IST|SKG|
SKG|WRL,|WRL|CYS|DEN|FRA|IST|SKG|
SKG|LBL,|SKG|
SKG|ABQ,|ABQ|DEN|FRA|IST|SKG|
