WUX|BRE,|BRE|IST|CAN|WUX|
WUX|BSL,|BSL|IST|CAN|WUX|
WUX|BSR,|BSR|IST|CAN|WUX|
WUX|BUD,|BUD|IST|CAN|WUX|
WUX|BUS,|BUS|IST|CAN|WUX|
WUX|CAI,|CAI|IST|CAN|WUX|
WUX|CGN,|CGN|IST|CAN|WUX|
WUX|CMN,|CMN|IST|CAN|WUX|
WUX|CND,|CND|IST|CAN|WUX|
WUX|DAR,|DAR|NBO|CAN|WUX|
WUX|DLM,|DLM|IST|CAN|WUX|
WUX|DMM,|DMM|IST|CAN|WUX|
WUX|DNK,|DNK|IST|CAN|WUX|
WUX|DNZ,|DNZ|IST|CAN|WUX|
WUX|DOK,|DOK|IST|CAN|WUX|
WUX|DUS,|DUS|IST|CAN|WUX|
WUX|EDI,|EDI|IST|CAN|WUX|
WUX|ELQ,|ELQ|IST|CAN|WUX|
WUX|FDH,|FDH|IST|CAN|WUX|
WUX|GOA,|GOA|IST|CAN|WUX|
WUX|GOT,|GOT|IST|CAN|WUX|
WUX|HAJ,|HAJ|IST|CAN|WUX|
WUX|HBE,|HBE|IST|CAN|WUX|
WUX|HEL,|HEL|IST|CAN|WUX|
WUX|HRG,|HRG|IST|CAN|WUX|
WUX|IFN,|IFN|IST|CAN|WUX|
WUX|ISE,|ISE|IST|CAN|WUX|
WUX|ISU,|ISU|IST|CAN|WUX|
WUX|JIB,|JIB|IST|CAN|WUX|
WUX|JRO,|JRO|IST|CAN|WUX|
WUX|KAN,|KAN|IST|CAN|WUX|
WUX|KBL,|KBL|IST|CAN|WUX|
WUX|KBP,|KBP|IST|CAN|WUX|
WUX|KFS,|KFS|IST|CAN|WUX|
WUX|KHI,|KHI|IST|CAN|WUX|
WUX|KIV,|KIV|IST|CAN|WUX|
WUX|KRT,|KRT|IST|CAN|WUX|
WUX|KSH,|KSH|IST|CAN|WUX|
WUX|KVD,|KVD|IST|CAN|WUX|
WUX|KWI,|KWI|IST|CAN|WUX|
WUX|KYA,|KYA|IST|CAN|WUX|
WUX|KZN,|KZN|IST|CAN|WUX|
WUX|KZR,|KZR|IST|CAN|WUX|
WUX|LED,|LED|IST|CAN|WUX|
WUX|LEJ,|LEJ|IST|CAN|WUX|
WUX|LGW,|LGW|IST|CAN|WUX|
WUX|LHE,|LHE|IST|CAN|WUX|
WUX|LIS,|LIS|IST|CAN|WUX|
WUX|LJU,|LJU|IST|CAN|WUX|
WUX|LOS,|LOS|IST|CAN|WUX|
WUX|LUX,|LUX|IST|CAN|WUX|
WUX|LWO,|LWO|IST|CAN|WUX|
WUX|LYS,|LYS|IST|CAN|WUX|
WUX|MAD,|MAD|IST|CAN|WUX|
WUX|MAN,|MAN|IST|CAN|WUX|
WUX|MED,|MED|IST|CAN|WUX|
WUX|MHD,|MHD|IST|CAN|WUX|
WUX|MLA,|MLA|IST|CAN|WUX|
WUX|MRS,|MRS|IST|CAN|WUX|
WUX|MSQ,|MSQ|IST|CAN|WUX|
WUX|MXP,|MXP|IST|CAN|WUX|
WUX|MZH,|MZH|IST|CAN|WUX|
WUX|MZR,|MZR|IST|CAN|WUX|
WUX|NAJ,|NAJ|IST|CAN|WUX|
WUX|NAV,|NAV|IST|CAN|WUX|
WUX|NCE,|NCE|IST|CAN|WUX|
WUX|NIM,|NIM|IST|CAN|WUX|
WUX|NJF,|NJF|IST|CAN|WUX|
WUX|NSI,|NSI|IST|CAN|WUX|
WUX|NUE,|NUE|IST|CAN|WUX|
WUX|ODS,|ODS|IST|CAN|WUX|
WUX|ORN,|ORN|IST|CAN|WUX|
WUX|OTP,|OTP|IST|CAN|WUX|
WUX|PRG,|PRG|IST|CAN|WUX|
WUX|PRN,|PRN|IST|CAN|WUX|
WUX|RIX,|RIX|IST|CAN|WUX|
WUX|ROV,|ROV|IST|CAN|WUX|
WUX|RTM,|RTM|IST|CAN|WUX|
WUX|RUH,|RUH|IST|CAN|WUX|
WUX|SAH,|SAH|IST|CAN|WUX|
WUX|SJJ,|SJJ|IST|CAN|WUX|
WUX|SKG,|SKG|IST|CAN|WUX|
WUX|SKP,|SKP|IST|CAN|WUX|
WUX|SSH,|SSH|IST|CAN|WUX|
WUX|STR,|STR|IST|CAN|WUX|
WUX|SVX,|SVX|IST|CAN|WUX|
WUX|SYZ,|SYZ|IST|CAN|WUX|
WUX|SZG,|SZG|IST|CAN|WUX|
WUX|TBZ,|TBZ|IST|CAN|WUX|
WUX|TGD,|TGD|IST|CAN|WUX|
WUX|TIA,|TIA|IST|CAN|WUX|
WUX|TIF,|TIF|IST|CAN|WUX|
WUX|TIP,|TIP|IST|CAN|WUX|
WUX|TLL,|TLL|IST|CAN|WUX|
WUX|TLS,|TLS|IST|CAN|WUX|
WUX|TRN,|TRN|IST|CAN|WUX|
WUX|TUN,|TUN|IST|CAN|WUX|
WUX|TXL,|TXL|IST|CAN|WUX|
WUX|UFA,|UFA|IST|CAN|WUX|
WUX|VAS,|VAS|IST|CAN|WUX|
WUX|VCE,|VCE|IST|CAN|WUX|
WUX|YNB,|YNB|IST|CAN|WUX|
WUX|ZAG,|ZAG|IST|CAN|WUX|
WUX|MGQ,|MGQ|JIB|IST|CAN|WUX|
WUX|CPT,|CPT|JNB|IST|CAN|WUX|
WUX|MBA,|MBA|JRO|IST|CAN|WUX|
WUX|NDJ,|NDJ|KAN|IST|CAN|WUX|
WUX|CMB,|CMB|MLE|CAN|WUX|
WUX|ADE,|ADE|SAH|IST|CAN|WUX|
WUX|ASF,|ASF|SAW|TBS|URC|CAN|WUX|
WUX|STW,|STW|SAW|TBS|URC|CAN|WUX|
WUX|LFW,|LFW|ABJ|OUA|NIM|IST|CAN|WUX|
WUX|CEC,|CEC|SFO|PVG|CAN|WUX|
WUX|SMF,|SMF|SFO|PVG|CAN|WUX|
WUX|CDR,|CDR|AIA|DEN|YVR|CAN|WUX|
WUX|FMN,|FMN|DEN|YVR|CAN|WUX|
WUX|JST,|JST|IAD|PEK|CAN|WUX|
WUX|JHW,|JHW|CLE|YYZ|PEK|CAN|WUX|
