PLS|HSN,|HSN|PEK|EWR|PLS|
PLS|DLU,|DLU|KMG|PEK|EWR|PLS|
PLS|SYM,|SYM|KMG|PEK|EWR|PLS|
PLS|ZAT,|ZAT|KMG|PEK|EWR|PLS|
PLS|LUN,|LUN|NBO|ZRH|EWR|PLS|
PLS|AOG,|AOG|PEK|EWR|PLS|
PLS|GMP,|GMP|PEK|EWR|PLS|
PLS|ISB,|ISB|IST|BHX|EWR|PLS|
PLS|TAS,|TAS|IST|BHX|EWR|PLS|
PLS|WUS,|WUS|PEK|EWR|PLS|
PLS|JMU,|JMU|PVG|YYZ|PLS|
PLS|NDG,|NDG|PVG|YYZ|PLS|
PLS|JXA,|JXA|SHE|PEK|EWR|PLS|
PLS|PUS,|PUS|SHE|PEK|EWR|PLS|
PLS|BKI,|BKI|SZX|PEK|EWR|PLS|
PLS|AKU,|AKU|URC|TSE|FRA|EWR|PLS|
PLS|ALA,|ALA|TSE|FRA|EWR|PLS|
PLS|ASB,|ASB|GYD|FRA|EWR|PLS|
PLS|DNH,|DNH|URC|TSE|FRA|EWR|PLS|
PLS|DYU,|DYU|IST|BHX|EWR|PLS|
PLS|FRU,|FRU|IST|BHX|EWR|PLS|
PLS|GYD,|GYD|FRA|EWR|PLS|
PLS|HTN,|HTN|URC|TSE|FRA|EWR|PLS|
PLS|IKA,|IKA|SAW|FRA|EWR|PLS|
PLS|KCA,|KCA|URC|TSE|FRA|EWR|PLS|
PLS|KHG,|KHG|URC|TSE|FRA|EWR|PLS|
PLS|KRL,|KRL|URC|TSE|FRA|EWR|PLS|
PLS|KRY,|KRY|URC|TSE|FRA|EWR|PLS|
PLS|LBD,|LBD|URC|TSE|FRA|EWR|PLS|
PLS|NLT,|NLT|URC|TSE|FRA|EWR|PLS|
PLS|OSS,|OSS|IST|BHX|EWR|PLS|
PLS|OVB,|OVB|IST|BHX|EWR|PLS|
PLS|TBS,|TBS|SAW|FRA|EWR|PLS|
PLS|TCG,|TCG|URC|TSE|FRA|EWR|PLS|
PLS|TSE,|TSE|FRA|EWR|PLS|
PLS|YIN,|YIN|URC|TSE|FRA|EWR|PLS|
PLS|ENH,|ENH|WUH|PEK|EWR|PLS|
PLS|ENY,|ENY|XIY|PEK|EWR|PLS|
PLS|WXN,|WXN|XIY|PEK|EWR|PLS|
PLS|BLL,|BLL|IST|BHX|EWR|PLS|
PLS|ESB,|ESB|FRA|EWR|PLS|
PLS|SAW,|SAW|FRA|EWR|PLS|
PLS|HAM,|HAM|EWR|PLS|
PLS|HRE,|HRE|ADD|JED|FRA|EWR|PLS|
PLS|JUB,|JUB|CAI|IST|BHX|EWR|PLS|
PLS|SSG,|SSG|DLA|BRU|EWR|PLS|
PLS|BGW,|BGW|ESB|FRA|EWR|PLS|
PLS|EBL,|EBL|IST|BHX|EWR|PLS|
PLS|VKO,|VKO|IST|BHX|EWR|PLS|
PLS|MCT,|MCT|IST|BHX|EWR|PLS|
PLS|AYT,|AYT|IST|BHX|EWR|PLS|
PLS|SCQ,|SCQ|BIO|IST|BHX|EWR|PLS|
PLS|AAL,|AAL|IST|BHX|EWR|PLS|
PLS|AOE,|AOE|BRU|EWR|PLS|
PLS|JNB,|JNB|DKR|IAD|EWR|PLS|
PLS|LBV,|LBV|DLA|BRU|EWR|PLS|
PLS|ADA,|ADA|SAW|FRA|EWR|PLS|
PLS|ADB,|ADB|HAM|EWR|PLS|
PLS|ADF,|ADF|ESB|FRA|EWR|PLS|
PLS|AJI,|AJI|ESB|FRA|EWR|PLS|
PLS|BAL,|BAL|ESB|FRA|EWR|PLS|
PLS|BJV,|BJV|IST|BHX|EWR|PLS|
PLS|CKZ,|CKZ|ESB|FRA|EWR|PLS|
PLS|DIY,|DIY|ESB|FRA|EWR|PLS|
PLS|ECN,|ECN|IST|BHX|EWR|PLS|
PLS|ERC,|ERC|ESB|FRA|EWR|PLS|
PLS|ERZ,|ERZ|ESB|FRA|EWR|PLS|
PLS|EZS,|EZS|ESB|FRA|EWR|PLS|
PLS|GNY,|GNY|ESB|FRA|EWR|PLS|
PLS|GZP,|GZP|ESB|FRA|EWR|PLS|
PLS|GZT,|GZT|ESB|FRA|EWR|PLS|
PLS|HTY,|HTY|SAW|FRA|EWR|PLS|
PLS|KCM,|KCM|ESB|FRA|EWR|PLS|
PLS|KSY,|KSY|ESB|FRA|EWR|PLS|
PLS|MLX,|MLX|ESB|FRA|EWR|PLS|
PLS|MQM,|MQM|ESB|FRA|EWR|PLS|
PLS|MSR,|MSR|ESB|FRA|EWR|PLS|
PLS|TEQ,|TEQ|ESB|FRA|EWR|PLS|
PLS|TZX,|TZX|ESB|FRA|EWR|PLS|
PLS|VAN,|VAN|ESB|FRA|EWR|PLS|
PLS|ULN,|ULN|FRU|IST|BHX|EWR|PLS|
PLS|HIJ,|HIJ|ICN|JFK|IAD|EWR|PLS|
PLS|VVO,|VVO|ICN|JFK|IAD|EWR|PLS|
PLS|ACC,|ACC|IST|BHX|EWR|PLS|
PLS|AER,|AER|IST|BHX|EWR|PLS|
PLS|AGP,|AGP|IST|BHX|EWR|PLS|
PLS|ALG,|ALG|IST|BHX|EWR|PLS|
PLS|AMM,|AMM|IST|BHX|EWR|PLS|
PLS|AQJ,|AQJ|IST|BHX|EWR|PLS|
PLS|ARN,|ARN|EWR|PLS|
PLS|ASR,|ASR|SAW|FRA|EWR|PLS|
PLS|ATH,|ATH|IST|BHX|EWR|PLS|
PLS|BAH,|BAH|IST|BHX|EWR|PLS|
PLS|BEG,|BEG|IST|BHX|EWR|PLS|
PLS|BEN,|BEN|IST|BHX|EWR|PLS|
PLS|BEY,|BEY|IST|BHX|EWR|PLS|
PLS|BHX,|BHX|EWR|PLS|
PLS|BIO,|BIO|IST|BHX|EWR|PLS|
PLS|BLQ,|BLQ|IST|BHX|EWR|PLS|
PLS|BOM,|BOM|EWR|PLS|
PLS|BRE,|BRE|IST|BHX|EWR|PLS|
PLS|BSL,|BSL|IST|BHX|EWR|PLS|
PLS|BSR,|BSR|IST|BHX|EWR|PLS|
