SAT|BEG,|BEG|IST|ORD|SAT|
SAT|BEN,|BEN|IST|ORD|SAT|
SAT|BEY,|BEY|IST|ORD|SAT|
SAT|BHX,|BHX|EWR|SAT|
SAT|BIO,|BIO|IST|ORD|SAT|
SAT|BLQ,|BLQ|IST|ORD|SAT|
SAT|BOM,|BOM|EWR|SAT|
SAT|BRE,|BRE|IST|ORD|SAT|
SAT|BSL,|BSL|IST|ORD|SAT|
SAT|BSR,|BSR|IST|ORD|SAT|
SAT|BUD,|BUD|IST|ORD|SAT|
SAT|BUS,|BUS|IST|ORD|SAT|
SAT|CAI,|CAI|JFK|IAD|SAT|
SAT|CGN,|CGN|IST|ORD|SAT|
SAT|CMN,|CMN|IST|ORD|SAT|
SAT|CND,|CND|IST|ORD|SAT|
SAT|DAR,|DAR|NBO|ZRH|YYZ|STL|SAT|
SAT|DLM,|DLM|IST|ORD|SAT|
SAT|DMM,|DMM|IST|ORD|SAT|
SAT|DNK,|DNK|IST|ORD|SAT|
SAT|DNZ,|DNZ|IST|ORD|SAT|
SAT|DOK,|DOK|IST|ORD|SAT|
SAT|DUS,|DUS|ORD|SAT|
SAT|EDI,|EDI|EWR|SAT|
SAT|ELQ,|ELQ|IST|ORD|SAT|
SAT|FDH,|FDH|IST|ORD|SAT|
SAT|GOA,|GOA|IST|ORD|SAT|
SAT|GOT,|GOT|BRU|ORD|SAT|
SAT|HAJ,|HAJ|BRU|ORD|SAT|
SAT|HBE,|HBE|IST|ORD|SAT|
SAT|HEL,|HEL|IST|ORD|SAT|
SAT|HRG,|HRG|IST|ORD|SAT|
SAT|IFN,|IFN|IST|ORD|SAT|
SAT|ISE,|ISE|IST|ORD|SAT|
SAT|ISU,|ISU|IST|ORD|SAT|
SAT|JIB,|JIB|IST|ORD|SAT|
SAT|JRO,|JRO|IST|ORD|SAT|
SAT|KAN,|KAN|IST|ORD|SAT|
SAT|KBL,|KBL|IST|ORD|SAT|
SAT|KBP,|KBP|IST|ORD|SAT|
SAT|KFS,|KFS|IST|ORD|SAT|
SAT|KHI,|KHI|IST|ORD|SAT|
SAT|KIV,|KIV|IST|ORD|SAT|
SAT|KRT,|KRT|IST|ORD|SAT|
SAT|KSH,|KSH|IST|ORD|SAT|
SAT|KVD,|KVD|IST|ORD|SAT|
SAT|KWI,|KWI|SAW|VIE|ORD|SAT|
SAT|KYA,|KYA|IST|ORD|SAT|
SAT|KZN,|KZN|IST|ORD|SAT|
SAT|KZR,|KZR|IST|ORD|SAT|
SAT|LED,|LED|VIE|ORD|SAT|
SAT|LEJ,|LEJ|IST|ORD|SAT|
SAT|LGW,|LGW|IST|ORD|SAT|
SAT|LHE,|LHE|IST|ORD|SAT|
SAT|LIS,|LIS|EWR|SAT|
SAT|LJU,|LJU|IST|ORD|SAT|
SAT|LOS,|LOS|IAH|SAT|
SAT|LUX,|LUX|IST|ORD|SAT|
SAT|LWO,|LWO|IST|ORD|SAT|
SAT|LYS,|LYS|IST|ORD|SAT|
SAT|MAD,|MAD|EWR|SAT|
SAT|MAN,|MAN|EWR|SAT|
SAT|MED,|MED|IST|ORD|SAT|
SAT|MHD,|MHD|IST|ORD|SAT|
SAT|MLA,|MLA|IST|ORD|SAT|
SAT|MRS,|MRS|IST|ORD|SAT|
SAT|MSQ,|MSQ|IST|ORD|SAT|
SAT|MXP,|MXP|EWR|SAT|
SAT|MZH,|MZH|IST|ORD|SAT|
SAT|MZR,|MZR|IST|ORD|SAT|
SAT|NAJ,|NAJ|IST|ORD|SAT|
SAT|NAV,|NAV|IST|ORD|SAT|
SAT|NCE,|NCE|IST|ORD|SAT|
SAT|NIM,|NIM|IST|ORD|SAT|
