ISE|MZH,|MZH|IST|ISE|
ISE|MZR,|MZR|IST|ISE|
ISE|NAJ,|NAJ|IST|ISE|
ISE|NAV,|NAV|IST|ISE|
ISE|NCE,|NCE|IST|ISE|
ISE|NIM,|NIM|IST|ISE|
ISE|NJF,|NJF|IST|ISE|
ISE|NSI,|NSI|IST|ISE|
ISE|NUE,|NUE|IST|ISE|
ISE|ODS,|ODS|IST|ISE|
ISE|ORN,|ORN|IST|ISE|
ISE|OTP,|OTP|IST|ISE|
ISE|PRG,|PRG|IST|ISE|
ISE|PRN,|PRN|IST|ISE|
ISE|RIX,|RIX|IST|ISE|
ISE|ROV,|ROV|IST|ISE|
ISE|RTM,|RTM|IST|ISE|
ISE|RUH,|RUH|IST|ISE|
ISE|SAH,|SAH|IST|ISE|
ISE|SJJ,|SJJ|IST|ISE|
ISE|SKG,|SKG|IST|ISE|
ISE|SKP,|SKP|IST|ISE|
ISE|SSH,|SSH|IST|ISE|
ISE|STR,|STR|IST|ISE|
ISE|SVX,|SVX|IST|ISE|
ISE|SYZ,|SYZ|IST|ISE|
ISE|SZG,|SZG|IST|ISE|
ISE|TBZ,|TBZ|IST|ISE|
ISE|TGD,|TGD|IST|ISE|
ISE|TIA,|TIA|IST|ISE|
ISE|TIF,|TIF|IST|ISE|
ISE|TIP,|TIP|IST|ISE|
ISE|TLL,|TLL|IST|ISE|
ISE|TLS,|TLS|IST|ISE|
ISE|TRN,|TRN|IST|ISE|
ISE|TUN,|TUN|IST|ISE|
ISE|TXL,|TXL|IST|ISE|
ISE|UFA,|UFA|IST|ISE|
ISE|VAS,|VAS|IST|ISE|
ISE|VCE,|VCE|IST|ISE|
ISE|YNB,|YNB|IST|ISE|
ISE|ZAG,|ZAG|IST|ISE|
ISE|MGQ,|MGQ|JIB|IST|ISE|
ISE|CPT,|CPT|JNB|IST|ISE|
ISE|MBA,|MBA|JRO|IST|ISE|
ISE|NDJ,|NDJ|KAN|IST|ISE|
ISE|CMB,|CMB|MLE|IST|ISE|
ISE|ADE,|ADE|SAH|IST|ISE|
ISE|ASF,|ASF|SAW|ADB|IST|ISE|
ISE|STW,|STW|SAW|ADB|IST|ISE|
ISE|LFW,|LFW|ABJ|OUA|NIM|IST|ISE|
ISE|CEC,|CEC|ACV|SMF|SEA|FRA|IST|ISE|
ISE|SMF,|SMF|SEA|FRA|IST|ISE|
ISE|CDR,|CDR|AIA|DEN|FRA|IST|ISE|
ISE|FMN,|FMN|DEN|FRA|IST|ISE|
ISE|JST,|JST|IAD|IST|ISE|
ISE|JHW,|JHW|CLE|YYZ|IST|ISE|
ISE|SHD,|SHD|IAD|IST|ISE|
ISE|PTY,|PTY|MIA|ZRH|IST|ISE|
ISE|FNA,|FNA|BRU|IST|ISE|
ISE|SXB,|SXB|BRU|IST|ISE|
ISE|ACV,|ACV|SMF|SEA|FRA|IST|ISE|
ISE|MGW,|MGW|IAD|IST|ISE|
ISE|ALB,|ALB|EWR|BHX|IST|ISE|
ISE|AUS,|AUS|ORD|IST|ISE|
ISE|BFD,|BFD|CLE|YYZ|IST|ISE|
ISE|BUF,|BUF|EWR|BHX|IST|ISE|
ISE|CHS,|CHS|EWR|BHX|IST|ISE|
ISE|DAY,|DAY|CLE|YYZ|IST|ISE|
ISE|DUJ,|DUJ|CLE|YYZ|IST|ISE|
ISE|ERI,|ERI|CLE|YYZ|IST|ISE|
ISE|FKL,|FKL|CLE|YYZ|IST|ISE|
ISE|FNT,|FNT|CLE|YYZ|IST|ISE|
ISE|GRR,|GRR|CLE|YYZ|IST|ISE|
ISE|GSP,|GSP|EWR|BHX|IST|ISE|
ISE|PBI,|PBI|EWR|BHX|IST|ISE|
ISE|PKB,|PKB|CLE|YYZ|IST|ISE|
ISE|RIC,|RIC|EWR|BHX|IST|ISE|
ISE|SDF,|SDF|CLE|YYZ|IST|ISE|
ISE|GUM,|GUM|FUK|ICN|IST|ISE|
ISE|WRL,|WRL|CYS|DEN|FRA|IST|ISE|
ISE|LBL,|ISE|
ISE|ABQ,|ABQ|DEN|FRA|IST|ISE|
