MEM|DUS,|DUS|EWR|MEM|
MEM|EDI,|EDI|EWR|MEM|
MEM|ELQ,|ELQ|IST|BHX|EWR|MEM|
MEM|FDH,|FDH|IST|BHX|EWR|MEM|
MEM|GOA,|GOA|IST|BHX|EWR|MEM|
MEM|GOT,|GOT|BRU|EWR|MEM|
MEM|HAJ,|HAJ|BRU|EWR|MEM|
MEM|HBE,|HBE|IST|BHX|EWR|MEM|
MEM|HEL,|HEL|IST|BHX|EWR|MEM|
MEM|HRG,|HRG|IST|BHX|EWR|MEM|
MEM|IFN,|IFN|IST|BHX|EWR|MEM|
MEM|ISE,|ISE|IST|BHX|EWR|MEM|
MEM|ISU,|ISU|IST|BHX|EWR|MEM|
MEM|JIB,|JIB|IST|BHX|EWR|MEM|
MEM|JRO,|JRO|IST|BHX|EWR|MEM|
MEM|KAN,|KAN|IST|BHX|EWR|MEM|
MEM|KBL,|KBL|IST|BHX|EWR|MEM|
MEM|KBP,|KBP|IST|BHX|EWR|MEM|
MEM|KFS,|KFS|IST|BHX|EWR|MEM|
MEM|KHI,|KHI|IST|BHX|EWR|MEM|
MEM|KIV,|KIV|IST|BHX|EWR|MEM|
MEM|KRT,|KRT|IST|BHX|EWR|MEM|
MEM|KSH,|KSH|IST|BHX|EWR|MEM|
MEM|KVD,|KVD|IST|BHX|EWR|MEM|
MEM|KWI,|KWI|SAW|FRA|EWR|MEM|
MEM|KYA,|KYA|IST|BHX|EWR|MEM|
MEM|KZN,|KZN|IST|BHX|EWR|MEM|
MEM|KZR,|KZR|IST|BHX|EWR|MEM|
MEM|LED,|LED|VIE|ORD|MEM|
MEM|LEJ,|LEJ|IST|BHX|EWR|MEM|
MEM|LGW,|LGW|IST|BHX|EWR|MEM|
MEM|LHE,|LHE|IST|BHX|EWR|MEM|
MEM|LIS,|LIS|EWR|MEM|
MEM|LJU,|LJU|IST|BHX|EWR|MEM|
MEM|LOS,|LOS|IAH|MEM|
MEM|LUX,|LUX|IST|BHX|EWR|MEM|
MEM|LWO,|LWO|IST|BHX|EWR|MEM|
MEM|LYS,|LYS|IST|BHX|EWR|MEM|
MEM|MAD,|MAD|EWR|MEM|
MEM|MAN,|MAN|EWR|MEM|
MEM|MED,|MED|IST|BHX|EWR|MEM|
MEM|MHD,|MHD|IST|BHX|EWR|MEM|
MEM|MLA,|MLA|IST|BHX|EWR|MEM|
MEM|MRS,|MRS|IST|BHX|EWR|MEM|
MEM|MSQ,|MSQ|IST|BHX|EWR|MEM|
MEM|MXP,|MXP|EWR|MEM|
MEM|MZH,|MZH|IST|BHX|EWR|MEM|
MEM|MZR,|MZR|IST|BHX|EWR|MEM|
MEM|NAJ,|NAJ|IST|BHX|EWR|MEM|
MEM|NAV,|NAV|IST|BHX|EWR|MEM|
MEM|NCE,|NCE|IST|BHX|EWR|MEM|
MEM|NIM,|NIM|IST|BHX|EWR|MEM|
MEM|NJF,|NJF|IST|BHX|EWR|MEM|
MEM|NSI,|NSI|BRU|EWR|MEM|
MEM|NUE,|NUE|IST|BHX|EWR|MEM|
MEM|ODS,|ODS|IST|BHX|EWR|MEM|
MEM|ORN,|ORN|IST|BHX|EWR|MEM|
MEM|OTP,|OTP|IST|BHX|EWR|MEM|
MEM|PRG,|PRG|BRU|EWR|MEM|
MEM|PRN,|PRN|IST|BHX|EWR|MEM|
MEM|RIX,|RIX|IST|BHX|EWR|MEM|
MEM|ROV,|ROV|IST|BHX|EWR|MEM|
MEM|RTM,|RTM|IST|BHX|EWR|MEM|
MEM|RUH,|RUH|IST|BHX|EWR|MEM|
MEM|SAH,|SAH|IST|BHX|EWR|MEM|
MEM|SJJ,|SJJ|IST|BHX|EWR|MEM|
MEM|SKG,|SKG|IST|BHX|EWR|MEM|
MEM|SKP,|SKP|IST|BHX|EWR|MEM|
MEM|SSH,|SSH|IST|BHX|EWR|MEM|
MEM|STR,|STR|EWR|MEM|
MEM|SVX,|SVX|IST|BHX|EWR|MEM|
MEM|SYZ,|SYZ|IST|BHX|EWR|MEM|
MEM|SZG,|SZG|IST|BHX|EWR|MEM|
MEM|TBZ,|TBZ|IST|BHX|EWR|MEM|
