ISU|LGW,|LGW|IST|ISU|
ISU|LHE,|LHE|IST|ISU|
ISU|LIS,|LIS|IST|ISU|
ISU|LJU,|LJU|IST|ISU|
ISU|LOS,|LOS|IST|ISU|
ISU|LUX,|LUX|IST|ISU|
ISU|LWO,|LWO|IST|ISU|
ISU|LYS,|LYS|IST|ISU|
ISU|MAD,|MAD|IST|ISU|
ISU|MAN,|MAN|IST|ISU|
ISU|MED,|MED|IST|ISU|
ISU|MHD,|MHD|IST|ISU|
ISU|MLA,|MLA|IST|ISU|
ISU|MRS,|MRS|IST|ISU|
ISU|MSQ,|MSQ|IST|ISU|
ISU|MXP,|MXP|IST|ISU|
ISU|MZH,|MZH|IST|ISU|
ISU|MZR,|MZR|IST|ISU|
ISU|NAJ,|NAJ|IST|ISU|
ISU|NAV,|NAV|IST|ISU|
ISU|NCE,|NCE|IST|ISU|
ISU|NIM,|NIM|IST|ISU|
ISU|NJF,|NJF|IST|ISU|
ISU|NSI,|NSI|IST|ISU|
ISU|NUE,|NUE|IST|ISU|
ISU|ODS,|ODS|IST|ISU|
ISU|ORN,|ORN|IST|ISU|
ISU|OTP,|OTP|IST|ISU|
ISU|PRG,|PRG|IST|ISU|
ISU|PRN,|PRN|IST|ISU|
ISU|RIX,|RIX|IST|ISU|
ISU|ROV,|ROV|IST|ISU|
ISU|RTM,|RTM|IST|ISU|
ISU|RUH,|RUH|IST|ISU|
ISU|SAH,|SAH|IST|ISU|
ISU|SJJ,|SJJ|IST|ISU|
ISU|SKG,|SKG|IST|ISU|
ISU|SKP,|SKP|IST|ISU|
ISU|SSH,|SSH|IST|ISU|
ISU|STR,|STR|IST|ISU|
ISU|SVX,|SVX|IST|ISU|
ISU|SYZ,|SYZ|IST|ISU|
ISU|SZG,|SZG|IST|ISU|
ISU|TBZ,|TBZ|IST|ISU|
ISU|TGD,|TGD|IST|ISU|
ISU|TIA,|TIA|IST|ISU|
ISU|TIF,|TIF|IST|ISU|
ISU|TIP,|TIP|IST|ISU|
ISU|TLL,|TLL|IST|ISU|
ISU|TLS,|TLS|IST|ISU|
ISU|TRN,|TRN|IST|ISU|
ISU|TUN,|TUN|IST|ISU|
ISU|TXL,|TXL|IST|ISU|
ISU|UFA,|UFA|IST|ISU|
ISU|VAS,|VAS|IST|ISU|
ISU|VCE,|VCE|IST|ISU|
ISU|YNB,|YNB|IST|ISU|
ISU|ZAG,|ZAG|IST|ISU|
ISU|MGQ,|MGQ|JIB|IST|ISU|
ISU|CPT,|CPT|JNB|IST|ISU|
ISU|MBA,|MBA|JRO|IST|ISU|
ISU|NDJ,|NDJ|KAN|IST|ISU|
ISU|CMB,|CMB|MLE|IST|ISU|
ISU|ADE,|ADE|SAH|IST|ISU|
ISU|ASF,|ASF|SAW|ADB|IST|ISU|
ISU|STW,|STW|SAW|ADB|IST|ISU|
ISU|LFW,|LFW|ABJ|OUA|NIM|IST|ISU|
ISU|CEC,|CEC|ACV|SMF|SEA|FRA|IST|ISU|
ISU|SMF,|SMF|SEA|FRA|IST|ISU|
ISU|CDR,|CDR|AIA|DEN|FRA|IST|ISU|
ISU|FMN,|FMN|DEN|FRA|IST|ISU|
ISU|JST,|JST|IAD|IST|ISU|
ISU|JHW,|JHW|CLE|YYZ|IST|ISU|
ISU|SHD,|SHD|IAD|IST|ISU|
ISU|PTY,|PTY|MIA|ZRH|IST|ISU|
ISU|FNA,|FNA|BRU|IST|ISU|
ISU|SXB,|SXB|BRU|IST|ISU|
ISU|ACV,|ACV|SMF|SEA|FRA|IST|ISU|
ISU|MGW,|MGW|IAD|IST|ISU|
ISU|ALB,|ALB|EWR|BHX|IST|ISU|
ISU|AUS,|AUS|ORD|IST|ISU|
ISU|BFD,|BFD|CLE|YYZ|IST|ISU|
ISU|BUF,|BUF|EWR|BHX|IST|ISU|
ISU|CHS,|CHS|EWR|BHX|IST|ISU|
ISU|DAY,|DAY|CLE|YYZ|IST|ISU|
ISU|DUJ,|DUJ|CLE|YYZ|IST|ISU|
ISU|ERI,|ERI|CLE|YYZ|IST|ISU|
ISU|FKL,|FKL|CLE|YYZ|IST|ISU|
ISU|FNT,|FNT|CLE|YYZ|IST|ISU|
ISU|GRR,|GRR|CLE|YYZ|IST|ISU|
ISU|GSP,|GSP|EWR|BHX|IST|ISU|
ISU|PBI,|PBI|EWR|BHX|IST|ISU|
ISU|PKB,|PKB|CLE|YYZ|IST|ISU|
ISU|RIC,|RIC|EWR|BHX|IST|ISU|
ISU|SDF,|SDF|CLE|YYZ|IST|ISU|
ISU|GUM,|GUM|FUK|ICN|IST|ISU|
ISU|WRL,|WRL|CYS|DEN|FRA|IST|ISU|
ISU|LBL,|ISU|
ISU|ABQ,|ABQ|DEN|FRA|IST|ISU|
