AMS|MCT,|MCT|IST|AMS|
AMS|AYT,|AYT|IST|AMS|
AMS|SCQ,|SCQ|BIO|IST|AMS|
AMS|AAL,|AAL|IST|AMS|
AMS|AOE,|AOE|BRU|IST|AMS|
AMS|JNB,|JNB|IST|AMS|
AMS|LBV,|LBV|DLA|IST|AMS|
AMS|ADA,|ADA|SAW|AMS|
AMS|ADB,|ADB|IST|AMS|
AMS|ADF,|ADF|ESB|SAW|AMS|
AMS|AJI,|AJI|IST|AMS|
AMS|BAL,|BAL|ESB|SAW|AMS|
AMS|BJV,|BJV|IST|AMS|
AMS|CKZ,|CKZ|ESB|SAW|AMS|
AMS|DIY,|DIY|SAW|AMS|
AMS|ECN,|ECN|IST|AMS|
AMS|ERC,|ERC|IST|AMS|
AMS|ERZ,|ERZ|SAW|AMS|
AMS|EZS,|EZS|SAW|AMS|
AMS|GNY,|GNY|ESB|SAW|AMS|
AMS|GZP,|GZP|ESB|SAW|AMS|
AMS|GZT,|GZT|SAW|AMS|
AMS|HTY,|HTY|SAW|AMS|
AMS|KCM,|KCM|IST|AMS|
AMS|KSY,|KSY|SAW|AMS|
AMS|MLX,|MLX|ESB|SAW|AMS|
AMS|MQM,|MQM|SAW|AMS|
AMS|MSR,|MSR|ESB|SAW|AMS|
AMS|TEQ,|TEQ|ESB|SAW|AMS|
AMS|TZX,|TZX|SAW|AMS|
AMS|VAN,|VAN|SAW|AMS|
AMS|ULN,|ULN|FRU|IST|AMS|
AMS|HIJ,|HIJ|ICN|PEK|AMS|
AMS|VVO,|VVO|ICN|PEK|AMS|
AMS|ACC,|ACC|IST|AMS|
AMS|AER,|AER|IST|AMS|
AMS|AGP,|AGP|IST|AMS|
AMS|ALG,|ALG|IST|AMS|
AMS|AMM,|AMM|IST|AMS|
AMS|AQJ,|AQJ|IST|AMS|
AMS|ARN,|ARN|IST|AMS|
AMS|ASR,|ASR|SAW|AMS|
AMS|ATH,|ATH|IST|AMS|
AMS|BAH,|BAH|IST|AMS|
AMS|BEG,|BEG|IST|AMS|
AMS|BEN,|BEN|IST|AMS|
AMS|BEY,|BEY|IST|AMS|
AMS|BHX,|BHX|IST|AMS|
AMS|BIO,|BIO|IST|AMS|
AMS|BLQ,|BLQ|IST|AMS|
AMS|BOM,|BOM|IST|AMS|
AMS|BRE,|BRE|IST|AMS|
AMS|BSL,|BSL|IST|AMS|
AMS|BSR,|BSR|IST|AMS|
AMS|BUD,|BUD|IST|AMS|
AMS|BUS,|BUS|IST|AMS|
AMS|CAI,|CAI|IST|AMS|
AMS|CGN,|CGN|IST|AMS|
AMS|CMN,|CMN|IST|AMS|
AMS|CND,|CND|IST|AMS|
AMS|DAR,|DAR|IST|AMS|
AMS|DLM,|DLM|IST|AMS|
AMS|DMM,|DMM|IST|AMS|
AMS|DNK,|DNK|IST|AMS|
AMS|DNZ,|DNZ|IST|AMS|
AMS|DOK,|DOK|IST|AMS|
AMS|DUS,|DUS|IST|AMS|
AMS|EDI,|EDI|IST|AMS|
AMS|ELQ,|ELQ|IST|AMS|
AMS|FDH,|FDH|IST|AMS|
AMS|GOA,|GOA|IST|AMS|
AMS|GOT,|GOT|IST|AMS|
AMS|HAJ,|HAJ|IST|AMS|
AMS|HBE,|HBE|IST|AMS|
AMS|HEL,|HEL|IST|AMS|
AMS|HRG,|HRG|IST|AMS|
AMS|IFN,|IFN|IST|AMS|
AMS|ISE,|ISE|IST|AMS|
AMS|ISU,|ISU|IST|AMS|
AMS|JIB,|JIB|IST|AMS|
AMS|JRO,|JRO|IST|AMS|
AMS|KAN,|KAN|IST|AMS|
AMS|KBL,|KBL|IST|AMS|
AMS|KBP,|KBP|IST|AMS|
AMS|KFS,|KFS|IST|AMS|
AMS|KHI,|KHI|IST|AMS|
AMS|KIV,|KIV|IST|AMS|
AMS|KRT,|KRT|IST|AMS|
AMS|KSH,|KSH|IST|AMS|
AMS|KVD,|KVD|IST|AMS|
AMS|KWI,|KWI|SAW|AMS|
AMS|KYA,|KYA|IST|AMS|
AMS|KZN,|KZN|IST|AMS|
AMS|KZR,|KZR|IST|AMS|
AMS|LED,|LED|IST|AMS|
AMS|LEJ,|LEJ|IST|AMS|
AMS|LGW,|LGW|IST|AMS|
AMS|LHE,|LHE|IST|AMS|
AMS|LIS,|LIS|IST|AMS|
AMS|LJU,|LJU|IST|AMS|
AMS|LOS,|LOS|IST|AMS|
AMS|LUX,|LUX|IST|AMS|
AMS|LWO,|LWO|IST|AMS|
AMS|LYS,|LYS|IST|AMS|
AMS|MAD,|MAD|IST|AMS|
AMS|MAN,|MAN|IST|AMS|
AMS|MED,|MED|IST|AMS|
AMS|MHD,|MHD|IST|AMS|
AMS|MLA,|MLA|IST|AMS|
AMS|MRS,|MRS|IST|AMS|
AMS|MSQ,|MSQ|IST|AMS|
AMS|MXP,|MXP|IST|AMS|
AMS|MZH,|MZH|IST|AMS|
AMS|MZR,|MZR|IST|AMS|
AMS|NAJ,|NAJ|IST|AMS|
AMS|NAV,|NAV|IST|AMS|
AMS|NCE,|NCE|IST|AMS|
AMS|NIM,|NIM|IST|AMS|
AMS|NJF,|NJF|IST|AMS|
AMS|NSI,|NSI|IST|AMS|
AMS|NUE,|NUE|IST|AMS|
AMS|ODS,|ODS|IST|AMS|
AMS|ORN,|ORN|IST|AMS|
AMS|OTP,|OTP|IST|AMS|
AMS|PRG,|PRG|IST|AMS|
AMS|PRN,|PRN|IST|AMS|
AMS|RIX,|RIX|IST|AMS|
AMS|ROV,|ROV|IST|AMS|
AMS|RTM,|RTM|IST|AMS|
AMS|RUH,|RUH|IST|AMS|
AMS|SAH,|SAH|IST|AMS|
AMS|SJJ,|SJJ|IST|AMS|
AMS|SKG,|SKG|IST|AMS|
AMS|SKP,|SKP|IST|AMS|
AMS|SSH,|SSH|IST|AMS|
AMS|STR,|STR|IST|AMS|
AMS|SVX,|SVX|IST|AMS|
AMS|SYZ,|SYZ|IST|AMS|
AMS|SZG,|SZG|IST|AMS|
AMS|TBZ,|TBZ|IST|AMS|
AMS|TGD,|TGD|IST|AMS|
AMS|TIA,|TIA|IST|AMS|
AMS|TIF,|TIF|IST|AMS|
AMS|TIP,|TIP|IST|AMS|
AMS|TLL,|TLL|VNO|CPH|AMS|
AMS|TLS,|TLS|IST|AMS|
AMS|TRN,|TRN|IST|AMS|
AMS|TUN,|TUN|IST|AMS|
AMS|TXL,|TXL|IST|AMS|
AMS|UFA,|UFA|IST|AMS|
AMS|VAS,|VAS|SAW|AMS|
AMS|VCE,|VCE|IST|AMS|
AMS|YNB,|YNB|IST|AMS|
AMS|ZAG,|ZAG|IST|AMS|
AMS|MGQ,|MGQ|JIB|IST|AMS|
AMS|CPT,|CPT|JNB|IST|AMS|
AMS|MBA,|MBA|JRO|IST|AMS|
AMS|NDJ,|NDJ|KAN|IST|AMS|
AMS|CMB,|CMB|MLE|IST|AMS|
AMS|ADE,|ADE|SAH|IST|AMS|
AMS|ASF,|ASF|SAW|AMS|
AMS|STW,|STW|SAW|AMS|
AMS|LFW,|LFW|ABJ|OUA|NIM|IST|AMS|
AMS|CEC,|CEC|ACV|SMF|ORD|AMS|
AMS|SMF,|SMF|ORD|AMS|
AMS|CDR,|CDR|AIA|DEN|ORD|AMS|
AMS|FMN,|FMN|DEN|ORD|AMS|
AMS|JST,|JST|IAD|AMS|
AMS|JHW,|JHW|CLE|EWR|AMS|
AMS|SHD,|SHD|IAD|AMS|
AMS|PTY,|PTY|EWR|AMS|
AMS|FNA,|FNA|BRU|IST|AMS|
AMS|SXB,|SXB|BRU|IST|AMS|
AMS|ACV,|ACV|SMF|ORD|AMS|
AMS|MGW,|MGW|IAD|AMS|
AMS|ALB,|ALB|EWR|AMS|
AMS|AUS,|AUS|ORD|AMS|
AMS|BFD,|BFD|CLE|EWR|AMS|
AMS|BUF,|BUF|EWR|AMS|
AMS|CHS,|CHS|EWR|AMS|
AMS|DAY,|DAY|EWR|AMS|
AMS|DUJ,|DUJ|CLE|EWR|AMS|
AMS|ERI,|ERI|CLE|EWR|AMS|
AMS|FKL,|FKL|CLE|EWR|AMS|
AMS|FNT,|FNT|CLE|EWR|AMS|
AMS|GRR,|GRR|ORD|AMS|
AMS|GSP,|GSP|EWR|AMS|
AMS|PBI,|PBI|EWR|AMS|
AMS|PKB,|PKB|CLE|EWR|AMS|
AMS|RIC,|RIC|EWR|AMS|
AMS|SDF,|SDF|EWR|AMS|
AMS|GUM,|GUM|FUK|ICN|PEK|AMS|
AMS|WRL,|WRL|CYS|DEN|ORD|AMS|
AMS|LBL,|AMS|
AMS|ABQ,|ABQ|ORD|AMS|
AMS|AIA,|AIA|DEN|ORD|AMS|
AMS|ALS,|ALS|DEN|ORD|AMS|
AMS|AMA,|AMA|DAL|STL|ORD|AMS|
AMS|ANC,|ANC|ORD|AMS|
AMS|ASE,|ASE|DEN|ORD|AMS|
AMS|BFL,|BFL|DEN|ORD|AMS|
AMS|BHM,|BHM|BWI|EWR|AMS|
AMS|BIL,|BIL|DEN|ORD|AMS|
AMS|BIS,|BIS|DEN|ORD|AMS|
AMS|BOI,|BOI|ORD|AMS|
AMS|BUR,|BUR|LAS|ORD|AMS|
AMS|BZN,|BZN|ORD|AMS|
AMS|CID,|CID|ORD|AMS|
AMS|COD,|COD|DEN|ORD|AMS|
AMS|COS,|COS|ORD|AMS|
AMS|CPR,|CPR|DEN|ORD|AMS|
AMS|CYS,|CYS|DEN|ORD|AMS|
AMS|DIK,|DIK|DEN|ORD|AMS|
AMS|DRO,|DRO|DEN|ORD|AMS|
AMS|DSM,|DSM|ORD|AMS|
AMS|EGE,|EGE|DEN|ORD|AMS|
AMS|ELP,|ELP|DAL|STL|ORD|AMS|
AMS|EUG,|EUG|PDX|ORD|AMS|
AMS|FAR,|FAR|ORD|AMS|
AMS|FAT,|FAT|DEN|ORD|AMS|
AMS|FCA,|FCA|DEN|ORD|AMS|
AMS|FSD,|FSD|ORD|AMS|
AMS|GCC,|GCC|DEN|ORD|AMS|
AMS|GEG,|GEG|DEN|ORD|AMS|
AMS|GJT,|GJT|DEN|ORD|AMS|
AMS|GTF,|GTF|DEN|ORD|AMS|
AMS|GUC,|GUC|DEN|ORD|AMS|
AMS|HDN,|HDN|DEN|ORD|AMS|
AMS|HLN,|HLN|DEN|ORD|AMS|
AMS|HSV,|HSV|IAD|AMS|
AMS|ICT,|ICT|ORD|AMS|
AMS|IDA,|IDA|DEN|ORD|AMS|
AMS|ISN,|ISN|DEN|ORD|AMS|
AMS|JAC,|JAC|DEN|ORD|AMS|
AMS|KOA,|KOA|SFO|ORD|AMS|
