AUA|SCQ,|SCQ|BIO|IST|BHX|EWR|AUA|
AUA|AAL,|AAL|IST|BHX|EWR|AUA|
AUA|AOE,|AOE|BRU|EWR|AUA|
AUA|JNB,|JNB|DKR|IAD|AUA|
AUA|LBV,|LBV|DLA|BRU|EWR|AUA|
AUA|ADA,|ADA|SAW|FRA|EWR|AUA|
AUA|ADB,|ADB|HAM|EWR|AUA|
AUA|ADF,|ADF|ESB|FRA|EWR|AUA|
AUA|AJI,|AJI|ESB|FRA|EWR|AUA|
AUA|BAL,|BAL|ESB|FRA|EWR|AUA|
AUA|BJV,|BJV|IST|BHX|EWR|AUA|
AUA|CKZ,|CKZ|ESB|FRA|EWR|AUA|
AUA|DIY,|DIY|ESB|FRA|EWR|AUA|
AUA|ECN,|ECN|IST|BHX|EWR|AUA|
AUA|ERC,|ERC|ESB|FRA|EWR|AUA|
AUA|ERZ,|ERZ|ESB|FRA|EWR|AUA|
AUA|EZS,|EZS|ESB|FRA|EWR|AUA|
AUA|GNY,|GNY|ESB|FRA|EWR|AUA|
AUA|GZP,|GZP|ESB|FRA|EWR|AUA|
AUA|GZT,|GZT|ESB|FRA|EWR|AUA|
AUA|HTY,|HTY|SAW|FRA|EWR|AUA|
AUA|KCM,|KCM|ESB|FRA|EWR|AUA|
AUA|KSY,|KSY|ESB|FRA|EWR|AUA|
AUA|MLX,|MLX|ESB|FRA|EWR|AUA|
AUA|MQM,|MQM|ESB|FRA|EWR|AUA|
AUA|MSR,|MSR|ESB|FRA|EWR|AUA|
AUA|TEQ,|TEQ|ESB|FRA|EWR|AUA|
AUA|TZX,|TZX|ESB|FRA|EWR|AUA|
AUA|VAN,|VAN|ESB|FRA|EWR|AUA|
AUA|ULN,|ULN|FRU|IST|BHX|EWR|AUA|
AUA|HIJ,|HIJ|ICN|JFK|IAD|AUA|
AUA|VVO,|VVO|ICN|JFK|IAD|AUA|
AUA|ACC,|ACC|IST|BHX|EWR|AUA|
AUA|AER,|AER|IST|BHX|EWR|AUA|
AUA|AGP,|AGP|IST|BHX|EWR|AUA|
AUA|ALG,|ALG|IST|BHX|EWR|AUA|
AUA|AMM,|AMM|IST|BHX|EWR|AUA|
AUA|AQJ,|AQJ|IST|BHX|EWR|AUA|
AUA|ARN,|ARN|EWR|AUA|
AUA|ASR,|ASR|SAW|FRA|EWR|AUA|
AUA|ATH,|ATH|IST|BHX|EWR|AUA|
AUA|BAH,|BAH|IST|BHX|EWR|AUA|
AUA|BEG,|BEG|IST|BHX|EWR|AUA|
AUA|BEN,|BEN|IST|BHX|EWR|AUA|
AUA|BEY,|BEY|IST|BHX|EWR|AUA|
AUA|BHX,|BHX|EWR|AUA|
AUA|BIO,|BIO|IST|BHX|EWR|AUA|
AUA|BLQ,|BLQ|IST|BHX|EWR|AUA|
AUA|BOM,|BOM|EWR|AUA|
AUA|BRE,|BRE|IST|BHX|EWR|AUA|
AUA|BSL,|BSL|IST|BHX|EWR|AUA|
AUA|BSR,|BSR|IST|BHX|EWR|AUA|
AUA|BUD,|BUD|IST|BHX|EWR|AUA|
AUA|BUS,|BUS|IST|BHX|EWR|AUA|
AUA|CAI,|CAI|JFK|IAD|AUA|
AUA|CGN,|CGN|IST|BHX|EWR|AUA|
AUA|CMN,|CMN|IST|BHX|EWR|AUA|
AUA|CND,|CND|IST|BHX|EWR|AUA|
AUA|DAR,|DAR|NBO|ZRH|EWR|AUA|
AUA|DLM,|DLM|IST|BHX|EWR|AUA|
AUA|DMM,|DMM|IST|BHX|EWR|AUA|
AUA|DNK,|DNK|IST|BHX|EWR|AUA|
AUA|DNZ,|DNZ|IST|BHX|EWR|AUA|
AUA|DOK,|DOK|IST|BHX|EWR|AUA|
AUA|DUS,|DUS|EWR|AUA|
AUA|EDI,|EDI|EWR|AUA|
AUA|ELQ,|ELQ|IST|BHX|EWR|AUA|
AUA|FDH,|FDH|IST|BHX|EWR|AUA|
AUA|GOA,|GOA|IST|BHX|EWR|AUA|
AUA|GOT,|GOT|BRU|EWR|AUA|
AUA|HAJ,|HAJ|BRU|EWR|AUA|
AUA|HBE,|HBE|IST|BHX|EWR|AUA|
AUA|HEL,|HEL|IST|BHX|EWR|AUA|
AUA|HRG,|HRG|IST|BHX|EWR|AUA|
AUA|IFN,|IFN|IST|BHX|EWR|AUA|
AUA|ISE,|ISE|IST|BHX|EWR|AUA|
AUA|ISU,|ISU|IST|BHX|EWR|AUA|
AUA|JIB,|JIB|IST|BHX|EWR|AUA|
AUA|JRO,|JRO|IST|BHX|EWR|AUA|
AUA|KAN,|KAN|IST|BHX|EWR|AUA|
AUA|KBL,|KBL|IST|BHX|EWR|AUA|
AUA|KBP,|KBP|IST|BHX|EWR|AUA|
AUA|KFS,|KFS|IST|BHX|EWR|AUA|
AUA|KHI,|KHI|IST|BHX|EWR|AUA|
AUA|KIV,|KIV|IST|BHX|EWR|AUA|
AUA|KRT,|KRT|IST|BHX|EWR|AUA|
AUA|KSH,|KSH|IST|BHX|EWR|AUA|
AUA|KVD,|KVD|IST|BHX|EWR|AUA|
AUA|KWI,|KWI|SAW|FRA|EWR|AUA|
AUA|KYA,|KYA|IST|BHX|EWR|AUA|
AUA|KZN,|KZN|IST|BHX|EWR|AUA|
AUA|KZR,|KZR|IST|BHX|EWR|AUA|
AUA|LED,|LED|VIE|IAD|AUA|
AUA|LEJ,|LEJ|IST|BHX|EWR|AUA|
AUA|LGW,|LGW|IST|BHX|EWR|AUA|
AUA|LHE,|LHE|IST|BHX|EWR|AUA|
AUA|LIS,|LIS|EWR|AUA|
AUA|LJU,|LJU|IST|BHX|EWR|AUA|
AUA|LOS,|LOS|FRA|EWR|AUA|
AUA|LUX,|LUX|IST|BHX|EWR|AUA|
AUA|LWO,|LWO|IST|BHX|EWR|AUA|
AUA|LYS,|LYS|IST|BHX|EWR|AUA|
AUA|MAD,|MAD|EWR|AUA|
AUA|MAN,|MAN|EWR|AUA|
AUA|MED,|MED|IST|BHX|EWR|AUA|
AUA|MHD,|MHD|IST|BHX|EWR|AUA|
AUA|MLA,|MLA|IST|BHX|EWR|AUA|
AUA|MRS,|MRS|IST|BHX|EWR|AUA|
AUA|MSQ,|MSQ|IST|BHX|EWR|AUA|
AUA|MXP,|MXP|EWR|AUA|
AUA|MZH,|MZH|IST|BHX|EWR|AUA|
AUA|MZR,|MZR|IST|BHX|EWR|AUA|
AUA|NAJ,|NAJ|IST|BHX|EWR|AUA|
AUA|NAV,|NAV|IST|BHX|EWR|AUA|
AUA|NCE,|NCE|IST|BHX|EWR|AUA|
AUA|NIM,|NIM|IST|BHX|EWR|AUA|
AUA|NJF,|NJF|IST|BHX|EWR|AUA|
AUA|NSI,|NSI|BRU|EWR|AUA|
AUA|NUE,|NUE|IST|BHX|EWR|AUA|
AUA|ODS,|ODS|IST|BHX|EWR|AUA|
AUA|ORN,|ORN|IST|BHX|EWR|AUA|
AUA|OTP,|OTP|IST|BHX|EWR|AUA|
AUA|PRG,|PRG|BRU|EWR|AUA|
AUA|PRN,|PRN|IST|BHX|EWR|AUA|
AUA|RIX,|RIX|IST|BHX|EWR|AUA|
AUA|ROV,|ROV|IST|BHX|EWR|AUA|
AUA|RTM,|RTM|IST|BHX|EWR|AUA|
AUA|RUH,|RUH|IST|BHX|EWR|AUA|
AUA|SAH,|SAH|IST|BHX|EWR|AUA|
AUA|SJJ,|SJJ|IST|BHX|EWR|AUA|
AUA|SKG,|SKG|IST|BHX|EWR|AUA|
AUA|SKP,|SKP|IST|BHX|EWR|AUA|
AUA|SSH,|SSH|IST|BHX|EWR|AUA|
AUA|STR,|STR|EWR|AUA|
AUA|SVX,|SVX|IST|BHX|EWR|AUA|
AUA|SYZ,|SYZ|IST|BHX|EWR|AUA|
AUA|SZG,|SZG|IST|BHX|EWR|AUA|
AUA|TBZ,|TBZ|IST|BHX|EWR|AUA|
AUA|TGD,|TGD|IST|BHX|EWR|AUA|
AUA|TIA,|TIA|IST|BHX|EWR|AUA|
AUA|TIF,|TIF|IST|BHX|EWR|AUA|
AUA|TIP,|TIP|IST|BHX|EWR|AUA|
AUA|TLL,|TLL|VNO|CPH|AMS|EWR|AUA|
