LIM|LHE,|LHE|IST|ZRH|MIA|LIM|
LIM|LIS,|LIS|MIA|LIM|
LIM|LJU,|LJU|IST|ZRH|MIA|LIM|
LIM|LOS,|LOS|IAH|LIM|
LIM|LUX,|LUX|IST|ZRH|MIA|LIM|
LIM|LWO,|LWO|IST|ZRH|MIA|LIM|
LIM|LYS,|LYS|IST|ZRH|MIA|LIM|
LIM|MAD,|MAD|EWR|LIM|
LIM|MAN,|MAN|EWR|LIM|
LIM|MED,|MED|IST|ZRH|MIA|LIM|
LIM|MHD,|MHD|IST|ZRH|MIA|LIM|
LIM|MLA,|MLA|IST|ZRH|MIA|LIM|
LIM|MRS,|MRS|IST|ZRH|MIA|LIM|
LIM|MSQ,|MSQ|IST|ZRH|MIA|LIM|
LIM|MXP,|MXP|EWR|LIM|
LIM|MZH,|MZH|IST|ZRH|MIA|LIM|
LIM|MZR,|MZR|IST|ZRH|MIA|LIM|
LIM|NAJ,|NAJ|IST|ZRH|MIA|LIM|
LIM|NAV,|NAV|IST|ZRH|MIA|LIM|
LIM|NCE,|NCE|IST|ZRH|MIA|LIM|
LIM|NIM,|NIM|IST|ZRH|MIA|LIM|
LIM|NJF,|NJF|IST|ZRH|MIA|LIM|
LIM|NSI,|NSI|BRU|EWR|LIM|
LIM|NUE,|NUE|IST|ZRH|MIA|LIM|
LIM|ODS,|ODS|IST|ZRH|MIA|LIM|
LIM|ORN,|ORN|IST|ZRH|MIA|LIM|
LIM|OTP,|OTP|IST|ZRH|MIA|LIM|
LIM|PRG,|PRG|BRU|EWR|LIM|
LIM|PRN,|PRN|IST|ZRH|MIA|LIM|
LIM|RIX,|RIX|IST|ZRH|MIA|LIM|
LIM|ROV,|ROV|IST|ZRH|MIA|LIM|
LIM|RTM,|RTM|IST|ZRH|MIA|LIM|
LIM|RUH,|RUH|IST|ZRH|MIA|LIM|
LIM|SAH,|SAH|IST|ZRH|MIA|LIM|
LIM|SJJ,|SJJ|IST|ZRH|MIA|LIM|
LIM|SKG,|SKG|IST|ZRH|MIA|LIM|
LIM|SKP,|SKP|IST|ZRH|MIA|LIM|
LIM|SSH,|SSH|IST|ZRH|MIA|LIM|
LIM|STR,|STR|EWR|LIM|
LIM|SVX,|SVX|IST|ZRH|MIA|LIM|
