SNA|DYU,|DYU|URC|PEK|SFO|SNA|
SNA|FRU,|FRU|URC|PEK|SFO|SNA|
SNA|GYD,|GYD|FRA|DEN|SNA|
SNA|HTN,|HTN|URC|PEK|SFO|SNA|
SNA|IKA,|IKA|SAW|FRA|DEN|SNA|
SNA|KCA,|KCA|URC|PEK|SFO|SNA|
SNA|KHG,|KHG|URC|PEK|SFO|SNA|
SNA|KRL,|KRL|URC|PEK|SFO|SNA|
SNA|KRY,|KRY|URC|PEK|SFO|SNA|
SNA|LBD,|LBD|URC|PEK|SFO|SNA|
SNA|NLT,|NLT|URC|PEK|SFO|SNA|
SNA|OSS,|OSS|URC|PEK|SFO|SNA|
SNA|OVB,|OVB|URC|PEK|SFO|SNA|
SNA|TBS,|TBS|SAW|FRA|DEN|SNA|
SNA|TCG,|TCG|URC|PEK|SFO|SNA|
SNA|TSE,|TSE|FRA|DEN|SNA|
SNA|YIN,|YIN|URC|PEK|SFO|SNA|
SNA|ENH,|ENH|WUH|ICN|SFO|SNA|
SNA|ENY,|ENY|XIY|PEK|SFO|SNA|
SNA|WXN,|WXN|XIY|PEK|SFO|SNA|
SNA|BLL,|BLL|IST|FRA|DEN|SNA|
SNA|ESB,|ESB|FRA|DEN|SNA|
SNA|SAW,|SAW|FRA|DEN|SNA|
SNA|HAM,|HAM|EWR|SNA|
SNA|HRE,|HRE|ADD|JED|FRA|DEN|SNA|
SNA|JUB,|JUB|CAI|IST|FRA|DEN|SNA|
SNA|SSG,|SSG|DLA|BRU|ORD|SNA|
SNA|BGW,|BGW|ESB|FRA|DEN|SNA|
SNA|EBL,|EBL|IST|FRA|DEN|SNA|
SNA|VKO,|VKO|IST|FRA|DEN|SNA|
SNA|MCT,|MCT|IST|FRA|DEN|SNA|
SNA|AYT,|AYT|IST|FRA|DEN|SNA|
SNA|SCQ,|SCQ|BIO|IST|FRA|DEN|SNA|
SNA|AAL,|AAL|IST|FRA|DEN|SNA|
SNA|AOE,|AOE|BRU|ORD|SNA|
SNA|JNB,|JNB|DKR|IAD|LAS|SNA|
SNA|LBV,|LBV|DLA|BRU|ORD|SNA|
SNA|ADA,|ADA|SAW|FRA|DEN|SNA|
SNA|ADB,|ADB|IST|FRA|DEN|SNA|
SNA|ADF,|ADF|ESB|FRA|DEN|SNA|
SNA|AJI,|AJI|ESB|FRA|DEN|SNA|
SNA|BAL,|BAL|ESB|FRA|DEN|SNA|
SNA|BJV,|BJV|IST|FRA|DEN|SNA|
SNA|CKZ,|CKZ|ESB|FRA|DEN|SNA|
SNA|DIY,|DIY|ESB|FRA|DEN|SNA|
SNA|ECN,|ECN|IST|FRA|DEN|SNA|
SNA|ERC,|ERC|ESB|FRA|DEN|SNA|
SNA|ERZ,|ERZ|ESB|FRA|DEN|SNA|
SNA|EZS,|EZS|ESB|FRA|DEN|SNA|
SNA|GNY,|GNY|ESB|FRA|DEN|SNA|
SNA|GZP,|GZP|ESB|FRA|DEN|SNA|
SNA|GZT,|GZT|ESB|FRA|DEN|SNA|
SNA|HTY,|HTY|SAW|FRA|DEN|SNA|
SNA|KCM,|KCM|ESB|FRA|DEN|SNA|
SNA|KSY,|KSY|ESB|FRA|DEN|SNA|
SNA|MLX,|MLX|ESB|FRA|DEN|SNA|
SNA|MQM,|MQM|ESB|FRA|DEN|SNA|
SNA|MSR,|MSR|ESB|FRA|DEN|SNA|
SNA|TEQ,|TEQ|ESB|FRA|DEN|SNA|
SNA|TZX,|TZX|ESB|FRA|DEN|SNA|
SNA|VAN,|VAN|ESB|FRA|DEN|SNA|
SNA|ULN,|ULN|FRU|URC|PEK|SFO|SNA|
SNA|HIJ,|HIJ|ICN|SFO|SNA|
SNA|VVO,|VVO|ICN|SFO|SNA|
SNA|ACC,|ACC|IST|FRA|DEN|SNA|
SNA|AER,|AER|IST|FRA|DEN|SNA|
SNA|AGP,|AGP|IST|FRA|DEN|SNA|
SNA|ALG,|ALG|IST|FRA|DEN|SNA|
SNA|AMM,|AMM|IST|FRA|DEN|SNA|
SNA|AQJ,|AQJ|IST|FRA|DEN|SNA|
SNA|ARN,|ARN|EWR|SNA|
SNA|ASR,|ASR|SAW|FRA|DEN|SNA|
SNA|ATH,|ATH|IST|FRA|DEN|SNA|
SNA|BAH,|BAH|IST|FRA|DEN|SNA|
SNA|BEG,|BEG|IST|FRA|DEN|SNA|
SNA|BEN,|BEN|IST|FRA|DEN|SNA|
SNA|BEY,|BEY|IST|FRA|DEN|SNA|
SNA|BHX,|BHX|EWR|SNA|
SNA|BIO,|BIO|IST|FRA|DEN|SNA|
SNA|BLQ,|BLQ|IST|FRA|DEN|SNA|
SNA|BOM,|BOM|IST|FRA|DEN|SNA|
SNA|BRE,|BRE|IST|FRA|DEN|SNA|
SNA|BSL,|BSL|IST|FRA|DEN|SNA|
SNA|BSR,|BSR|IST|FRA|DEN|SNA|
SNA|BUD,|BUD|IST|FRA|DEN|SNA|
SNA|BUS,|BUS|IST|FRA|DEN|SNA|
SNA|CAI,|CAI|IST|FRA|DEN|SNA|
SNA|CGN,|CGN|IST|FRA|DEN|SNA|
SNA|CMN,|CMN|IST|FRA|DEN|SNA|
SNA|CND,|CND|IST|FRA|DEN|SNA|
SNA|DAR,|DAR|NBO|ZRH|ORD|SNA|
SNA|DLM,|DLM|IST|FRA|DEN|SNA|
SNA|DMM,|DMM|IST|FRA|DEN|SNA|
SNA|DNK,|DNK|IST|FRA|DEN|SNA|
SNA|DNZ,|DNZ|IST|FRA|DEN|SNA|
SNA|DOK,|DOK|IST|FRA|DEN|SNA|
SNA|DUS,|DUS|ORD|SNA|
SNA|EDI,|EDI|EWR|SNA|
SNA|ELQ,|ELQ|IST|FRA|DEN|SNA|
SNA|FDH,|FDH|IST|FRA|DEN|SNA|
SNA|GOA,|GOA|IST|FRA|DEN|SNA|
SNA|GOT,|GOT|BRU|ORD|SNA|
SNA|HAJ,|HAJ|BRU|ORD|SNA|
SNA|HBE,|HBE|IST|FRA|DEN|SNA|
SNA|HEL,|HEL|IST|FRA|DEN|SNA|
SNA|HRG,|HRG|IST|FRA|DEN|SNA|
SNA|IFN,|IFN|IST|FRA|DEN|SNA|
SNA|ISE,|ISE|IST|FRA|DEN|SNA|
SNA|ISU,|ISU|IST|FRA|DEN|SNA|
SNA|JIB,|JIB|IST|FRA|DEN|SNA|
SNA|JRO,|JRO|IST|FRA|DEN|SNA|
SNA|KAN,|KAN|IST|FRA|DEN|SNA|
SNA|KBL,|KBL|IST|FRA|DEN|SNA|
SNA|KBP,|KBP|IST|FRA|DEN|SNA|
SNA|KFS,|KFS|IST|FRA|DEN|SNA|
