LEX|TEQ,|TEQ|ESB|VIE|ORD|LEX|
LEX|TZX,|TZX|ESB|VIE|ORD|LEX|
LEX|VAN,|VAN|ESB|VIE|ORD|LEX|
LEX|ULN,|ULN|FRU|IST|ORD|LEX|
LEX|HIJ,|HIJ|ICN|YVR|ORD|LEX|
LEX|VVO,|VVO|ICN|YVR|ORD|LEX|
LEX|ACC,|ACC|IST|ORD|LEX|
LEX|AER,|AER|IST|ORD|LEX|
LEX|AGP,|AGP|IST|ORD|LEX|
LEX|ALG,|ALG|IST|ORD|LEX|
LEX|AMM,|AMM|IST|ORD|LEX|
LEX|AQJ,|AQJ|IST|ORD|LEX|
LEX|ARN,|ARN|EWR|ORD|LEX|
LEX|ASR,|ASR|SAW|VIE|ORD|LEX|
LEX|ATH,|ATH|IST|ORD|LEX|
LEX|BAH,|BAH|IST|ORD|LEX|
LEX|BEG,|BEG|IST|ORD|LEX|
LEX|BEN,|BEN|IST|ORD|LEX|
LEX|BEY,|BEY|IST|ORD|LEX|
LEX|BHX,|BHX|EWR|ORD|LEX|
LEX|BIO,|BIO|IST|ORD|LEX|
LEX|BLQ,|BLQ|IST|ORD|LEX|
LEX|BOM,|BOM|IST|ORD|LEX|
LEX|BRE,|BRE|IST|ORD|LEX|
LEX|BSL,|BSL|IST|ORD|LEX|
LEX|BSR,|BSR|IST|ORD|LEX|
LEX|BUD,|BUD|IST|ORD|LEX|
LEX|BUS,|BUS|IST|ORD|LEX|
LEX|CAI,|CAI|IST|ORD|LEX|
LEX|CGN,|CGN|IST|ORD|LEX|
LEX|CMN,|CMN|IST|ORD|LEX|
LEX|CND,|CND|IST|ORD|LEX|
LEX|DAR,|DAR|NBO|ZRH|ORD|LEX|
LEX|DLM,|DLM|IST|ORD|LEX|
LEX|DMM,|DMM|IST|ORD|LEX|
LEX|DNK,|DNK|IST|ORD|LEX|
LEX|DNZ,|DNZ|IST|ORD|LEX|
LEX|DOK,|DOK|IST|ORD|LEX|
LEX|DUS,|DUS|ORD|LEX|
LEX|EDI,|EDI|EWR|ORD|LEX|
LEX|ELQ,|ELQ|IST|ORD|LEX|
LEX|FDH,|FDH|IST|ORD|LEX|
LEX|GOA,|GOA|IST|ORD|LEX|
LEX|GOT,|GOT|BRU|ORD|LEX|
LEX|HAJ,|HAJ|BRU|ORD|LEX|
LEX|HBE,|HBE|IST|ORD|LEX|
LEX|HEL,|HEL|IST|ORD|LEX|
LEX|HRG,|HRG|IST|ORD|LEX|
LEX|IFN,|IFN|IST|ORD|LEX|
LEX|ISE,|ISE|IST|ORD|LEX|
LEX|ISU,|ISU|IST|ORD|LEX|
LEX|JIB,|JIB|IST|ORD|LEX|
LEX|JRO,|JRO|IST|ORD|LEX|
LEX|KAN,|KAN|IST|ORD|LEX|
