FOE|KIJ,|KIJ|HRB|PEK|ORD|FOE|
FOE|LDS,|LDS|HRB|PEK|ORD|FOE|
FOE|OHE,|OHE|HRB|PEK|ORD|FOE|
FOE|HSN,|HSN|PEK|ORD|FOE|
FOE|DLU,|DLU|KMG|PEK|ORD|FOE|
FOE|SYM,|SYM|KMG|PEK|ORD|FOE|
FOE|ZAT,|ZAT|KMG|PEK|ORD|FOE|
FOE|LUN,|LUN|NBO|ZRH|ORD|FOE|
FOE|AOG,|AOG|PEK|ORD|FOE|
FOE|GMP,|GMP|PEK|ORD|FOE|
FOE|ISB,|ISB|IST|ORD|FOE|
FOE|TAS,|TAS|IST|ORD|FOE|
FOE|WUS,|WUS|PEK|ORD|FOE|
FOE|JMU,|JMU|PVG|ORD|FOE|
FOE|NDG,|NDG|PVG|ORD|FOE|
FOE|JXA,|JXA|SHE|PEK|ORD|FOE|
FOE|PUS,|PUS|SHE|PEK|ORD|FOE|
FOE|BKI,|BKI|SZX|PEK|ORD|FOE|
FOE|AKU,|AKU|URC|TSE|FRA|ORD|FOE|
FOE|ALA,|ALA|TSE|FRA|ORD|FOE|
FOE|ASB,|ASB|GYD|FRA|ORD|FOE|
FOE|DNH,|DNH|XIY|PEK|ORD|FOE|
FOE|DYU,|DYU|IST|ORD|FOE|
FOE|FRU,|FRU|IST|ORD|FOE|
FOE|GYD,|GYD|FRA|ORD|FOE|
FOE|HTN,|HTN|URC|TSE|FRA|ORD|FOE|
FOE|IKA,|IKA|SAW|VIE|ORD|FOE|
FOE|KCA,|KCA|URC|TSE|FRA|ORD|FOE|
FOE|KHG,|KHG|URC|TSE|FRA|ORD|FOE|
FOE|KRL,|KRL|URC|TSE|FRA|ORD|FOE|
FOE|KRY,|KRY|URC|TSE|FRA|ORD|FOE|
FOE|LBD,|LBD|URC|TSE|FRA|ORD|FOE|
FOE|NLT,|NLT|URC|TSE|FRA|ORD|FOE|
FOE|OSS,|OSS|IST|ORD|FOE|
FOE|OVB,|OVB|IST|ORD|FOE|
FOE|TBS,|TBS|SAW|VIE|ORD|FOE|
FOE|TCG,|TCG|URC|TSE|FRA|ORD|FOE|
FOE|TSE,|TSE|FRA|ORD|FOE|
FOE|YIN,|YIN|URC|TSE|FRA|ORD|FOE|
FOE|ENH,|ENH|WUH|PEK|ORD|FOE|
FOE|ENY,|ENY|XIY|PEK|ORD|FOE|
FOE|WXN,|WXN|XIY|PEK|ORD|FOE|
FOE|BLL,|BLL|IST|ORD|FOE|
FOE|ESB,|ESB|VIE|ORD|FOE|
FOE|SAW,|SAW|VIE|ORD|FOE|
FOE|HAM,|HAM|EWR|ORD|FOE|
FOE|HRE,|HRE|ADD|IST|ORD|FOE|
FOE|JUB,|JUB|CAI|IST|ORD|FOE|
FOE|SSG,|SSG|DLA|BRU|ORD|FOE|
FOE|BGW,|BGW|ESB|VIE|ORD|FOE|
FOE|EBL,|EBL|IST|ORD|FOE|
FOE|VKO,|VKO|IST|ORD|FOE|
FOE|MCT,|MCT|IST|ORD|FOE|
FOE|AYT,|AYT|IST|ORD|FOE|
FOE|SCQ,|SCQ|BIO|IST|ORD|FOE|
FOE|AAL,|AAL|IST|ORD|FOE|
FOE|AOE,|AOE|BRU|ORD|FOE|
FOE|JNB,|JNB|DKR|IAD|ORD|FOE|
FOE|LBV,|LBV|DLA|BRU|ORD|FOE|
FOE|ADA,|ADA|IST|ORD|FOE|
FOE|ADB,|ADB|IST|ORD|FOE|
FOE|ADF,|ADF|ESB|VIE|ORD|FOE|
FOE|AJI,|AJI|ESB|VIE|ORD|FOE|
FOE|BAL,|BAL|ESB|VIE|ORD|FOE|
FOE|BJV,|BJV|IST|ORD|FOE|
FOE|CKZ,|CKZ|ESB|VIE|ORD|FOE|
FOE|DIY,|DIY|ESB|VIE|ORD|FOE|
FOE|ECN,|ECN|IST|ORD|FOE|
FOE|ERC,|ERC|ESB|VIE|ORD|FOE|
FOE|ERZ,|ERZ|ESB|VIE|ORD|FOE|
FOE|EZS,|EZS|ESB|VIE|ORD|FOE|
FOE|GNY,|GNY|ESB|VIE|ORD|FOE|
FOE|GZP,|GZP|ESB|VIE|ORD|FOE|
FOE|GZT,|GZT|ESB|VIE|ORD|FOE|
FOE|HTY,|HTY|IST|ORD|FOE|
FOE|KCM,|KCM|ESB|VIE|ORD|FOE|
FOE|KSY,|KSY|ESB|VIE|ORD|FOE|
FOE|MLX,|MLX|ESB|VIE|ORD|FOE|
FOE|MQM,|MQM|ESB|VIE|ORD|FOE|
FOE|MSR,|MSR|ESB|VIE|ORD|FOE|
FOE|TEQ,|TEQ|ESB|VIE|ORD|FOE|
FOE|TZX,|TZX|ESB|VIE|ORD|FOE|
FOE|VAN,|VAN|ESB|VIE|ORD|FOE|
FOE|ULN,|ULN|FRU|IST|ORD|FOE|
FOE|HIJ,|HIJ|ICN|YVR|ORD|FOE|
FOE|VVO,|VVO|ICN|YVR|ORD|FOE|
FOE|ACC,|ACC|IST|ORD|FOE|
FOE|AER,|AER|IST|ORD|FOE|
FOE|AGP,|AGP|IST|ORD|FOE|
FOE|ALG,|ALG|IST|ORD|FOE|
FOE|AMM,|AMM|IST|ORD|FOE|
FOE|AQJ,|AQJ|IST|ORD|FOE|
FOE|ARN,|ARN|EWR|ORD|FOE|
FOE|ASR,|ASR|SAW|VIE|ORD|FOE|
FOE|ATH,|ATH|IST|ORD|FOE|
FOE|BAH,|BAH|IST|ORD|FOE|
FOE|BEG,|BEG|IST|ORD|FOE|
FOE|BEN,|BEN|IST|ORD|FOE|
FOE|BEY,|BEY|IST|ORD|FOE|
FOE|BHX,|BHX|EWR|ORD|FOE|
FOE|BIO,|BIO|IST|ORD|FOE|
FOE|BLQ,|BLQ|IST|ORD|FOE|
FOE|BOM,|BOM|IST|ORD|FOE|
FOE|BRE,|BRE|IST|ORD|FOE|
FOE|BSL,|BSL|IST|ORD|FOE|
FOE|BSR,|BSR|IST|ORD|FOE|
FOE|BUD,|BUD|IST|ORD|FOE|
FOE|BUS,|BUS|IST|ORD|FOE|
FOE|CAI,|CAI|IST|ORD|FOE|
FOE|CGN,|CGN|IST|ORD|FOE|
FOE|CMN,|CMN|IST|ORD|FOE|
FOE|CND,|CND|IST|ORD|FOE|
FOE|DAR,|DAR|NBO|ZRH|ORD|FOE|
FOE|DLM,|DLM|IST|ORD|FOE|
FOE|DMM,|DMM|IST|ORD|FOE|
FOE|DNK,|DNK|IST|ORD|FOE|
FOE|DNZ,|DNZ|IST|ORD|FOE|
FOE|DOK,|DOK|IST|ORD|FOE|
FOE|DUS,|DUS|ORD|FOE|
FOE|EDI,|EDI|EWR|ORD|FOE|
FOE|ELQ,|ELQ|IST|ORD|FOE|
FOE|FDH,|FDH|IST|ORD|FOE|
FOE|GOA,|GOA|IST|ORD|FOE|
FOE|GOT,|GOT|BRU|ORD|FOE|
FOE|HAJ,|HAJ|BRU|ORD|FOE|
FOE|HBE,|HBE|IST|ORD|FOE|
FOE|HEL,|HEL|IST|ORD|FOE|
FOE|HRG,|HRG|IST|ORD|FOE|
FOE|IFN,|IFN|IST|ORD|FOE|
FOE|ISE,|ISE|IST|ORD|FOE|
FOE|ISU,|ISU|IST|ORD|FOE|
FOE|JIB,|JIB|IST|ORD|FOE|
FOE|JRO,|JRO|IST|ORD|FOE|
FOE|KAN,|KAN|IST|ORD|FOE|
FOE|KBL,|KBL|IST|ORD|FOE|
FOE|KBP,|KBP|IST|ORD|FOE|
FOE|KFS,|KFS|IST|ORD|FOE|
FOE|KHI,|KHI|IST|ORD|FOE|
FOE|KIV,|KIV|IST|ORD|FOE|
FOE|KRT,|KRT|IST|ORD|FOE|
FOE|KSH,|KSH|IST|ORD|FOE|
FOE|KVD,|KVD|IST|ORD|FOE|
FOE|KWI,|KWI|SAW|VIE|ORD|FOE|
FOE|KYA,|KYA|IST|ORD|FOE|
FOE|KZN,|KZN|IST|ORD|FOE|
FOE|KZR,|KZR|IST|ORD|FOE|
FOE|LED,|LED|VIE|ORD|FOE|
FOE|LEJ,|LEJ|IST|ORD|FOE|
FOE|LGW,|LGW|IST|ORD|FOE|
FOE|LHE,|LHE|IST|ORD|FOE|
FOE|LIS,|LIS|EWR|ORD|FOE|
FOE|LJU,|LJU|IST|ORD|FOE|
FOE|LOS,|LOS|FRA|ORD|FOE|
FOE|LUX,|LUX|IST|ORD|FOE|
FOE|LWO,|LWO|IST|ORD|FOE|
FOE|LYS,|LYS|IST|ORD|FOE|
FOE|MAD,|MAD|EWR|ORD|FOE|
FOE|MAN,|MAN|EWR|ORD|FOE|
FOE|MED,|MED|IST|ORD|FOE|
FOE|MHD,|MHD|IST|ORD|FOE|
FOE|MLA,|MLA|IST|ORD|FOE|
FOE|MRS,|MRS|IST|ORD|FOE|
FOE|MSQ,|MSQ|IST|ORD|FOE|
FOE|MXP,|MXP|EWR|ORD|FOE|
FOE|MZH,|MZH|IST|ORD|FOE|
FOE|MZR,|MZR|IST|ORD|FOE|
FOE|NAJ,|NAJ|IST|ORD|FOE|
FOE|NAV,|NAV|IST|ORD|FOE|
FOE|NCE,|NCE|IST|ORD|FOE|
FOE|NIM,|NIM|IST|ORD|FOE|
FOE|NJF,|NJF|IST|ORD|FOE|
FOE|NSI,|NSI|BRU|ORD|FOE|
FOE|NUE,|NUE|IST|ORD|FOE|
FOE|ODS,|ODS|IST|ORD|FOE|
FOE|ORN,|ORN|IST|ORD|FOE|
FOE|OTP,|OTP|IST|ORD|FOE|
FOE|PRG,|PRG|BRU|ORD|FOE|
FOE|PRN,|PRN|IST|ORD|FOE|
FOE|RIX,|RIX|IST|ORD|FOE|
FOE|ROV,|ROV|IST|ORD|FOE|
FOE|RTM,|RTM|IST|ORD|FOE|
FOE|RUH,|RUH|IST|ORD|FOE|
FOE|SAH,|SAH|IST|ORD|FOE|
FOE|SJJ,|SJJ|IST|ORD|FOE|
FOE|SKG,|SKG|IST|ORD|FOE|
FOE|SKP,|SKP|IST|ORD|FOE|
FOE|SSH,|SSH|IST|ORD|FOE|
FOE|STR,|STR|EWR|ORD|FOE|
FOE|SVX,|SVX|IST|ORD|FOE|
FOE|SYZ,|SYZ|IST|ORD|FOE|
FOE|SZG,|SZG|IST|ORD|FOE|
FOE|TBZ,|TBZ|IST|ORD|FOE|
FOE|TGD,|TGD|IST|ORD|FOE|
FOE|TIA,|TIA|IST|ORD|FOE|
FOE|TIF,|TIF|IST|ORD|FOE|
FOE|TIP,|TIP|IST|ORD|FOE|
FOE|TLL,|TLL|VNO|CPH|YYZ|ORD|FOE|
FOE|TLS,|TLS|IST|ORD|FOE|
FOE|TRN,|TRN|IST|ORD|FOE|
FOE|TUN,|TUN|IST|ORD|FOE|
FOE|TXL,|TXL|EWR|ORD|FOE|
FOE|UFA,|UFA|IST|ORD|FOE|
FOE|VAS,|VAS|SAW|VIE|ORD|FOE|
FOE|VCE,|VCE|IST|ORD|FOE|
FOE|YNB,|YNB|IST|ORD|FOE|
FOE|ZAG,|ZAG|IST|ORD|FOE|
FOE|MGQ,|MGQ|JIB|IST|ORD|FOE|
FOE|CPT,|CPT|JNB|DKR|IAD|ORD|FOE|
FOE|MBA,|MBA|JRO|IST|ORD|FOE|
FOE|NDJ,|NDJ|KAN|IST|ORD|FOE|
FOE|CMB,|CMB|MLE|IST|ORD|FOE|
FOE|ADE,|ADE|SAH|IST|ORD|FOE|
