YGR|AOG,|AOG|PEK|YYZ|YQB|YGP|YGR|
YGR|GMP,|GMP|PEK|YYZ|YQB|YGP|YGR|
YGR|ISB,|ISB|IST|FRA|YUL|YQB|YGP|YGR|
YGR|TAS,|TAS|IST|FRA|YUL|YQB|YGP|YGR|
YGR|WUS,|WUS|PEK|YYZ|YQB|YGP|YGR|
YGR|JMU,|JMU|PVG|YYZ|YQB|YGP|YGR|
YGR|NDG,|NDG|PVG|YYZ|YQB|YGP|YGR|
YGR|JXA,|JXA|SHE|PEK|YYZ|YQB|YGP|YGR|
YGR|PUS,|PUS|SHE|PEK|YYZ|YQB|YGP|YGR|
YGR|BKI,|BKI|SZX|PEK|YYZ|YQB|YGP|YGR|
YGR|AKU,|AKU|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|ALA,|ALA|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|ASB,|ASB|GYD|FRA|YUL|YQB|YGP|YGR|
YGR|DNH,|DNH|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|DYU,|DYU|IST|FRA|YUL|YQB|YGP|YGR|
YGR|FRU,|FRU|IST|FRA|YUL|YQB|YGP|YGR|
YGR|GYD,|GYD|FRA|YUL|YQB|YGP|YGR|
YGR|HTN,|HTN|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|IKA,|IKA|SAW|FRA|YUL|YQB|YGP|YGR|
YGR|KCA,|KCA|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|KHG,|KHG|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|KRL,|KRL|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|KRY,|KRY|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|LBD,|LBD|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|NLT,|NLT|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|OSS,|OSS|IST|FRA|YUL|YQB|YGP|YGR|
YGR|OVB,|OVB|IST|FRA|YUL|YQB|YGP|YGR|
YGR|TBS,|TBS|SAW|FRA|YUL|YQB|YGP|YGR|
YGR|TCG,|TCG|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|TSE,|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|YIN,|YIN|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|ENH,|ENH|WUH|PEK|YYZ|YQB|YGP|YGR|
YGR|ENY,|ENY|XIY|PEK|YYZ|YQB|YGP|YGR|
YGR|WXN,|WXN|XIY|PEK|YYZ|YQB|YGP|YGR|
YGR|BLL,|BLL|IST|FRA|YUL|YQB|YGP|YGR|
YGR|ESB,|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|SAW,|SAW|FRA|YUL|YQB|YGP|YGR|
YGR|HAM,|HAM|EWR|YQB|YGP|YGR|
YGR|HRE,|HRE|ADD|JED|FRA|YUL|YQB|YGP|YGR|
YGR|JUB,|JUB|CAI|IST|FRA|YUL|YQB|YGP|YGR|
YGR|SSG,|SSG|DLA|BRU|YUL|YQB|YGP|YGR|
YGR|BGW,|BGW|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|EBL,|EBL|IST|FRA|YUL|YQB|YGP|YGR|
YGR|VKO,|VKO|IST|FRA|YUL|YQB|YGP|YGR|
YGR|MCT,|MCT|IST|FRA|YUL|YQB|YGP|YGR|
YGR|AYT,|AYT|IST|FRA|YUL|YQB|YGP|YGR|
YGR|SCQ,|SCQ|BIO|IST|FRA|YUL|YQB|YGP|YGR|
YGR|AAL,|AAL|IST|FRA|YUL|YQB|YGP|YGR|
YGR|AOE,|AOE|BRU|YUL|YQB|YGP|YGR|
YGR|JNB,|JNB|JFK|YUL|YQB|YGP|YGR|
YGR|LBV,|LBV|DLA|BRU|YUL|YQB|YGP|YGR|
YGR|ADA,|ADA|SAW|FRA|YUL|YQB|YGP|YGR|
YGR|ADB,|ADB|IST|FRA|YUL|YQB|YGP|YGR|
YGR|ADF,|ADF|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|AJI,|AJI|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|BAL,|BAL|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|BJV,|BJV|IST|FRA|YUL|YQB|YGP|YGR|
YGR|CKZ,|CKZ|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|DIY,|DIY|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|ECN,|ECN|IST|FRA|YUL|YQB|YGP|YGR|
YGR|ERC,|ERC|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|ERZ,|ERZ|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|EZS,|EZS|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|GNY,|GNY|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|GZP,|GZP|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|GZT,|GZT|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|HTY,|HTY|SAW|FRA|YUL|YQB|YGP|YGR|
YGR|KCM,|KCM|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|KSY,|KSY|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|MLX,|MLX|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|MQM,|MQM|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|MSR,|MSR|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|TEQ,|TEQ|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|TZX,|TZX|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|VAN,|VAN|ESB|FRA|YUL|YQB|YGP|YGR|
YGR|ULN,|ULN|FRU|IST|FRA|YUL|YQB|YGP|YGR|
YGR|HIJ,|HIJ|ICN|JFK|YUL|YQB|YGP|YGR|
YGR|VVO,|VVO|ICN|JFK|YUL|YQB|YGP|YGR|
YGR|ACC,|ACC|IST|FRA|YUL|YQB|YGP|YGR|
YGR|AER,|AER|IST|FRA|YUL|YQB|YGP|YGR|
