GSO|XUZ,|XUZ|LYG|HSN|PEK|IAD|GSO|
GSO|YIH,|YIH|CKG|PEK|IAD|GSO|
GSO|YIW,|YIW|PEK|IAD|GSO|
GSO|YNT,|YNT|SHE|PEK|IAD|GSO|
GSO|YNZ,|YNZ|DLC|PEK|IAD|GSO|
GSO|YTY,|YTY|DLC|PEK|IAD|GSO|
GSO|ZHA,|ZHA|CAN|PEK|IAD|GSO|
GSO|ZYI,|ZYI|PEK|IAD|GSO|
GSO|BAV,|BAV|CGO|PEK|IAD|GSO|
GSO|CJU,|CJU|DLC|PEK|IAD|GSO|
GSO|DSN,|DSN|CGO|PEK|IAD|GSO|
GSO|HMI,|HMI|URC|TSE|FRA|EWR|GSO|
GSO|INC,|INC|PEK|IAD|GSO|
GSO|KHH,|KHH|CGO|PEK|IAD|GSO|
GSO|UYN,|UYN|CGO|PEK|IAD|GSO|
GSO|XNN,|XNN|PEK|IAD|GSO|
GSO|ZUH,|ZUH|PEK|IAD|GSO|
GSO|YNJ,|YNJ|ICN|JFK|IAD|GSO|
GSO|DAT,|DAT|CIH|PEK|IAD|GSO|
GSO|JHG,|JHG|CKG|PEK|IAD|GSO|
GSO|LJG,|LJG|CKG|PEK|IAD|GSO|
GSO|LXA,|LXA|XIY|PEK|IAD|GSO|
GSO|YCU,|YCU|CSX|PEK|IAD|GSO|
GSO|LZO,|LZO|CSX|PEK|IAD|GSO|
GSO|MDG,|MDG|ICN|JFK|IAD|GSO|
GSO|NGO,|NGO|ICN|JFK|IAD|GSO|
GSO|TOY,|TOY|DLC|PEK|IAD|GSO|
GSO|MFM,|MFM|XMN|PEK|IAD|GSO|
GSO|TGO,|TGO|HET|DLC|PEK|IAD|GSO|
GSO|XIL,|XIL|HET|DLC|PEK|IAD|GSO|
GSO|HEK,|HEK|HRB|PEK|IAD|GSO|
GSO|KIJ,|KIJ|HRB|PEK|IAD|GSO|
GSO|LDS,|LDS|HRB|PEK|IAD|GSO|
GSO|OHE,|OHE|HRB|PEK|IAD|GSO|
GSO|HSN,|HSN|PEK|IAD|GSO|
GSO|DLU,|DLU|KMG|PEK|IAD|GSO|
GSO|SYM,|SYM|KMG|PEK|IAD|GSO|
GSO|ZAT,|ZAT|KMG|PEK|IAD|GSO|
GSO|LUN,|LUN|NBO|ZRH|EWR|GSO|
GSO|AOG,|AOG|PEK|IAD|GSO|
GSO|GMP,|GMP|PEK|IAD|GSO|
GSO|ISB,|ISB|IST|BHX|EWR|GSO|
GSO|TAS,|TAS|IST|BHX|EWR|GSO|
GSO|WUS,|WUS|PEK|IAD|GSO|
GSO|JMU,|JMU|PVG|ORD|GSO|
GSO|NDG,|NDG|PVG|ORD|GSO|
GSO|JXA,|JXA|SHE|PEK|IAD|GSO|
GSO|PUS,|PUS|SHE|PEK|IAD|GSO|
GSO|BKI,|BKI|SZX|PEK|IAD|GSO|
GSO|AKU,|AKU|URC|TSE|FRA|EWR|GSO|
GSO|ALA,|ALA|TSE|FRA|EWR|GSO|
GSO|ASB,|ASB|GYD|FRA|EWR|GSO|
GSO|DNH,|DNH|URC|TSE|FRA|EWR|GSO|
GSO|DYU,|DYU|IST|BHX|EWR|GSO|
GSO|FRU,|FRU|IST|BHX|EWR|GSO|
