FUK|MLX,|MLX|IST|ICN|FUK|
FUK|MQM,|MQM|IST|ICN|FUK|
FUK|MSR,|MSR|IST|ICN|FUK|
FUK|TEQ,|TEQ|ESB|IST|ICN|FUK|
FUK|TZX,|TZX|IST|ICN|FUK|
FUK|VAN,|VAN|IST|ICN|FUK|
FUK|ULN,|ULN|FRU|URC|PEK|ICN|FUK|
FUK|HIJ,|HIJ|ICN|FUK|
FUK|VVO,|VVO|ICN|FUK|
FUK|ACC,|ACC|IST|ICN|FUK|
FUK|AER,|AER|IST|ICN|FUK|
FUK|AGP,|AGP|IST|ICN|FUK|
FUK|ALG,|ALG|IST|ICN|FUK|
FUK|AMM,|AMM|IST|ICN|FUK|
FUK|AQJ,|AQJ|IST|ICN|FUK|
FUK|ARN,|ARN|IST|ICN|FUK|
FUK|ASR,|ASR|IST|ICN|FUK|
FUK|ATH,|ATH|IST|ICN|FUK|
FUK|BAH,|BAH|IST|ICN|FUK|
FUK|BEG,|BEG|IST|ICN|FUK|
FUK|BEN,|BEN|IST|ICN|FUK|
FUK|BEY,|BEY|IST|ICN|FUK|
FUK|BHX,|BHX|IST|ICN|FUK|
FUK|BIO,|BIO|IST|ICN|FUK|
FUK|BLQ,|BLQ|IST|ICN|FUK|
FUK|BOM,|BOM|IST|ICN|FUK|
FUK|BRE,|BRE|IST|ICN|FUK|
FUK|BSL,|BSL|IST|ICN|FUK|
FUK|BSR,|BSR|IST|ICN|FUK|
FUK|BUD,|BUD|IST|ICN|FUK|
FUK|BUS,|BUS|IST|ICN|FUK|
FUK|CAI,|CAI|IST|ICN|FUK|
FUK|CGN,|CGN|IST|ICN|FUK|
FUK|CMN,|CMN|IST|ICN|FUK|
FUK|CND,|CND|IST|ICN|FUK|
FUK|DAR,|DAR|NBO|CAN|FUK|
FUK|DLM,|DLM|IST|ICN|FUK|
FUK|DMM,|DMM|IST|ICN|FUK|
FUK|DNK,|DNK|IST|ICN|FUK|
FUK|DNZ,|DNZ|IST|ICN|FUK|
FUK|DOK,|DOK|IST|ICN|FUK|
FUK|DUS,|DUS|IST|ICN|FUK|
FUK|EDI,|EDI|IST|ICN|FUK|
FUK|ELQ,|ELQ|IST|ICN|FUK|
FUK|FDH,|FDH|IST|ICN|FUK|
FUK|GOA,|GOA|IST|ICN|FUK|
FUK|GOT,|GOT|IST|ICN|FUK|
FUK|HAJ,|HAJ|IST|ICN|FUK|
FUK|HBE,|HBE|IST|ICN|FUK|
FUK|HEL,|HEL|IST|ICN|FUK|
FUK|HRG,|HRG|IST|ICN|FUK|
FUK|IFN,|IFN|IST|ICN|FUK|
FUK|ISE,|ISE|IST|ICN|FUK|
FUK|ISU,|ISU|IST|ICN|FUK|
FUK|JIB,|JIB|IST|ICN|FUK|
FUK|JRO,|JRO|IST|ICN|FUK|
FUK|KAN,|KAN|IST|ICN|FUK|
FUK|KBL,|KBL|IST|ICN|FUK|
FUK|KBP,|KBP|IST|ICN|FUK|
FUK|KFS,|KFS|IST|ICN|FUK|
FUK|KHI,|KHI|IST|ICN|FUK|
FUK|KIV,|KIV|IST|ICN|FUK|
FUK|KRT,|KRT|IST|ICN|FUK|
FUK|KSH,|KSH|IST|ICN|FUK|
FUK|KVD,|KVD|IST|ICN|FUK|
FUK|KWI,|KWI|IST|ICN|FUK|
FUK|KYA,|KYA|IST|ICN|FUK|
FUK|KZN,|KZN|IST|ICN|FUK|
FUK|KZR,|KZR|IST|ICN|FUK|
FUK|LED,|LED|IST|ICN|FUK|
FUK|LEJ,|LEJ|IST|ICN|FUK|
FUK|LGW,|LGW|IST|ICN|FUK|
FUK|LHE,|LHE|IST|ICN|FUK|
FUK|LIS,|LIS|IST|ICN|FUK|
FUK|LJU,|LJU|IST|ICN|FUK|
FUK|LOS,|LOS|IST|ICN|FUK|
FUK|LUX,|LUX|IST|ICN|FUK|
FUK|LWO,|LWO|IST|ICN|FUK|
FUK|LYS,|LYS|IST|ICN|FUK|
FUK|MAD,|MAD|IST|ICN|FUK|
FUK|MAN,|MAN|IST|ICN|FUK|
FUK|MED,|MED|IST|ICN|FUK|
FUK|MHD,|MHD|IST|ICN|FUK|
FUK|MLA,|MLA|IST|ICN|FUK|
FUK|MRS,|MRS|IST|ICN|FUK|
FUK|MSQ,|MSQ|IST|ICN|FUK|
FUK|MXP,|MXP|IST|ICN|FUK|
FUK|MZH,|MZH|IST|ICN|FUK|
FUK|MZR,|MZR|IST|ICN|FUK|
FUK|NAJ,|NAJ|IST|ICN|FUK|
FUK|NAV,|NAV|IST|ICN|FUK|
FUK|NCE,|NCE|IST|ICN|FUK|
FUK|NIM,|NIM|IST|ICN|FUK|
FUK|NJF,|NJF|IST|ICN|FUK|
FUK|NSI,|NSI|IST|ICN|FUK|
FUK|NUE,|NUE|IST|ICN|FUK|
FUK|ODS,|ODS|IST|ICN|FUK|
FUK|ORN,|ORN|IST|ICN|FUK|
FUK|OTP,|OTP|IST|ICN|FUK|
FUK|PRG,|PRG|IST|ICN|FUK|
FUK|PRN,|PRN|IST|ICN|FUK|
FUK|RIX,|RIX|IST|ICN|FUK|
FUK|ROV,|ROV|IST|ICN|FUK|
FUK|RTM,|RTM|IST|ICN|FUK|
FUK|RUH,|RUH|IST|ICN|FUK|
FUK|SAH,|SAH|IST|ICN|FUK|
FUK|SJJ,|SJJ|IST|ICN|FUK|
FUK|SKG,|SKG|IST|ICN|FUK|
FUK|SKP,|SKP|IST|ICN|FUK|
FUK|SSH,|SSH|IST|ICN|FUK|
FUK|STR,|STR|IST|ICN|FUK|
FUK|SVX,|SVX|IST|ICN|FUK|
FUK|SYZ,|SYZ|IST|ICN|FUK|
FUK|SZG,|SZG|IST|ICN|FUK|
FUK|TBZ,|TBZ|IST|ICN|FUK|
FUK|TGD,|TGD|IST|ICN|FUK|
FUK|TIA,|TIA|IST|ICN|FUK|
FUK|TIF,|TIF|IST|ICN|FUK|
FUK|TIP,|TIP|IST|ICN|FUK|
FUK|TLL,|TLL|IST|ICN|FUK|
FUK|TLS,|TLS|IST|ICN|FUK|
FUK|TRN,|TRN|IST|ICN|FUK|
FUK|TUN,|TUN|IST|ICN|FUK|
FUK|TXL,|TXL|IST|ICN|FUK|
FUK|UFA,|UFA|IST|ICN|FUK|
FUK|VAS,|VAS|IST|ICN|FUK|
FUK|VCE,|VCE|IST|ICN|FUK|
FUK|YNB,|YNB|IST|ICN|FUK|
FUK|ZAG,|ZAG|IST|ICN|FUK|
FUK|MGQ,|MGQ|JIB|IST|ICN|FUK|
FUK|CPT,|CPT|JNB|IST|ICN|FUK|
FUK|MBA,|MBA|JRO|IST|ICN|FUK|
FUK|NDJ,|NDJ|KAN|IST|ICN|FUK|
FUK|CMB,|CMB|MLE|CAN|FUK|
FUK|ADE,|ADE|SAH|IST|ICN|FUK|
FUK|ASF,|ASF|SAW|TBS|URC|PEK|ICN|FUK|
FUK|STW,|STW|SAW|TBS|URC|PEK|ICN|FUK|
