BOG|GOA,|GOA|IST|ZRH|MIA|BOG|
BOG|GOT,|GOT|BRU|JFK|BOG|
BOG|HAJ,|HAJ|BRU|JFK|BOG|
BOG|HBE,|HBE|IST|ZRH|MIA|BOG|
BOG|HEL,|HEL|IST|ZRH|MIA|BOG|
BOG|HRG,|HRG|IST|ZRH|MIA|BOG|
BOG|IFN,|IFN|IST|ZRH|MIA|BOG|
BOG|ISE,|ISE|IST|ZRH|MIA|BOG|
BOG|ISU,|ISU|IST|ZRH|MIA|BOG|
BOG|JIB,|JIB|IST|ZRH|MIA|BOG|
BOG|JRO,|JRO|IST|ZRH|MIA|BOG|
BOG|KAN,|KAN|IST|ZRH|MIA|BOG|
BOG|KBL,|KBL|IST|ZRH|MIA|BOG|
BOG|KBP,|KBP|IST|ZRH|MIA|BOG|
BOG|KFS,|KFS|IST|ZRH|MIA|BOG|
BOG|KHI,|KHI|IST|ZRH|MIA|BOG|
BOG|KIV,|KIV|IST|ZRH|MIA|BOG|
BOG|KRT,|KRT|IST|ZRH|MIA|BOG|
BOG|KSH,|KSH|IST|ZRH|MIA|BOG|
BOG|KVD,|KVD|IST|ZRH|MIA|BOG|
BOG|KWI,|KWI|IST|ZRH|MIA|BOG|
BOG|KYA,|KYA|IST|ZRH|MIA|BOG|
BOG|KZN,|KZN|IST|ZRH|MIA|BOG|
BOG|KZR,|KZR|IST|ZRH|MIA|BOG|
BOG|LED,|LED|VIE|JFK|BOG|
BOG|LEJ,|LEJ|IST|ZRH|MIA|BOG|
BOG|LGW,|LGW|IST|ZRH|MIA|BOG|
BOG|LHE,|LHE|IST|ZRH|MIA|BOG|
BOG|LIS,|LIS|MIA|BOG|
BOG|LJU,|LJU|IST|ZRH|MIA|BOG|
BOG|LOS,|LOS|IAH|BOG|
BOG|LUX,|LUX|IST|ZRH|MIA|BOG|
BOG|LWO,|LWO|IST|ZRH|MIA|BOG|
BOG|LYS,|LYS|IST|ZRH|MIA|BOG|
BOG|MAD,|MAD|EWR|BOG|
BOG|MAN,|MAN|EWR|BOG|
BOG|MED,|MED|IST|ZRH|MIA|BOG|
BOG|MHD,|MHD|IST|ZRH|MIA|BOG|
BOG|MLA,|MLA|IST|ZRH|MIA|BOG|
BOG|MRS,|MRS|IST|ZRH|MIA|BOG|
BOG|MSQ,|MSQ|IST|ZRH|MIA|BOG|
BOG|MXP,|MXP|EWR|BOG|
BOG|MZH,|MZH|IST|ZRH|MIA|BOG|
BOG|MZR,|MZR|IST|ZRH|MIA|BOG|
BOG|NAJ,|NAJ|IST|ZRH|MIA|BOG|
BOG|NAV,|NAV|IST|ZRH|MIA|BOG|
BOG|NCE,|NCE|IST|ZRH|MIA|BOG|
BOG|NIM,|NIM|IST|ZRH|MIA|BOG|
BOG|NJF,|NJF|IST|ZRH|MIA|BOG|
BOG|NSI,|NSI|BRU|JFK|BOG|
BOG|NUE,|NUE|IST|ZRH|MIA|BOG|
BOG|ODS,|ODS|IST|ZRH|MIA|BOG|
BOG|ORN,|ORN|IST|ZRH|MIA|BOG|
BOG|OTP,|OTP|IST|ZRH|MIA|BOG|
BOG|PRG,|PRG|BRU|JFK|BOG|
BOG|PRN,|PRN|IST|ZRH|MIA|BOG|
BOG|RIX,|RIX|IST|ZRH|MIA|BOG|
BOG|ROV,|ROV|IST|ZRH|MIA|BOG|
BOG|RTM,|RTM|IST|ZRH|MIA|BOG|
