MBA|LJG,|LJG|KMG|CTU|URC|IST|MBA|
MBA|LXA,|LXA|CKG|URC|IST|MBA|
MBA|YCU,|YCU|CKG|URC|IST|MBA|
MBA|LZO,|LZO|CSX|URC|IST|MBA|
MBA|MDG,|MDG|DLC|PEK|IST|MBA|
MBA|NGO,|NGO|ICN|IST|MBA|
MBA|TOY,|TOY|DLC|PEK|IST|MBA|
MBA|MFM,|MFM|XMN|CSX|URC|IST|MBA|
MBA|TGO,|TGO|HET|URC|IST|MBA|
MBA|XIL,|XIL|HET|URC|IST|MBA|
MBA|HEK,|HEK|HRB|PEK|IST|MBA|
MBA|KIJ,|KIJ|HRB|PEK|IST|MBA|
MBA|LDS,|LDS|HRB|PEK|IST|MBA|
MBA|OHE,|OHE|HRB|PEK|IST|MBA|
MBA|HSN,|HSN|LYG|XUZ|INC|URC|IST|MBA|
MBA|DLU,|DLU|KMG|CTU|URC|IST|MBA|
MBA|SYM,|SYM|KMG|CTU|URC|IST|MBA|
MBA|ZAT,|ZAT|KMG|CTU|URC|IST|MBA|
MBA|LUN,|LUN|NBO|IST|MBA|
MBA|AOG,|AOG|PEK|IST|MBA|
MBA|GMP,|GMP|PEK|IST|MBA|
MBA|ISB,|ISB|IST|MBA|
MBA|TAS,|TAS|IST|MBA|
MBA|WUS,|WUS|PEK|IST|MBA|
MBA|JMU,|JMU|PVG|IST|MBA|
MBA|NDG,|NDG|PVG|IST|MBA|
MBA|JXA,|JXA|SHE|PEK|IST|MBA|
MBA|PUS,|PUS|SHE|PEK|IST|MBA|
MBA|BKI,|BKI|SZX|CKG|URC|IST|MBA|
MBA|AKU,|AKU|URC|IST|MBA|
MBA|ALA,|ALA|IST|MBA|
MBA|ASB,|ASB|IST|MBA|
MBA|DNH,|DNH|URC|IST|MBA|
MBA|DYU,|DYU|IST|MBA|
MBA|FRU,|FRU|IST|MBA|
MBA|GYD,|GYD|IST|MBA|
MBA|HTN,|HTN|URC|IST|MBA|
MBA|IKA,|IKA|IST|MBA|
MBA|KCA,|KCA|URC|IST|MBA|
MBA|KHG,|KHG|URC|IST|MBA|
MBA|KRL,|KRL|URC|IST|MBA|
MBA|KRY,|KRY|URC|IST|MBA|
MBA|LBD,|LBD|URC|IST|MBA|
MBA|NLT,|NLT|URC|IST|MBA|
MBA|OSS,|OSS|IST|MBA|
MBA|OVB,|OVB|IST|MBA|
MBA|TBS,|TBS|IST|MBA|
MBA|TCG,|TCG|URC|IST|MBA|
MBA|TSE,|TSE|IST|MBA|
MBA|YIN,|YIN|URC|IST|MBA|
MBA|ENH,|ENH|WUH|URC|IST|MBA|
MBA|ENY,|ENY|XIY|URC|IST|MBA|
MBA|WXN,|WXN|XIY|URC|IST|MBA|
MBA|BLL,|BLL|IST|MBA|
MBA|ESB,|ESB|IST|MBA|
MBA|SAW,|SAW|ADB|IST|MBA|
MBA|HAM,|HAM|IST|MBA|
MBA|HRE,|HRE|ADD|IST|MBA|
MBA|JUB,|JUB|CAI|IST|MBA|
MBA|SSG,|SSG|DLA|IST|MBA|
MBA|BGW,|BGW|IST|MBA|
MBA|EBL,|EBL|IST|MBA|
MBA|VKO,|VKO|IST|MBA|
MBA|MCT,|MCT|IST|MBA|
MBA|AYT,|AYT|IST|MBA|
MBA|SCQ,|SCQ|BIO|IST|MBA|
MBA|AAL,|AAL|IST|MBA|
MBA|AOE,|AOE|BRU|IST|MBA|
MBA|JNB,|JNB|IST|MBA|
MBA|LBV,|LBV|DLA|IST|MBA|
MBA|ADA,|ADA|IST|MBA|
MBA|ADB,|ADB|IST|MBA|
MBA|ADF,|ADF|IST|MBA|
MBA|AJI,|AJI|IST|MBA|
MBA|BAL,|BAL|IST|MBA|
MBA|BJV,|BJV|IST|MBA|
MBA|CKZ,|CKZ|ESB|IST|MBA|
MBA|DIY,|DIY|IST|MBA|
MBA|ECN,|ECN|IST|MBA|
MBA|ERC,|ERC|IST|MBA|
MBA|ERZ,|ERZ|IST|MBA|
MBA|EZS,|EZS|IST|MBA|
MBA|GNY,|GNY|IST|MBA|
MBA|GZP,|GZP|ESB|IST|MBA|
MBA|GZT,|GZT|IST|MBA|
MBA|HTY,|HTY|IST|MBA|
MBA|KCM,|KCM|IST|MBA|
MBA|KSY,|KSY|IST|MBA|
MBA|MLX,|MLX|IST|MBA|
MBA|MQM,|MQM|IST|MBA|
MBA|MSR,|MSR|IST|MBA|
MBA|TEQ,|TEQ|ESB|IST|MBA|
MBA|TZX,|TZX|IST|MBA|
MBA|VAN,|VAN|IST|MBA|
MBA|ULN,|ULN|FRU|IST|MBA|
MBA|HIJ,|HIJ|ICN|IST|MBA|
MBA|VVO,|VVO|ICN|IST|MBA|
MBA|ACC,|ACC|IST|MBA|
MBA|AER,|AER|IST|MBA|
MBA|AGP,|AGP|IST|MBA|
MBA|ALG,|ALG|IST|MBA|
MBA|AMM,|AMM|IST|MBA|
MBA|AQJ,|AQJ|IST|MBA|
