JAC|KFS,|KFS|IST|FRA|DEN|JAC|
JAC|KHI,|KHI|IST|FRA|DEN|JAC|
JAC|KIV,|KIV|IST|FRA|DEN|JAC|
JAC|KRT,|KRT|IST|FRA|DEN|JAC|
JAC|KSH,|KSH|IST|FRA|DEN|JAC|
JAC|KVD,|KVD|IST|FRA|DEN|JAC|
JAC|KWI,|KWI|SAW|FRA|DEN|JAC|
JAC|KYA,|KYA|IST|FRA|DEN|JAC|
JAC|KZN,|KZN|IST|FRA|DEN|JAC|
JAC|KZR,|KZR|IST|FRA|DEN|JAC|
JAC|LED,|LED|VIE|ORD|DEN|JAC|
JAC|LEJ,|LEJ|IST|FRA|DEN|JAC|
JAC|LGW,|LGW|IST|FRA|DEN|JAC|
JAC|LHE,|LHE|IST|FRA|DEN|JAC|
JAC|LIS,|LIS|EWR|DEN|JAC|
JAC|LJU,|LJU|IST|FRA|DEN|JAC|
JAC|LOS,|LOS|IAH|DEN|JAC|
JAC|LUX,|LUX|IST|FRA|DEN|JAC|
JAC|LWO,|LWO|IST|FRA|DEN|JAC|
JAC|LYS,|LYS|IST|FRA|DEN|JAC|
JAC|MAD,|MAD|EWR|DEN|JAC|
JAC|MAN,|MAN|EWR|DEN|JAC|
JAC|MED,|MED|IST|FRA|DEN|JAC|
JAC|MHD,|MHD|IST|FRA|DEN|JAC|
JAC|MLA,|MLA|IST|FRA|DEN|JAC|
JAC|MRS,|MRS|IST|FRA|DEN|JAC|
JAC|MSQ,|MSQ|IST|FRA|DEN|JAC|
JAC|MXP,|MXP|EWR|DEN|JAC|
JAC|MZH,|MZH|IST|FRA|DEN|JAC|
JAC|MZR,|MZR|IST|FRA|DEN|JAC|
JAC|NAJ,|NAJ|IST|FRA|DEN|JAC|
JAC|NAV,|NAV|IST|FRA|DEN|JAC|
JAC|NCE,|NCE|IST|FRA|DEN|JAC|
JAC|NIM,|NIM|IST|FRA|DEN|JAC|
JAC|NJF,|NJF|IST|FRA|DEN|JAC|
JAC|NSI,|NSI|BRU|ORD|DEN|JAC|
JAC|NUE,|NUE|IST|FRA|DEN|JAC|
