SJC|LED,|LED|VIE|ORD|DEN|SJC|
SJC|LEJ,|LEJ|IST|FRA|SEA|SJC|
SJC|LGW,|LGW|IST|FRA|SEA|SJC|
SJC|LHE,|LHE|IST|FRA|SEA|SJC|
SJC|LIS,|LIS|EWR|MDW|SJC|
SJC|LJU,|LJU|IST|FRA|SEA|SJC|
SJC|LOS,|LOS|IAH|SJC|
SJC|LUX,|LUX|IST|FRA|SEA|SJC|
SJC|LWO,|LWO|IST|FRA|SEA|SJC|
SJC|LYS,|LYS|IST|FRA|SEA|SJC|
SJC|MAD,|MAD|EWR|MDW|SJC|
SJC|MAN,|MAN|EWR|MDW|SJC|
SJC|MED,|MED|IST|FRA|SEA|SJC|
SJC|MHD,|MHD|IST|FRA|SEA|SJC|
SJC|MLA,|MLA|IST|FRA|SEA|SJC|
SJC|MRS,|MRS|IST|FRA|SEA|SJC|
SJC|MSQ,|MSQ|IST|FRA|SEA|SJC|
SJC|MXP,|MXP|EWR|MDW|SJC|
SJC|MZH,|MZH|IST|FRA|SEA|SJC|
SJC|MZR,|MZR|IST|FRA|SEA|SJC|
SJC|NAJ,|NAJ|IST|FRA|SEA|SJC|
SJC|NAV,|NAV|IST|FRA|SEA|SJC|
SJC|NCE,|NCE|IST|FRA|SEA|SJC|
SJC|NIM,|NIM|IST|FRA|SEA|SJC|
SJC|NJF,|NJF|IST|FRA|SEA|SJC|
SJC|NSI,|NSI|BRU|ORD|DEN|SJC|
SJC|NUE,|NUE|IST|FRA|SEA|SJC|
SJC|ODS,|ODS|IST|FRA|SEA|SJC|
SJC|ORN,|ORN|IST|FRA|SEA|SJC|
SJC|OTP,|OTP|IST|FRA|SEA|SJC|
SJC|PRG,|PRG|BRU|ORD|DEN|SJC|
SJC|PRN,|PRN|IST|FRA|SEA|SJC|
SJC|RIX,|RIX|IST|FRA|SEA|SJC|
SJC|ROV,|ROV|IST|FRA|SEA|SJC|
SJC|RTM,|RTM|IST|FRA|SEA|SJC|
SJC|RUH,|RUH|IST|FRA|SEA|SJC|
SJC|SAH,|SAH|IST|FRA|SEA|SJC|
SJC|SJJ,|SJJ|IST|FRA|SEA|SJC|
SJC|SKG,|SKG|IST|FRA|SEA|SJC|
SJC|SKP,|SKP|IST|FRA|SEA|SJC|
SJC|SSH,|SSH|IST|FRA|SEA|SJC|
SJC|STR,|STR|EWR|MDW|SJC|
SJC|SVX,|SVX|IST|FRA|SEA|SJC|
SJC|SYZ,|SYZ|IST|FRA|SEA|SJC|
SJC|SZG,|SZG|IST|FRA|SEA|SJC|
SJC|TBZ,|TBZ|IST|FRA|SEA|SJC|
SJC|TGD,|TGD|IST|FRA|SEA|SJC|
SJC|TIA,|TIA|IST|FRA|SEA|SJC|
SJC|TIF,|TIF|IST|FRA|SEA|SJC|
SJC|TIP,|TIP|IST|FRA|SEA|SJC|
SJC|TLL,|TLL|VNO|FRA|SEA|SJC|
SJC|TLS,|TLS|IST|FRA|SEA|SJC|
SJC|TRN,|TRN|IST|FRA|SEA|SJC|
SJC|TUN,|TUN|IST|FRA|SEA|SJC|
