MED|LBD,|LBD|URC|IST|MED|
MED|NLT,|NLT|URC|IST|MED|
MED|OSS,|OSS|IST|MED|
MED|OVB,|OVB|IST|MED|
MED|TBS,|TBS|IST|MED|
MED|TCG,|TCG|URC|IST|MED|
MED|TSE,|TSE|IST|MED|
MED|YIN,|YIN|URC|IST|MED|
MED|ENH,|ENH|WUH|URC|IST|MED|
MED|ENY,|ENY|XIY|URC|IST|MED|
MED|WXN,|WXN|XIY|URC|IST|MED|
MED|BLL,|BLL|IST|MED|
MED|ESB,|ESB|IST|MED|
MED|SAW,|SAW|ADB|IST|MED|
MED|HAM,|HAM|IST|MED|
MED|HRE,|HRE|ADD|IST|MED|
MED|JUB,|JUB|CAI|IST|MED|
MED|SSG,|SSG|DLA|IST|MED|
MED|BGW,|BGW|IST|MED|
MED|EBL,|EBL|IST|MED|
MED|VKO,|VKO|IST|MED|
MED|MCT,|MCT|IST|MED|
MED|AYT,|AYT|IST|MED|
MED|SCQ,|SCQ|BIO|IST|MED|
MED|AAL,|AAL|IST|MED|
MED|AOE,|AOE|BRU|IST|MED|
MED|JNB,|JNB|IST|MED|
MED|LBV,|LBV|DLA|IST|MED|
MED|ADA,|ADA|IST|MED|
MED|ADB,|ADB|IST|MED|
MED|ADF,|ADF|IST|MED|
MED|AJI,|AJI|IST|MED|
MED|BAL,|BAL|IST|MED|
MED|BJV,|BJV|IST|MED|
MED|CKZ,|CKZ|ESB|IST|MED|
MED|DIY,|DIY|IST|MED|
MED|ECN,|ECN|IST|MED|
MED|ERC,|ERC|IST|MED|
MED|ERZ,|ERZ|IST|MED|
MED|EZS,|EZS|IST|MED|
MED|GNY,|GNY|IST|MED|
MED|GZP,|GZP|ESB|IST|MED|
MED|GZT,|GZT|IST|MED|
MED|HTY,|HTY|IST|MED|
MED|KCM,|KCM|IST|MED|
MED|KSY,|KSY|IST|MED|
MED|MLX,|MLX|IST|MED|
MED|MQM,|MQM|IST|MED|
MED|MSR,|MSR|IST|MED|
MED|TEQ,|TEQ|ESB|IST|MED|
MED|TZX,|TZX|IST|MED|
MED|VAN,|VAN|IST|MED|
MED|ULN,|ULN|FRU|IST|MED|
MED|HIJ,|HIJ|ICN|IST|MED|
MED|VVO,|VVO|ICN|IST|MED|
MED|ACC,|ACC|IST|MED|
MED|AER,|AER|IST|MED|
MED|AGP,|AGP|IST|MED|
MED|ALG,|ALG|IST|MED|
MED|AMM,|AMM|IST|MED|
MED|AQJ,|AQJ|IST|MED|
MED|ARN,|ARN|IST|MED|
MED|ASR,|ASR|IST|MED|
MED|ATH,|ATH|IST|MED|
MED|BAH,|BAH|IST|MED|
MED|BEG,|BEG|IST|MED|
MED|BEN,|BEN|IST|MED|
MED|BEY,|BEY|IST|MED|
MED|BHX,|BHX|IST|MED|
MED|BIO,|BIO|IST|MED|
MED|BLQ,|BLQ|IST|MED|
MED|BOM,|BOM|IST|MED|
MED|BRE,|BRE|IST|MED|
MED|BSL,|BSL|IST|MED|
MED|BSR,|BSR|IST|MED|
MED|BUD,|BUD|IST|MED|
MED|BUS,|BUS|IST|MED|
MED|CAI,|CAI|IST|MED|
MED|CGN,|CGN|IST|MED|
MED|CMN,|CMN|IST|MED|
MED|CND,|CND|IST|MED|
MED|DAR,|DAR|IST|MED|
MED|DLM,|DLM|IST|MED|
MED|DMM,|DMM|IST|MED|
MED|DNK,|DNK|IST|MED|
MED|DNZ,|DNZ|IST|MED|
MED|DOK,|DOK|IST|MED|
MED|DUS,|DUS|IST|MED|
MED|EDI,|EDI|IST|MED|
MED|ELQ,|ELQ|IST|MED|
MED|FDH,|FDH|IST|MED|
MED|GOA,|GOA|IST|MED|
MED|GOT,|GOT|IST|MED|
MED|HAJ,|HAJ|IST|MED|
MED|HBE,|HBE|IST|MED|
MED|HEL,|HEL|IST|MED|
MED|HRG,|HRG|IST|MED|
MED|IFN,|IFN|IST|MED|
MED|ISE,|ISE|IST|MED|
MED|ISU,|ISU|IST|MED|
MED|JIB,|JIB|IST|MED|
MED|JRO,|JRO|IST|MED|
MED|KAN,|KAN|IST|MED|
MED|KBL,|KBL|IST|MED|
MED|KBP,|KBP|IST|MED|
MED|KFS,|KFS|IST|MED|
MED|KHI,|KHI|IST|MED|
MED|KIV,|KIV|IST|MED|
MED|KRT,|KRT|IST|MED|
MED|KSH,|KSH|IST|MED|
MED|KVD,|KVD|IST|MED|
MED|KWI,|KWI|IST|MED|
MED|KYA,|KYA|IST|MED|
MED|KZN,|KZN|IST|MED|
MED|KZR,|KZR|IST|MED|
MED|LED,|LED|IST|MED|
MED|LEJ,|LEJ|IST|MED|
MED|LGW,|LGW|IST|MED|
MED|LHE,|LHE|IST|MED|
MED|LIS,|LIS|IST|MED|
MED|LJU,|LJU|IST|MED|
MED|LOS,|LOS|IST|MED|
MED|LUX,|LUX|IST|MED|
MED|LWO,|LWO|IST|MED|
MED|LYS,|LYS|IST|MED|
MED|MAD,|MAD|IST|MED|
MED|MAN,|MAN|IST|MED|
MED|MHD,|MHD|IST|MED|
MED|MLA,|MLA|IST|MED|
MED|MRS,|MRS|IST|MED|
MED|MSQ,|MSQ|IST|MED|
MED|MXP,|MXP|IST|MED|
MED|MZH,|MZH|IST|MED|
MED|MZR,|MZR|IST|MED|
MED|NAJ,|NAJ|IST|MED|
MED|NAV,|NAV|IST|MED|
MED|NCE,|NCE|IST|MED|
MED|NIM,|NIM|IST|MED|
MED|NJF,|NJF|IST|MED|
MED|NSI,|NSI|IST|MED|
MED|NUE,|NUE|IST|MED|
MED|ODS,|ODS|IST|MED|
