ELH|ZAT,|ZAT|KMG|PEK|ORD|ATL|PBI|ELH|
ELH|LUN,|LUN|NBO|ZRH|EWR|PBI|ELH|
ELH|AOG,|AOG|PEK|ORD|ATL|PBI|ELH|
ELH|GMP,|GMP|PEK|ORD|ATL|PBI|ELH|
ELH|ISB,|ISB|IST|BHX|EWR|PBI|ELH|
ELH|TAS,|TAS|IST|BHX|EWR|PBI|ELH|
ELH|WUS,|WUS|PEK|ORD|ATL|PBI|ELH|
ELH|JMU,|JMU|PVG|ORD|ATL|PBI|ELH|
ELH|NDG,|NDG|PVG|ORD|ATL|PBI|ELH|
ELH|JXA,|JXA|SHE|PEK|ORD|ATL|PBI|ELH|
ELH|PUS,|PUS|SHE|PEK|ORD|ATL|PBI|ELH|
ELH|BKI,|BKI|SZX|PEK|ORD|ATL|PBI|ELH|
ELH|AKU,|AKU|URC|TSE|FRA|EWR|PBI|ELH|
ELH|ALA,|ALA|TSE|FRA|EWR|PBI|ELH|
ELH|ASB,|ASB|GYD|FRA|EWR|PBI|ELH|
ELH|DNH,|DNH|URC|TSE|FRA|EWR|PBI|ELH|
ELH|DYU,|DYU|IST|BHX|EWR|PBI|ELH|
ELH|FRU,|FRU|IST|BHX|EWR|PBI|ELH|
ELH|GYD,|GYD|FRA|EWR|PBI|ELH|
ELH|HTN,|HTN|URC|TSE|FRA|EWR|PBI|ELH|
ELH|IKA,|IKA|SAW|FRA|EWR|PBI|ELH|
ELH|KCA,|KCA|URC|TSE|FRA|EWR|PBI|ELH|
ELH|KHG,|KHG|URC|TSE|FRA|EWR|PBI|ELH|
ELH|KRL,|KRL|URC|TSE|FRA|EWR|PBI|ELH|
ELH|KRY,|KRY|URC|TSE|FRA|EWR|PBI|ELH|
ELH|LBD,|LBD|URC|TSE|FRA|EWR|PBI|ELH|
ELH|NLT,|NLT|URC|TSE|FRA|EWR|PBI|ELH|
ELH|OSS,|OSS|IST|BHX|EWR|PBI|ELH|
ELH|OVB,|OVB|IST|BHX|EWR|PBI|ELH|
ELH|TBS,|TBS|SAW|FRA|EWR|PBI|ELH|
ELH|TCG,|TCG|URC|TSE|FRA|EWR|PBI|ELH|
ELH|TSE,|TSE|FRA|EWR|PBI|ELH|
ELH|YIN,|YIN|URC|TSE|FRA|EWR|PBI|ELH|
ELH|ENH,|ENH|WUH|PEK|ORD|ATL|PBI|ELH|
ELH|ENY,|ENY|XIY|PEK|ORD|ATL|PBI|ELH|
ELH|WXN,|WXN|XIY|PEK|ORD|ATL|PBI|ELH|
ELH|BLL,|BLL|IST|BHX|EWR|PBI|ELH|
ELH|ESB,|ESB|FRA|EWR|PBI|ELH|
ELH|SAW,|SAW|FRA|EWR|PBI|ELH|
ELH|HAM,|HAM|EWR|PBI|ELH|
ELH|HRE,|HRE|ADD|JED|FRA|EWR|PBI|ELH|
ELH|JUB,|JUB|CAI|JFK|IAD|FLL|ELH|
ELH|SSG,|SSG|DLA|BRU|EWR|PBI|ELH|
ELH|BGW,|BGW|ESB|FRA|EWR|PBI|ELH|
ELH|EBL,|EBL|IST|BHX|EWR|PBI|ELH|
ELH|VKO,|VKO|IST|BHX|EWR|PBI|ELH|
ELH|MCT,|MCT|IST|BHX|EWR|PBI|ELH|
ELH|AYT,|AYT|IST|BHX|EWR|PBI|ELH|
ELH|SCQ,|SCQ|BIO|IST|BHX|EWR|PBI|ELH|
ELH|AAL,|AAL|IST|BHX|EWR|PBI|ELH|
ELH|AOE,|AOE|BRU|EWR|PBI|ELH|
ELH|JNB,|JNB|DKR|IAD|FLL|ELH|
ELH|LBV,|LBV|DLA|BRU|EWR|PBI|ELH|
ELH|ADA,|ADA|SAW|FRA|EWR|PBI|ELH|
ELH|ADB,|ADB|HAM|EWR|PBI|ELH|
ELH|ADF,|ADF|ESB|FRA|EWR|PBI|ELH|
ELH|AJI,|AJI|ESB|FRA|EWR|PBI|ELH|
ELH|BAL,|BAL|ESB|FRA|EWR|PBI|ELH|
ELH|BJV,|BJV|IST|BHX|EWR|PBI|ELH|
ELH|CKZ,|CKZ|ESB|FRA|EWR|PBI|ELH|
ELH|DIY,|DIY|ESB|FRA|EWR|PBI|ELH|
ELH|ECN,|ECN|IST|BHX|EWR|PBI|ELH|
ELH|ERC,|ERC|ESB|FRA|EWR|PBI|ELH|
ELH|ERZ,|ERZ|ESB|FRA|EWR|PBI|ELH|
ELH|EZS,|EZS|ESB|FRA|EWR|PBI|ELH|
ELH|GNY,|GNY|ESB|FRA|EWR|PBI|ELH|
ELH|GZP,|GZP|ESB|FRA|EWR|PBI|ELH|
ELH|GZT,|GZT|ESB|FRA|EWR|PBI|ELH|
ELH|HTY,|HTY|SAW|FRA|EWR|PBI|ELH|
ELH|KCM,|KCM|ESB|FRA|EWR|PBI|ELH|
ELH|KSY,|KSY|ESB|FRA|EWR|PBI|ELH|
ELH|MLX,|MLX|ESB|FRA|EWR|PBI|ELH|
ELH|MQM,|MQM|ESB|FRA|EWR|PBI|ELH|
ELH|MSR,|MSR|ESB|FRA|EWR|PBI|ELH|
ELH|TEQ,|TEQ|ESB|FRA|EWR|PBI|ELH|
ELH|TZX,|TZX|ESB|FRA|EWR|PBI|ELH|
ELH|VAN,|VAN|ESB|FRA|EWR|PBI|ELH|
ELH|ULN,|ULN|FRU|IST|BHX|EWR|PBI|ELH|
ELH|HIJ,|HIJ|ICN|YVR|DEN|TPA|PBI|ELH|
ELH|VVO,|VVO|ICN|YVR|DEN|TPA|PBI|ELH|
ELH|ACC,|ACC|IST|BHX|EWR|PBI|ELH|
ELH|AER,|AER|IST|BHX|EWR|PBI|ELH|
ELH|AGP,|AGP|IST|BHX|EWR|PBI|ELH|
ELH|ALG,|ALG|IST|BHX|EWR|PBI|ELH|
ELH|AMM,|AMM|IST|BHX|EWR|PBI|ELH|
ELH|AQJ,|AQJ|IST|BHX|EWR|PBI|ELH|
ELH|ARN,|ARN|EWR|PBI|ELH|
ELH|ASR,|ASR|SAW|FRA|EWR|PBI|ELH|
ELH|ATH,|ATH|IST|BHX|EWR|PBI|ELH|
ELH|BAH,|BAH|IST|BHX|EWR|PBI|ELH|
ELH|BEG,|BEG|IST|BHX|EWR|PBI|ELH|
ELH|BEN,|BEN|IST|BHX|EWR|PBI|ELH|
ELH|BEY,|BEY|IST|BHX|EWR|PBI|ELH|
ELH|BHX,|BHX|EWR|PBI|ELH|
ELH|BIO,|BIO|IST|BHX|EWR|PBI|ELH|
ELH|BLQ,|BLQ|IST|BHX|EWR|PBI|ELH|
ELH|BOM,|BOM|EWR|PBI|ELH|
ELH|BRE,|BRE|IST|BHX|EWR|PBI|ELH|
ELH|BSL,|BSL|IST|BHX|EWR|PBI|ELH|
ELH|BSR,|BSR|IST|BHX|EWR|PBI|ELH|
ELH|BUD,|BUD|IST|BHX|EWR|PBI|ELH|
ELH|BUS,|BUS|IST|BHX|EWR|PBI|ELH|
ELH|CAI,|CAI|JFK|IAD|FLL|ELH|
ELH|CGN,|CGN|IST|BHX|EWR|PBI|ELH|
ELH|CMN,|CMN|IST|BHX|EWR|PBI|ELH|
ELH|CND,|CND|IST|BHX|EWR|PBI|ELH|
ELH|DAR,|DAR|NBO|ZRH|EWR|PBI|ELH|
ELH|DLM,|DLM|IST|BHX|EWR|PBI|ELH|
ELH|DMM,|DMM|IST|BHX|EWR|PBI|ELH|
ELH|DNK,|DNK|IST|BHX|EWR|PBI|ELH|
ELH|DNZ,|DNZ|IST|BHX|EWR|PBI|ELH|
ELH|DOK,|DOK|IST|BHX|EWR|PBI|ELH|
ELH|DUS,|DUS|EWR|PBI|ELH|
ELH|EDI,|EDI|EWR|PBI|ELH|
