TGO|IFN,|IFN|IST|URC|HET|TGO|
TGO|ISE,|ISE|IST|URC|HET|TGO|
TGO|ISU,|ISU|IST|URC|HET|TGO|
TGO|JIB,|JIB|IST|URC|HET|TGO|
TGO|JRO,|JRO|IST|URC|HET|TGO|
TGO|KAN,|KAN|IST|URC|HET|TGO|
TGO|KBL,|KBL|IST|URC|HET|TGO|
TGO|KBP,|KBP|IST|URC|HET|TGO|
TGO|KFS,|KFS|IST|URC|HET|TGO|
TGO|KHI,|KHI|IST|URC|HET|TGO|
TGO|KIV,|KIV|IST|URC|HET|TGO|
TGO|KRT,|KRT|IST|URC|HET|TGO|
TGO|KSH,|KSH|IST|URC|HET|TGO|
TGO|KVD,|KVD|IST|URC|HET|TGO|
TGO|KWI,|KWI|SAW|TBS|URC|HET|TGO|
TGO|KYA,|KYA|SAW|TBS|URC|HET|TGO|
TGO|KZN,|KZN|IST|URC|HET|TGO|
TGO|KZR,|KZR|IST|URC|HET|TGO|
TGO|LED,|LED|IST|URC|HET|TGO|
TGO|LEJ,|LEJ|IST|URC|HET|TGO|
TGO|LGW,|LGW|IST|URC|HET|TGO|
TGO|LHE,|LHE|IST|URC|HET|TGO|
TGO|LIS,|LIS|IST|URC|HET|TGO|
TGO|LJU,|LJU|IST|URC|HET|TGO|
TGO|LOS,|LOS|IST|URC|HET|TGO|
TGO|LUX,|LUX|IST|URC|HET|TGO|
TGO|LWO,|LWO|IST|URC|HET|TGO|
TGO|LYS,|LYS|IST|URC|HET|TGO|
TGO|MAD,|MAD|IST|URC|HET|TGO|
TGO|MAN,|MAN|IST|URC|HET|TGO|
TGO|MED,|MED|IST|URC|HET|TGO|
TGO|MHD,|MHD|IST|URC|HET|TGO|
TGO|MLA,|MLA|IST|URC|HET|TGO|
TGO|MRS,|MRS|IST|URC|HET|TGO|
TGO|MSQ,|MSQ|IST|URC|HET|TGO|
