AQJ|TRN,|TRN|IST|AQJ|
AQJ|TUN,|TUN|IST|AQJ|
AQJ|TXL,|TXL|IST|AQJ|
AQJ|UFA,|UFA|IST|AQJ|
AQJ|VAS,|VAS|IST|AQJ|
AQJ|VCE,|VCE|IST|AQJ|
AQJ|YNB,|YNB|IST|AQJ|
AQJ|ZAG,|ZAG|IST|AQJ|
AQJ|MGQ,|MGQ|JIB|IST|AQJ|
AQJ|CPT,|CPT|JNB|IST|AQJ|
AQJ|MBA,|MBA|JRO|IST|AQJ|
AQJ|NDJ,|NDJ|KAN|IST|AQJ|
AQJ|CMB,|CMB|MLE|IST|AQJ|
