CCS|SYX,|SYX|CAN|YVR|IAH|CCS|
CCS|TAO,|TAO|DLC|ICN|YVR|IAH|CCS|
CCS|TEN,|TEN|PEK|IAH|CCS|
CCS|TNA,|TNA|DLC|ICN|YVR|IAH|CCS|
CCS|TPE,|TPE|PVG|YVR|IAH|CCS|
CCS|TSN,|TSN|DLC|ICN|YVR|IAH|CCS|
CCS|TXN,|TXN|DLC|ICN|YVR|IAH|CCS|
CCS|TYN,|TYN|DLC|ICN|YVR|IAH|CCS|
CCS|WNZ,|WNZ|CGO|PEK|IAH|CCS|
CCS|WUX,|WUX|CAN|YVR|IAH|CCS|
CCS|XFN,|XFN|XMN|PEK|IAH|CCS|
CCS|XIY,|XIY|PEK|IAH|CCS|
CCS|XUZ,|XUZ|LYG|HSN|PEK|IAH|CCS|
CCS|YIH,|YIH|CKG|PEK|IAH|CCS|
CCS|YIW,|YIW|PEK|IAH|CCS|
CCS|YNT,|YNT|SHE|ICN|YVR|IAH|CCS|
CCS|YNZ,|YNZ|DLC|ICN|YVR|IAH|CCS|
CCS|YTY,|YTY|DLC|ICN|YVR|IAH|CCS|
CCS|ZHA,|ZHA|CAN|YVR|IAH|CCS|
CCS|ZYI,|ZYI|PEK|IAH|CCS|
CCS|BAV,|BAV|SJW|DLC|ICN|YVR|IAH|CCS|
CCS|CJU,|CJU|DLC|ICN|YVR|IAH|CCS|
CCS|DSN,|DSN|CGO|PEK|IAH|CCS|
CCS|HMI,|HMI|CGO|PEK|IAH|CCS|
CCS|INC,|INC|PEK|IAH|CCS|
CCS|KHH,|KHH|CGO|PEK|IAH|CCS|
CCS|UYN,|UYN|CGO|PEK|IAH|CCS|
CCS|XNN,|XNN|PEK|IAH|CCS|
CCS|ZUH,|ZUH|PVG|YVR|IAH|CCS|
CCS|YNJ,|YNJ|ICN|YVR|IAH|CCS|
CCS|DAT,|DAT|CIH|PEK|IAH|CCS|
CCS|JHG,|JHG|CKG|PEK|IAH|CCS|
CCS|LJG,|LJG|CKG|PEK|IAH|CCS|
CCS|LXA,|LXA|XIY|PEK|IAH|CCS|
CCS|YCU,|YCU|CSX|PEK|IAH|CCS|
CCS|LZO,|LZO|CSX|PEK|IAH|CCS|
CCS|MDG,|MDG|ICN|YVR|IAH|CCS|
CCS|NGO,|NGO|ICN|YVR|IAH|CCS|
CCS|TOY,|TOY|DLC|ICN|YVR|IAH|CCS|
CCS|MFM,|MFM|XMN|PEK|IAH|CCS|
CCS|TGO,|TGO|HET|DLC|ICN|YVR|IAH|CCS|
CCS|XIL,|XIL|HET|DLC|ICN|YVR|IAH|CCS|
CCS|HEK,|HEK|HRB|ICN|YVR|IAH|CCS|
CCS|KIJ,|KIJ|HRB|ICN|YVR|IAH|CCS|
CCS|LDS,|LDS|HRB|ICN|YVR|IAH|CCS|
CCS|OHE,|OHE|HRB|ICN|YVR|IAH|CCS|
CCS|HSN,|HSN|PEK|IAH|CCS|
CCS|DLU,|DLU|KMG|PEK|IAH|CCS|
CCS|SYM,|SYM|KMG|PEK|IAH|CCS|
CCS|ZAT,|ZAT|KMG|PEK|IAH|CCS|
CCS|LUN,|LUN|NBO|ZRH|YUL|IAH|CCS|
CCS|AOG,|AOG|PEK|IAH|CCS|
CCS|GMP,|GMP|PEK|IAH|CCS|
CCS|ISB,|ISB|IST|IAH|CCS|
CCS|TAS,|TAS|IST|IAH|CCS|
CCS|WUS,|WUS|PEK|IAH|CCS|
CCS|JMU,|JMU|PVG|YVR|IAH|CCS|
CCS|NDG,|NDG|PVG|YVR|IAH|CCS|
CCS|JXA,|JXA|SHE|ICN|YVR|IAH|CCS|
CCS|PUS,|PUS|SHE|ICN|YVR|IAH|CCS|
CCS|BKI,|BKI|SZX|PVG|YVR|IAH|CCS|
CCS|AKU,|AKU|URC|PEK|IAH|CCS|
CCS|ALA,|ALA|TSE|FRA|IAH|CCS|
CCS|ASB,|ASB|GYD|FRA|IAH|CCS|
CCS|DNH,|DNH|XIY|PEK|IAH|CCS|
CCS|DYU,|DYU|IST|IAH|CCS|
CCS|FRU,|FRU|IST|IAH|CCS|
CCS|GYD,|GYD|FRA|IAH|CCS|
CCS|HTN,|HTN|URC|PEK|IAH|CCS|
CCS|IKA,|IKA|SAW|VIE|YYZ|IAH|CCS|
CCS|KCA,|KCA|URC|PEK|IAH|CCS|
