MEL|NAV,|NAV|IST|BKK|MEL|
MEL|NCE,|NCE|IST|BKK|MEL|
MEL|NIM,|NIM|IST|BKK|MEL|
MEL|NJF,|NJF|IST|BKK|MEL|
MEL|NSI,|NSI|IST|BKK|MEL|
MEL|NUE,|NUE|IST|BKK|MEL|
MEL|ODS,|ODS|IST|BKK|MEL|
MEL|ORN,|ORN|IST|BKK|MEL|
MEL|OTP,|OTP|IST|BKK|MEL|
MEL|PRG,|PRG|IST|BKK|MEL|
MEL|PRN,|PRN|IST|BKK|MEL|
MEL|RIX,|RIX|IST|BKK|MEL|
MEL|ROV,|ROV|IST|BKK|MEL|
MEL|RTM,|RTM|IST|BKK|MEL|
MEL|RUH,|RUH|IST|BKK|MEL|
MEL|SAH,|SAH|IST|BKK|MEL|
MEL|SJJ,|SJJ|IST|BKK|MEL|
MEL|SKG,|SKG|IST|BKK|MEL|
MEL|SKP,|SKP|IST|BKK|MEL|
MEL|SSH,|SSH|IST|BKK|MEL|
MEL|STR,|STR|IST|BKK|MEL|
MEL|SVX,|SVX|IST|BKK|MEL|
MEL|SYZ,|SYZ|IST|BKK|MEL|
MEL|SZG,|SZG|IST|BKK|MEL|
MEL|TBZ,|TBZ|IST|BKK|MEL|
MEL|TGD,|TGD|IST|BKK|MEL|
MEL|TIA,|TIA|IST|BKK|MEL|
MEL|TIF,|TIF|IST|BKK|MEL|
MEL|TIP,|TIP|IST|BKK|MEL|
MEL|TLL,|TLL|IST|BKK|MEL|
MEL|TLS,|TLS|IST|BKK|MEL|
MEL|TRN,|TRN|IST|BKK|MEL|
MEL|TUN,|TUN|IST|BKK|MEL|
MEL|TXL,|TXL|IST|BKK|MEL|
MEL|UFA,|UFA|IST|BKK|MEL|
MEL|VAS,|VAS|IST|BKK|MEL|
MEL|VCE,|VCE|IST|BKK|MEL|
MEL|YNB,|YNB|IST|BKK|MEL|
MEL|ZAG,|ZAG|IST|BKK|MEL|
MEL|MGQ,|MGQ|JIB|IST|BKK|MEL|
MEL|CPT,|CPT|JNB|IST|BKK|MEL|
MEL|MBA,|MBA|JRO|IST|BKK|MEL|
MEL|NDJ,|NDJ|KAN|IST|BKK|MEL|
MEL|CMB,|CMB|MLE|CAN|MEL|
MEL|ADE,|ADE|SAH|IST|BKK|MEL|
MEL|ASF,|ASF|SAW|ADB|IST|BKK|MEL|
MEL|STW,|STW|SAW|ADB|IST|BKK|MEL|
MEL|LFW,|LFW|ABJ|OUA|NIM|IST|BKK|MEL|
MEL|CEC,|CEC|SFO|SYD|MEL|
MEL|SMF,|SMF|SFO|SYD|MEL|
MEL|CDR,|CDR|AIA|DEN|LAX|SYD|MEL|
MEL|FMN,|FMN|SOW|PHX|LAX|SYD|MEL|
MEL|JST,|JST|IAD|LAX|SYD|MEL|
MEL|JHW,|JHW|CLE|LAX|SYD|MEL|
MEL|SHD,|SHD|IAD|LAX|SYD|MEL|
MEL|PTY,|PTY|LAX|SYD|MEL|
MEL|FNA,|FNA|BRU|IST|BKK|MEL|
MEL|SXB,|SXB|BRU|IST|BKK|MEL|
