OKC|SCQ,|SCQ|BIO|IST|ORD|OKC|
OKC|AAL,|AAL|IST|ORD|OKC|
OKC|AOE,|AOE|BRU|ORD|OKC|
OKC|JNB,|JNB|DKR|IAD|OKC|
OKC|LBV,|LBV|DLA|BRU|ORD|OKC|
OKC|ADA,|ADA|IST|ORD|OKC|
OKC|ADB,|ADB|IST|ORD|OKC|
OKC|ADF,|ADF|ESB|VIE|ORD|OKC|
OKC|AJI,|AJI|ESB|VIE|ORD|OKC|
OKC|BAL,|BAL|ESB|VIE|ORD|OKC|
OKC|BJV,|BJV|IST|ORD|OKC|
OKC|CKZ,|CKZ|ESB|VIE|ORD|OKC|
OKC|DIY,|DIY|ESB|VIE|ORD|OKC|
OKC|ECN,|ECN|IST|ORD|OKC|
OKC|ERC,|ERC|ESB|VIE|ORD|OKC|
OKC|ERZ,|ERZ|ESB|VIE|ORD|OKC|
OKC|EZS,|EZS|ESB|VIE|ORD|OKC|
OKC|GNY,|GNY|ESB|VIE|ORD|OKC|
OKC|GZP,|GZP|ESB|VIE|ORD|OKC|
OKC|GZT,|GZT|ESB|VIE|ORD|OKC|
OKC|HTY,|HTY|IST|ORD|OKC|
OKC|KCM,|KCM|ESB|VIE|ORD|OKC|
OKC|KSY,|KSY|ESB|VIE|ORD|OKC|
OKC|MLX,|MLX|ESB|VIE|ORD|OKC|
OKC|MQM,|MQM|ESB|VIE|ORD|OKC|
OKC|MSR,|MSR|ESB|VIE|ORD|OKC|
OKC|TEQ,|TEQ|ESB|VIE|ORD|OKC|
OKC|TZX,|TZX|ESB|VIE|ORD|OKC|
OKC|VAN,|VAN|ESB|VIE|ORD|OKC|
OKC|ULN,|ULN|FRU|IST|ORD|OKC|
OKC|HIJ,|HIJ|ICN|YVR|DEN|OKC|
OKC|VVO,|VVO|ICN|YVR|DEN|OKC|
OKC|ACC,|ACC|IST|ORD|OKC|
OKC|AER,|AER|IST|ORD|OKC|
OKC|AGP,|AGP|IST|ORD|OKC|
OKC|ALG,|ALG|IST|ORD|OKC|
OKC|AMM,|AMM|IST|ORD|OKC|
OKC|AQJ,|AQJ|IST|ORD|OKC|
OKC|ARN,|ARN|EWR|OKC|
OKC|ASR,|ASR|SAW|VIE|ORD|OKC|
OKC|ATH,|ATH|IST|ORD|OKC|
OKC|BAH,|BAH|IST|ORD|OKC|
OKC|BEG,|BEG|IST|ORD|OKC|
OKC|BEN,|BEN|IST|ORD|OKC|
OKC|BEY,|BEY|IST|ORD|OKC|
OKC|BHX,|BHX|EWR|OKC|
OKC|BIO,|BIO|IST|ORD|OKC|
OKC|BLQ,|BLQ|IST|ORD|OKC|
OKC|BOM,|BOM|EWR|OKC|
OKC|BRE,|BRE|IST|ORD|OKC|
OKC|BSL,|BSL|IST|ORD|OKC|
OKC|BSR,|BSR|IST|ORD|OKC|
OKC|BUD,|BUD|IST|ORD|OKC|
OKC|BUS,|BUS|IST|ORD|OKC|
OKC|CAI,|CAI|IST|ORD|OKC|
OKC|CGN,|CGN|IST|ORD|OKC|
OKC|CMN,|CMN|IST|ORD|OKC|
OKC|CND,|CND|IST|ORD|OKC|
OKC|DAR,|DAR|NBO|ZRH|ORD|OKC|
OKC|DLM,|DLM|IST|ORD|OKC|
OKC|DMM,|DMM|IST|ORD|OKC|
OKC|DNK,|DNK|IST|ORD|OKC|
OKC|DNZ,|DNZ|IST|ORD|OKC|
OKC|DOK,|DOK|IST|ORD|OKC|
OKC|DUS,|DUS|ORD|OKC|
OKC|EDI,|EDI|EWR|OKC|
OKC|ELQ,|ELQ|IST|ORD|OKC|
OKC|FDH,|FDH|IST|ORD|OKC|
OKC|GOA,|GOA|IST|ORD|OKC|
OKC|GOT,|GOT|BRU|ORD|OKC|
OKC|HAJ,|HAJ|BRU|ORD|OKC|
OKC|HBE,|HBE|IST|ORD|OKC|
OKC|HEL,|HEL|IST|ORD|OKC|
OKC|HRG,|HRG|IST|ORD|OKC|
OKC|IFN,|IFN|IST|ORD|OKC|
OKC|ISE,|ISE|IST|ORD|OKC|
OKC|ISU,|ISU|IST|ORD|OKC|
OKC|JIB,|JIB|IST|ORD|OKC|
OKC|JRO,|JRO|IST|ORD|OKC|
OKC|KAN,|KAN|IST|ORD|OKC|
OKC|KBL,|KBL|IST|ORD|OKC|
OKC|KBP,|KBP|IST|ORD|OKC|
OKC|KFS,|KFS|IST|ORD|OKC|
OKC|KHI,|KHI|IST|ORD|OKC|
OKC|KIV,|KIV|IST|ORD|OKC|
OKC|KRT,|KRT|IST|ORD|OKC|
OKC|KSH,|KSH|IST|ORD|OKC|
OKC|KVD,|KVD|IST|ORD|OKC|
OKC|KWI,|KWI|SAW|VIE|ORD|OKC|
OKC|KYA,|KYA|IST|ORD|OKC|
OKC|KZN,|KZN|IST|ORD|OKC|
OKC|KZR,|KZR|IST|ORD|OKC|
OKC|LED,|LED|VIE|ORD|OKC|
OKC|LEJ,|LEJ|IST|ORD|OKC|
OKC|LGW,|LGW|IST|ORD|OKC|
OKC|LHE,|LHE|IST|ORD|OKC|
