BFS|PRN,|PRN|IST|BHX|EWR|BFS|
BFS|RIX,|RIX|IST|BHX|EWR|BFS|
BFS|ROV,|ROV|IST|BHX|EWR|BFS|
BFS|RTM,|RTM|IST|BHX|EWR|BFS|
BFS|RUH,|RUH|IST|BHX|EWR|BFS|
BFS|SAH,|SAH|IST|BHX|EWR|BFS|
BFS|SJJ,|SJJ|IST|BHX|EWR|BFS|
BFS|SKG,|SKG|IST|BHX|EWR|BFS|
BFS|SKP,|SKP|IST|BHX|EWR|BFS|
BFS|SSH,|SSH|IST|BHX|EWR|BFS|
BFS|STR,|STR|EWR|BFS|
BFS|SVX,|SVX|IST|BHX|EWR|BFS|
BFS|SYZ,|SYZ|IST|BHX|EWR|BFS|
BFS|SZG,|SZG|IST|BHX|EWR|BFS|
BFS|TBZ,|TBZ|IST|BHX|EWR|BFS|
BFS|TGD,|TGD|IST|BHX|EWR|BFS|
BFS|TIA,|TIA|IST|BHX|EWR|BFS|
BFS|TIF,|TIF|IST|BHX|EWR|BFS|
BFS|TIP,|TIP|IST|BHX|EWR|BFS|
BFS|TLL,|TLL|VNO|CPH|AMS|EWR|BFS|
