JAX|ERZ,|ERZ|ESB|FRA|EWR|JAX|
JAX|EZS,|EZS|ESB|FRA|EWR|JAX|
JAX|GNY,|GNY|ESB|FRA|EWR|JAX|
JAX|GZP,|GZP|ESB|FRA|EWR|JAX|
JAX|GZT,|GZT|ESB|FRA|EWR|JAX|
JAX|HTY,|HTY|SAW|FRA|EWR|JAX|
JAX|KCM,|KCM|ESB|FRA|EWR|JAX|
JAX|KSY,|KSY|ESB|FRA|EWR|JAX|
JAX|MLX,|MLX|ESB|FRA|EWR|JAX|
JAX|MQM,|MQM|ESB|FRA|EWR|JAX|
JAX|MSR,|MSR|ESB|FRA|EWR|JAX|
JAX|TEQ,|TEQ|ESB|FRA|EWR|JAX|
JAX|TZX,|TZX|ESB|FRA|EWR|JAX|
JAX|VAN,|VAN|ESB|FRA|EWR|JAX|
JAX|ULN,|ULN|FRU|IST|BHX|EWR|JAX|
JAX|HIJ,|HIJ|ICN|YVR|DEN|JAX|
JAX|VVO,|VVO|ICN|YVR|DEN|JAX|
JAX|ACC,|ACC|IST|BHX|EWR|JAX|
JAX|AER,|AER|IST|BHX|EWR|JAX|
JAX|AGP,|AGP|IST|BHX|EWR|JAX|
JAX|ALG,|ALG|IST|BHX|EWR|JAX|
JAX|AMM,|AMM|IST|BHX|EWR|JAX|
JAX|AQJ,|AQJ|IST|BHX|EWR|JAX|
JAX|ARN,|ARN|EWR|JAX|
JAX|ASR,|ASR|SAW|FRA|EWR|JAX|
JAX|ATH,|ATH|IST|BHX|EWR|JAX|
JAX|BAH,|BAH|IST|BHX|EWR|JAX|
JAX|BEG,|BEG|IST|BHX|EWR|JAX|
JAX|BEN,|BEN|IST|BHX|EWR|JAX|
JAX|BEY,|BEY|IST|BHX|EWR|JAX|
JAX|BHX,|BHX|EWR|JAX|
JAX|BIO,|BIO|IST|BHX|EWR|JAX|
JAX|BLQ,|BLQ|IST|BHX|EWR|JAX|
JAX|BOM,|BOM|EWR|JAX|
JAX|BRE,|BRE|IST|BHX|EWR|JAX|
JAX|BSL,|BSL|IST|BHX|EWR|JAX|
JAX|BSR,|BSR|IST|BHX|EWR|JAX|
JAX|BUD,|BUD|IST|BHX|EWR|JAX|
JAX|BUS,|BUS|IST|BHX|EWR|JAX|
JAX|CAI,|CAI|JFK|IAD|JAX|
JAX|CGN,|CGN|IST|BHX|EWR|JAX|
JAX|CMN,|CMN|IST|BHX|EWR|JAX|
JAX|CND,|CND|IST|BHX|EWR|JAX|
JAX|DAR,|DAR|NBO|ZRH|EWR|JAX|
JAX|DLM,|DLM|IST|BHX|EWR|JAX|
JAX|DMM,|DMM|IST|BHX|EWR|JAX|
JAX|DNK,|DNK|IST|BHX|EWR|JAX|
JAX|DNZ,|DNZ|IST|BHX|EWR|JAX|
JAX|DOK,|DOK|IST|BHX|EWR|JAX|
JAX|DUS,|DUS|EWR|JAX|
JAX|EDI,|EDI|EWR|JAX|
JAX|ELQ,|ELQ|IST|BHX|EWR|JAX|
JAX|FDH,|FDH|IST|BHX|EWR|JAX|
JAX|GOA,|GOA|IST|BHX|EWR|JAX|
JAX|GOT,|GOT|BRU|EWR|JAX|
JAX|HAJ,|HAJ|BRU|EWR|JAX|
JAX|HBE,|HBE|IST|BHX|EWR|JAX|
JAX|HEL,|HEL|IST|BHX|EWR|JAX|
JAX|HRG,|HRG|IST|BHX|EWR|JAX|
JAX|IFN,|IFN|IST|BHX|EWR|JAX|
JAX|ISE,|ISE|IST|BHX|EWR|JAX|
JAX|ISU,|ISU|IST|BHX|EWR|JAX|
JAX|JIB,|JIB|IST|BHX|EWR|JAX|
JAX|JRO,|JRO|IST|BHX|EWR|JAX|
JAX|KAN,|KAN|IST|BHX|EWR|JAX|
JAX|KBL,|KBL|IST|BHX|EWR|JAX|
JAX|KBP,|KBP|IST|BHX|EWR|JAX|
JAX|KFS,|KFS|IST|BHX|EWR|JAX|
JAX|KHI,|KHI|IST|BHX|EWR|JAX|
JAX|KIV,|KIV|IST|BHX|EWR|JAX|
JAX|KRT,|KRT|IST|BHX|EWR|JAX|
JAX|KSH,|KSH|IST|BHX|EWR|JAX|
JAX|KVD,|KVD|IST|BHX|EWR|JAX|
JAX|KWI,|KWI|SAW|FRA|EWR|JAX|
JAX|KYA,|KYA|IST|BHX|EWR|JAX|
JAX|KZN,|KZN|IST|BHX|EWR|JAX|
JAX|KZR,|KZR|IST|BHX|EWR|JAX|
JAX|LED,|LED|VIE|IAD|JAX|
JAX|LEJ,|LEJ|IST|BHX|EWR|JAX|
JAX|LGW,|LGW|IST|BHX|EWR|JAX|
JAX|LHE,|LHE|IST|BHX|EWR|JAX|
JAX|LIS,|LIS|EWR|JAX|
JAX|LJU,|LJU|IST|BHX|EWR|JAX|
JAX|LOS,|LOS|IAH|JAX|
JAX|LUX,|LUX|IST|BHX|EWR|JAX|
JAX|LWO,|LWO|IST|BHX|EWR|JAX|
JAX|LYS,|LYS|IST|BHX|EWR|JAX|
JAX|MAD,|MAD|EWR|JAX|
JAX|MAN,|MAN|EWR|JAX|
JAX|MED,|MED|IST|BHX|EWR|JAX|
JAX|MHD,|MHD|IST|BHX|EWR|JAX|
JAX|MLA,|MLA|IST|BHX|EWR|JAX|
JAX|MRS,|MRS|IST|BHX|EWR|JAX|
JAX|MSQ,|MSQ|IST|BHX|EWR|JAX|
JAX|MXP,|MXP|EWR|JAX|
JAX|MZH,|MZH|IST|BHX|EWR|JAX|
JAX|MZR,|MZR|IST|BHX|EWR|JAX|
JAX|NAJ,|NAJ|IST|BHX|EWR|JAX|
JAX|NAV,|NAV|IST|BHX|EWR|JAX|
JAX|NCE,|NCE|IST|BHX|EWR|JAX|
JAX|NIM,|NIM|IST|BHX|EWR|JAX|
JAX|NJF,|NJF|IST|BHX|EWR|JAX|
JAX|NSI,|NSI|BRU|EWR|JAX|
JAX|NUE,|NUE|IST|BHX|EWR|JAX|
JAX|ODS,|ODS|IST|BHX|EWR|JAX|
JAX|ORN,|ORN|IST|BHX|EWR|JAX|
JAX|OTP,|OTP|IST|BHX|EWR|JAX|
JAX|PRG,|PRG|BRU|EWR|JAX|
JAX|PRN,|PRN|IST|BHX|EWR|JAX|
JAX|RIX,|RIX|IST|BHX|EWR|JAX|
JAX|ROV,|ROV|IST|BHX|EWR|JAX|
JAX|RTM,|RTM|IST|BHX|EWR|JAX|
JAX|RUH,|RUH|IST|BHX|EWR|JAX|
JAX|SAH,|SAH|IST|BHX|EWR|JAX|
JAX|SJJ,|SJJ|IST|BHX|EWR|JAX|
JAX|SKG,|SKG|IST|BHX|EWR|JAX|
JAX|SKP,|SKP|IST|BHX|EWR|JAX|
JAX|SSH,|SSH|IST|BHX|EWR|JAX|
JAX|STR,|STR|EWR|JAX|
JAX|SVX,|SVX|IST|BHX|EWR|JAX|
JAX|SYZ,|SYZ|IST|BHX|EWR|JAX|
JAX|SZG,|SZG|IST|BHX|EWR|JAX|
JAX|TBZ,|TBZ|IST|BHX|EWR|JAX|
JAX|TGD,|TGD|IST|BHX|EWR|JAX|
JAX|TIA,|TIA|IST|BHX|EWR|JAX|
JAX|TIF,|TIF|IST|BHX|EWR|JAX|
JAX|TIP,|TIP|IST|BHX|EWR|JAX|
JAX|TLL,|TLL|VNO|CPH|AMS|EWR|JAX|
JAX|TLS,|TLS|IST|BHX|EWR|JAX|
JAX|TRN,|TRN|IST|BHX|EWR|JAX|
JAX|TUN,|TUN|IST|BHX|EWR|JAX|
JAX|TXL,|TXL|EWR|JAX|
