HTY|MEL,|MEL|BKK|IST|HTY|
HTY|MIG,|MIG|CSX|URC|TBS|SAW|HTY|
HTY|MLE,|MLE|IST|HTY|
HTY|MNL,|MNL|CAN|IST|HTY|
HTY|MXZ,|MXZ|CAN|IST|HTY|
HTY|NAO,|NAO|PEK|IST|HTY|
HTY|NGB,|NGB|WUH|URC|TBS|SAW|HTY|
HTY|NKG,|NKG|URC|TBS|SAW|HTY|
HTY|NNY,|NNY|CGO|URC|TBS|SAW|HTY|
HTY|PEN,|PEN|CAN|IST|HTY|
HTY|PER,|PER|BKK|IST|HTY|
HTY|PNH,|PNH|CAN|IST|HTY|
HTY|REP,|REP|CAN|IST|HTY|
HTY|RGN,|RGN|CAN|IST|HTY|
HTY|SGN,|SGN|BKK|IST|HTY|
HTY|SHA,|SHA|URC|TBS|SAW|HTY|
HTY|SIN,|SIN|IST|HTY|
HTY|SVO,|SVO|URC|TBS|SAW|HTY|
HTY|SYX,|SYX|CKG|URC|TBS|SAW|HTY|
HTY|TAO,|TAO|TYN|URC|TBS|SAW|HTY|
HTY|TEN,|TEN|CAN|IST|HTY|
HTY|TNA,|TNA|URC|TBS|SAW|HTY|
HTY|TPE,|TPE|URC|TBS|SAW|HTY|
HTY|TSN,|TSN|HET|URC|TBS|SAW|HTY|
HTY|TXN,|TXN|TYN|URC|TBS|SAW|HTY|
HTY|TYN,|TYN|URC|TBS|SAW|HTY|
HTY|WNZ,|WNZ|XIY|URC|TBS|SAW|HTY|
HTY|WUX,|WUX|CAN|IST|HTY|
HTY|XFN,|XFN|CAN|IST|HTY|
HTY|XIY,|XIY|URC|TBS|SAW|HTY|
HTY|XUZ,|XUZ|INC|URC|TBS|SAW|HTY|
HTY|YIH,|YIH|CKG|URC|TBS|SAW|HTY|
HTY|YIW,|YIW|URC|TBS|SAW|HTY|
HTY|YNT,|YNT|SHE|PEK|IST|HTY|
HTY|YNZ,|YNZ|WUH|URC|TBS|SAW|HTY|
HTY|YTY,|YTY|CGO|URC|TBS|SAW|HTY|
HTY|ZHA,|ZHA|CAN|IST|HTY|
HTY|ZYI,|ZYI|CAN|IST|HTY|
HTY|BAV,|BAV|URC|TBS|SAW|HTY|
HTY|CJU,|CJU|DLC|PEK|IST|HTY|
HTY|DSN,|DSN|CGO|URC|TBS|SAW|HTY|
HTY|HMI,|HMI|URC|TBS|SAW|HTY|
HTY|INC,|INC|URC|TBS|SAW|HTY|
HTY|KHH,|KHH|WUH|URC|TBS|SAW|HTY|
HTY|UYN,|UYN|XIY|URC|TBS|SAW|HTY|
HTY|XNN,|XNN|URC|TBS|SAW|HTY|
HTY|ZUH,|ZUH|KWE|URC|TBS|SAW|HTY|
HTY|YNJ,|YNJ|PEK|IST|HTY|
HTY|DAT,|DAT|TYN|URC|TBS|SAW|HTY|
HTY|JHG,|JHG|KMG|CTU|URC|TBS|SAW|HTY|
HTY|LJG,|LJG|KMG|CTU|URC|TBS|SAW|HTY|
HTY|LXA,|LXA|CKG|URC|TBS|SAW|HTY|
HTY|YCU,|YCU|CKG|URC|TBS|SAW|HTY|
HTY|LZO,|LZO|CSX|URC|TBS|SAW|HTY|
HTY|MDG,|MDG|DLC|PEK|IST|HTY|
HTY|NGO,|NGO|ICN|IST|HTY|
HTY|TOY,|TOY|DLC|PEK|IST|HTY|
HTY|MFM,|MFM|XMN|CSX|URC|TBS|SAW|HTY|
HTY|TGO,|TGO|HET|URC|TBS|SAW|HTY|
HTY|XIL,|XIL|HET|URC|TBS|SAW|HTY|
HTY|HEK,|HEK|HRB|PEK|IST|HTY|
HTY|KIJ,|KIJ|HRB|PEK|IST|HTY|
HTY|LDS,|LDS|HRB|PEK|IST|HTY|
HTY|OHE,|OHE|HRB|PEK|IST|HTY|
HTY|HSN,|HSN|LYG|XUZ|INC|URC|TBS|SAW|HTY|
HTY|DLU,|DLU|KMG|CTU|URC|TBS|SAW|HTY|
HTY|SYM,|SYM|KMG|CTU|URC|TBS|SAW|HTY|
HTY|ZAT,|ZAT|KMG|CTU|URC|TBS|SAW|HTY|
HTY|LUN,|LUN|NBO|IST|HTY|
HTY|AOG,|AOG|PEK|IST|HTY|
HTY|GMP,|GMP|PEK|IST|HTY|
HTY|ISB,|ISB|IST|HTY|
HTY|TAS,|TAS|IST|HTY|
HTY|WUS,|WUS|PEK|IST|HTY|
HTY|JMU,|JMU|PVG|URC|TBS|SAW|HTY|
HTY|NDG,|NDG|PVG|URC|TBS|SAW|HTY|
HTY|JXA,|JXA|SHE|PEK|IST|HTY|
HTY|PUS,|PUS|SHE|PEK|IST|HTY|
HTY|BKI,|BKI|SZX|CKG|URC|TBS|SAW|HTY|
HTY|AKU,|AKU|URC|TBS|SAW|HTY|
HTY|ALA,|ALA|IST|HTY|
HTY|ASB,|ASB|IST|HTY|
HTY|DNH,|DNH|URC|TBS|SAW|HTY|
HTY|DYU,|DYU|IST|HTY|
HTY|FRU,|FRU|IST|HTY|
HTY|GYD,|GYD|IST|HTY|
HTY|HTN,|HTN|URC|TBS|SAW|HTY|
HTY|IKA,|IKA|SAW|HTY|
HTY|KCA,|KCA|URC|TBS|SAW|HTY|
HTY|KHG,|KHG|URC|TBS|SAW|HTY|
HTY|KRL,|KRL|URC|TBS|SAW|HTY|
HTY|KRY,|KRY|URC|TBS|SAW|HTY|
HTY|LBD,|LBD|URC|TBS|SAW|HTY|
HTY|NLT,|NLT|URC|TBS|SAW|HTY|
HTY|OSS,|OSS|IST|HTY|
HTY|OVB,|OVB|IST|HTY|
HTY|TBS,|TBS|SAW|HTY|
HTY|TCG,|TCG|URC|TBS|SAW|HTY|
HTY|TSE,|TSE|IST|HTY|
HTY|YIN,|YIN|URC|TBS|SAW|HTY|
HTY|ENH,|ENH|WUH|URC|TBS|SAW|HTY|
HTY|ENY,|ENY|XIY|URC|TBS|SAW|HTY|
HTY|WXN,|WXN|XIY|URC|TBS|SAW|HTY|
HTY|BLL,|BLL|IST|HTY|
HTY|ESB,|ESB|HTY|
HTY|SAW,|SAW|HTY|
HTY|HAM,|HAM|IST|HTY|
HTY|HRE,|HRE|ADD|IST|HTY|
HTY|JUB,|JUB|CAI|IST|HTY|
HTY|SSG,|SSG|DLA|IST|HTY|
HTY|BGW,|BGW|ESB|HTY|
HTY|EBL,|EBL|AYT|ESB|HTY|
HTY|VKO,|VKO|ESB|HTY|
HTY|MCT,|MCT|BAH|KWI|SAW|HTY|
HTY|AYT,|AYT|ESB|HTY|
HTY|SCQ,|SCQ|BIO|IST|HTY|
HTY|AAL,|AAL|IST|HTY|
HTY|AOE,|AOE|BRU|SAW|HTY|
HTY|JNB,|JNB|IST|HTY|
HTY|LBV,|LBV|DLA|IST|HTY|
HTY|ADA,|ADA|ESB|HTY|
HTY|ADB,|ADB|ESB|HTY|
HTY|ADF,|ADF|ESB|HTY|
HTY|AJI,|AJI|ESB|HTY|
HTY|BAL,|BAL|ESB|HTY|
HTY|BJV,|BJV|ESB|HTY|
HTY|CKZ,|CKZ|ESB|HTY|
HTY|DIY,|DIY|ESB|HTY|
HTY|ECN,|ECN|ESB|HTY|
HTY|ERC,|ERC|ESB|HTY|
HTY|ERZ,|ERZ|ESB|HTY|
HTY|EZS,|EZS|ESB|HTY|
HTY|GNY,|GNY|ESB|HTY|
HTY|GZP,|GZP|ESB|HTY|
HTY|GZT,|GZT|ESB|HTY|
HTY|KCM,|KCM|ESB|HTY|
HTY|KSY,|KSY|ESB|HTY|
HTY|MLX,|MLX|ESB|HTY|
HTY|MQM,|MQM|ESB|HTY|
HTY|MSR,|MSR|ESB|HTY|
HTY|TEQ,|TEQ|ESB|HTY|
HTY|TZX,|TZX|ESB|HTY|
HTY|VAN,|VAN|ESB|HTY|
HTY|ULN,|ULN|FRU|IST|HTY|
HTY|HIJ,|HIJ|ICN|IST|HTY|
HTY|VVO,|VVO|ICN|IST|HTY|
HTY|ACC,|ACC|IST|HTY|
HTY|AER,|AER|IST|HTY|
HTY|AGP,|AGP|IST|HTY|
HTY|ALG,|ALG|IST|HTY|
HTY|AMM,|AMM|IST|HTY|
HTY|AQJ,|AQJ|IST|HTY|
HTY|ARN,|ARN|IST|HTY|
HTY|ASR,|ASR|SAW|HTY|
HTY|ATH,|ATH|IST|HTY|
HTY|BAH,|BAH|KWI|SAW|HTY|
HTY|BEG,|BEG|IST|HTY|
HTY|BEN,|BEN|IST|HTY|
HTY|BEY,|BEY|IST|HTY|
HTY|BHX,|BHX|BRU|SAW|HTY|
HTY|BIO,|BIO|IST|HTY|
HTY|BLQ,|BLQ|IST|HTY|
HTY|BOM,|BOM|IST|HTY|
HTY|BRE,|BRE|IST|HTY|
HTY|BSL,|BSL|IST|HTY|
HTY|BSR,|BSR|IST|HTY|
HTY|BUD,|BUD|IST|HTY|
HTY|BUS,|BUS|IST|HTY|
HTY|CAI,|CAI|IST|HTY|
HTY|CGN,|CGN|IST|HTY|
HTY|CMN,|CMN|IST|HTY|
HTY|CND,|CND|IST|HTY|
HTY|DAR,|DAR|IST|HTY|
HTY|DLM,|DLM|IST|HTY|
HTY|DMM,|DMM|IST|HTY|
HTY|DNK,|DNK|IST|HTY|
HTY|DNZ,|DNZ|IST|HTY|
HTY|DOK,|DOK|IST|HTY|
HTY|DUS,|DUS|SAW|HTY|
HTY|EDI,|EDI|IST|HTY|
HTY|ELQ,|ELQ|IST|HTY|
HTY|FDH,|FDH|IST|HTY|
HTY|GOA,|GOA|IST|HTY|
HTY|GOT,|GOT|IST|HTY|
HTY|HAJ,|HAJ|IST|HTY|
HTY|HBE,|HBE|IST|HTY|
HTY|HEL,|HEL|IST|HTY|
HTY|HRG,|HRG|IST|HTY|
HTY|IFN,|IFN|IST|HTY|
HTY|ISE,|ISE|IST|HTY|
HTY|ISU,|ISU|IST|HTY|
HTY|JIB,|JIB|IST|HTY|
HTY|JRO,|JRO|IST|HTY|
HTY|KAN,|KAN|IST|HTY|
HTY|KBL,|KBL|IST|HTY|
HTY|KBP,|KBP|SAW|HTY|
HTY|KFS,|KFS|IST|HTY|
HTY|KHI,|KHI|IST|HTY|
HTY|KIV,|KIV|IST|HTY|
HTY|KRT,|KRT|IST|HTY|
HTY|KSH,|KSH|IST|HTY|
HTY|KVD,|KVD|IST|HTY|
HTY|KWI,|KWI|SAW|HTY|
HTY|KYA,|KYA|SAW|HTY|
HTY|KZN,|KZN|IST|HTY|
HTY|KZR,|KZR|IST|HTY|
HTY|LED,|LED|IST|HTY|
HTY|LEJ,|LEJ|IST|HTY|
HTY|LGW,|LGW|SAW|HTY|
HTY|LHE,|LHE|IST|HTY|
HTY|LIS,|LIS|IST|HTY|
