PUB|KZN,|KZN|IST|FRA|DEN|PUB|
PUB|KZR,|KZR|IST|FRA|DEN|PUB|
PUB|LED,|LED|VIE|ORD|DEN|PUB|
PUB|LEJ,|LEJ|IST|FRA|DEN|PUB|
PUB|LGW,|LGW|IST|FRA|DEN|PUB|
PUB|LHE,|LHE|IST|FRA|DEN|PUB|
PUB|LIS,|LIS|EWR|DEN|PUB|
PUB|LJU,|LJU|IST|FRA|DEN|PUB|
PUB|LOS,|LOS|IAH|DEN|PUB|
PUB|LUX,|LUX|IST|FRA|DEN|PUB|
PUB|LWO,|LWO|IST|FRA|DEN|PUB|
PUB|LYS,|LYS|IST|FRA|DEN|PUB|
PUB|MAD,|MAD|EWR|DEN|PUB|
PUB|MAN,|MAN|EWR|DEN|PUB|
PUB|MED,|MED|IST|FRA|DEN|PUB|
PUB|MHD,|MHD|IST|FRA|DEN|PUB|
PUB|MLA,|MLA|IST|FRA|DEN|PUB|
PUB|MRS,|MRS|IST|FRA|DEN|PUB|
PUB|MSQ,|MSQ|IST|FRA|DEN|PUB|
PUB|MXP,|MXP|EWR|DEN|PUB|
PUB|MZH,|MZH|IST|FRA|DEN|PUB|
PUB|MZR,|MZR|IST|FRA|DEN|PUB|
PUB|NAJ,|NAJ|IST|FRA|DEN|PUB|
PUB|NAV,|NAV|IST|FRA|DEN|PUB|
PUB|NCE,|NCE|IST|FRA|DEN|PUB|
PUB|NIM,|NIM|IST|FRA|DEN|PUB|
PUB|NJF,|NJF|IST|FRA|DEN|PUB|
PUB|NSI,|NSI|BRU|ORD|DEN|PUB|
PUB|NUE,|NUE|IST|FRA|DEN|PUB|
