SYM|CKZ,|CKZ|ESB|SAW|TBS|URC|CTU|KMG|SYM|
SYM|DIY,|DIY|SAW|TBS|URC|CTU|KMG|SYM|
SYM|ECN,|ECN|SAW|TBS|URC|CTU|KMG|SYM|
SYM|ERC,|ERC|ESB|SAW|TBS|URC|CTU|KMG|SYM|
SYM|ERZ,|ERZ|SAW|TBS|URC|CTU|KMG|SYM|
SYM|EZS,|EZS|SAW|TBS|URC|CTU|KMG|SYM|
SYM|GNY,|GNY|ESB|SAW|TBS|URC|CTU|KMG|SYM|
SYM|GZP,|GZP|ESB|SAW|TBS|URC|CTU|KMG|SYM|
SYM|GZT,|GZT|SAW|TBS|URC|CTU|KMG|SYM|
SYM|HTY,|HTY|SAW|TBS|URC|CTU|KMG|SYM|
SYM|KCM,|KCM|ESB|SAW|TBS|URC|CTU|KMG|SYM|
SYM|KSY,|KSY|SAW|TBS|URC|CTU|KMG|SYM|
SYM|MLX,|MLX|ESB|SAW|TBS|URC|CTU|KMG|SYM|
SYM|MQM,|MQM|SAW|TBS|URC|CTU|KMG|SYM|
SYM|MSR,|MSR|ESB|SAW|TBS|URC|CTU|KMG|SYM|
SYM|TEQ,|TEQ|ESB|SAW|TBS|URC|CTU|KMG|SYM|
SYM|TZX,|TZX|SAW|TBS|URC|CTU|KMG|SYM|
SYM|VAN,|VAN|SAW|TBS|URC|CTU|KMG|SYM|
SYM|ULN,|ULN|FRU|URC|CTU|KMG|SYM|
SYM|HIJ,|HIJ|ICN|WUH|KMG|SYM|
SYM|VVO,|VVO|ICN|WUH|KMG|SYM|
SYM|ACC,|ACC|IST|URC|CTU|KMG|SYM|
SYM|AER,|AER|IST|URC|CTU|KMG|SYM|
SYM|AGP,|AGP|IST|URC|CTU|KMG|SYM|
SYM|ALG,|ALG|IST|URC|CTU|KMG|SYM|
SYM|AMM,|AMM|IST|URC|CTU|KMG|SYM|
SYM|AQJ,|AQJ|IST|URC|CTU|KMG|SYM|
SYM|ARN,|ARN|IST|URC|CTU|KMG|SYM|
SYM|ASR,|ASR|SAW|TBS|URC|CTU|KMG|SYM|
SYM|ATH,|ATH|IST|URC|CTU|KMG|SYM|
SYM|BAH,|BAH|KWI|SAW|TBS|URC|CTU|KMG|SYM|
SYM|BEG,|BEG|IST|URC|CTU|KMG|SYM|
SYM|BEN,|BEN|IST|URC|CTU|KMG|SYM|
SYM|BEY,|BEY|IST|URC|CTU|KMG|SYM|
SYM|BHX,|BHX|IST|URC|CTU|KMG|SYM|
SYM|BIO,|BIO|IST|URC|CTU|KMG|SYM|
SYM|BLQ,|BLQ|IST|URC|CTU|KMG|SYM|
SYM|BOM,|BOM|IST|URC|CTU|KMG|SYM|
SYM|BRE,|BRE|IST|URC|CTU|KMG|SYM|
SYM|BSL,|BSL|IST|URC|CTU|KMG|SYM|
SYM|BSR,|BSR|IST|URC|CTU|KMG|SYM|
SYM|BUD,|BUD|IST|URC|CTU|KMG|SYM|
SYM|BUS,|BUS|IST|URC|CTU|KMG|SYM|
SYM|CAI,|CAI|IST|URC|CTU|KMG|SYM|
SYM|CGN,|CGN|IST|URC|CTU|KMG|SYM|
SYM|CMN,|CMN|IST|URC|CTU|KMG|SYM|
SYM|CND,|CND|IST|URC|CTU|KMG|SYM|
SYM|DAR,|DAR|NBO|BKK|NNG|KMG|SYM|
SYM|DLM,|DLM|IST|URC|CTU|KMG|SYM|
SYM|DMM,|DMM|IST|URC|CTU|KMG|SYM|
SYM|DNK,|DNK|IST|URC|CTU|KMG|SYM|
SYM|DNZ,|DNZ|IST|URC|CTU|KMG|SYM|
SYM|DOK,|DOK|IST|URC|CTU|KMG|SYM|
SYM|DUS,|DUS|IST|URC|CTU|KMG|SYM|
SYM|EDI,|EDI|IST|URC|CTU|KMG|SYM|
SYM|ELQ,|ELQ|IST|URC|CTU|KMG|SYM|
SYM|FDH,|FDH|IST|URC|CTU|KMG|SYM|
SYM|GOA,|GOA|IST|URC|CTU|KMG|SYM|
SYM|GOT,|GOT|IST|URC|CTU|KMG|SYM|
SYM|HAJ,|HAJ|IST|URC|CTU|KMG|SYM|
SYM|HBE,|HBE|IST|URC|CTU|KMG|SYM|
SYM|HEL,|HEL|IST|URC|CTU|KMG|SYM|
SYM|HRG,|HRG|IST|URC|CTU|KMG|SYM|
SYM|IFN,|IFN|IST|URC|CTU|KMG|SYM|
SYM|ISE,|ISE|IST|URC|CTU|KMG|SYM|
SYM|ISU,|ISU|IST|URC|CTU|KMG|SYM|
SYM|JIB,|JIB|IST|URC|CTU|KMG|SYM|
SYM|JRO,|JRO|IST|URC|CTU|KMG|SYM|
SYM|KAN,|KAN|IST|URC|CTU|KMG|SYM|
SYM|KBL,|KBL|IST|URC|CTU|KMG|SYM|
SYM|KBP,|KBP|IST|URC|CTU|KMG|SYM|
SYM|KFS,|KFS|IST|URC|CTU|KMG|SYM|
SYM|KHI,|KHI|IST|URC|CTU|KMG|SYM|
SYM|KIV,|KIV|IST|URC|CTU|KMG|SYM|
SYM|KRT,|KRT|IST|URC|CTU|KMG|SYM|
SYM|KSH,|KSH|IST|URC|CTU|KMG|SYM|
SYM|KVD,|KVD|IST|URC|CTU|KMG|SYM|
SYM|KWI,|KWI|SAW|TBS|URC|CTU|KMG|SYM|
SYM|KYA,|KYA|SAW|TBS|URC|CTU|KMG|SYM|
