MKE|WXN,|WXN|XIY|PEK|ORD|MKE|
MKE|BLL,|BLL|IST|YYZ|MKE|
MKE|ESB,|ESB|VIE|YYZ|MKE|
MKE|SAW,|SAW|VIE|YYZ|MKE|
MKE|HAM,|HAM|EWR|MKE|
MKE|HRE,|HRE|ADD|JED|FRA|YYZ|MKE|
MKE|JUB,|JUB|CAI|IST|YYZ|MKE|
MKE|SSG,|SSG|DLA|BRU|YUL|YYZ|MKE|
MKE|BGW,|BGW|ESB|VIE|YYZ|MKE|
MKE|EBL,|EBL|IST|YYZ|MKE|
MKE|VKO,|VKO|IST|YYZ|MKE|
MKE|MCT,|MCT|AUH|YYZ|MKE|
MKE|AYT,|AYT|IST|YYZ|MKE|
MKE|SCQ,|SCQ|BIO|IST|YYZ|MKE|
MKE|AAL,|AAL|IST|YYZ|MKE|
MKE|AOE,|AOE|BRU|YUL|YYZ|MKE|
MKE|JNB,|JNB|JFK|YYZ|MKE|
MKE|LBV,|LBV|DLA|BRU|YUL|YYZ|MKE|
MKE|ADA,|ADA|SAW|VIE|YYZ|MKE|
MKE|ADB,|ADB|IST|YYZ|MKE|
MKE|ADF,|ADF|ESB|VIE|YYZ|MKE|
MKE|AJI,|AJI|ESB|VIE|YYZ|MKE|
MKE|BAL,|BAL|ESB|VIE|YYZ|MKE|
MKE|BJV,|BJV|IST|YYZ|MKE|
MKE|CKZ,|CKZ|ESB|VIE|YYZ|MKE|
MKE|DIY,|DIY|ESB|VIE|YYZ|MKE|
MKE|ECN,|ECN|IST|YYZ|MKE|
MKE|ERC,|ERC|ESB|VIE|YYZ|MKE|
MKE|ERZ,|ERZ|ESB|VIE|YYZ|MKE|
MKE|EZS,|EZS|ESB|VIE|YYZ|MKE|
MKE|GNY,|GNY|ESB|VIE|YYZ|MKE|
MKE|GZP,|GZP|ESB|VIE|YYZ|MKE|
MKE|GZT,|GZT|ESB|VIE|YYZ|MKE|
MKE|HTY,|HTY|SAW|VIE|YYZ|MKE|
MKE|KCM,|KCM|ESB|VIE|YYZ|MKE|
MKE|KSY,|KSY|ESB|VIE|YYZ|MKE|
MKE|MLX,|MLX|ESB|VIE|YYZ|MKE|
MKE|MQM,|MQM|ESB|VIE|YYZ|MKE|
MKE|MSR,|MSR|ESB|VIE|YYZ|MKE|
MKE|TEQ,|TEQ|ESB|VIE|YYZ|MKE|
MKE|TZX,|TZX|ESB|VIE|YYZ|MKE|
MKE|VAN,|VAN|ESB|VIE|YYZ|MKE|
MKE|ULN,|ULN|FRU|IST|YYZ|MKE|
MKE|HIJ,|HIJ|ICN|SEA|MKE|
MKE|VVO,|VVO|ICN|SEA|MKE|
MKE|ACC,|ACC|IST|YYZ|MKE|
MKE|AER,|AER|IST|YYZ|MKE|
MKE|AGP,|AGP|IST|YYZ|MKE|
MKE|ALG,|ALG|IST|YYZ|MKE|
MKE|AMM,|AMM|IST|YYZ|MKE|
MKE|AQJ,|AQJ|IST|YYZ|MKE|
MKE|ARN,|ARN|EWR|MKE|
MKE|ASR,|ASR|SAW|VIE|YYZ|MKE|
MKE|ATH,|ATH|IST|YYZ|MKE|
MKE|BAH,|BAH|IST|YYZ|MKE|
MKE|BEG,|BEG|IST|YYZ|MKE|
MKE|BEN,|BEN|IST|YYZ|MKE|
MKE|BEY,|BEY|IST|YYZ|MKE|
MKE|BHX,|BHX|EWR|MKE|
MKE|BIO,|BIO|IST|YYZ|MKE|
MKE|BLQ,|BLQ|IST|YYZ|MKE|
MKE|BOM,|BOM|IST|YYZ|MKE|
MKE|BRE,|BRE|IST|YYZ|MKE|
MKE|BSL,|BSL|IST|YYZ|MKE|
MKE|BSR,|BSR|IST|YYZ|MKE|
MKE|BUD,|BUD|IST|YYZ|MKE|
MKE|BUS,|BUS|IST|YYZ|MKE|
MKE|CAI,|CAI|IST|YYZ|MKE|
MKE|CGN,|CGN|IST|YYZ|MKE|
MKE|CMN,|CMN|IST|YYZ|MKE|
MKE|CND,|CND|IST|YYZ|MKE|
MKE|DAR,|DAR|NBO|ZRH|YYZ|MKE|
MKE|DLM,|DLM|IST|YYZ|MKE|
MKE|DMM,|DMM|IST|YYZ|MKE|
MKE|DNK,|DNK|IST|YYZ|MKE|
MKE|DNZ,|DNZ|IST|YYZ|MKE|
MKE|DOK,|DOK|IST|YYZ|MKE|
MKE|DUS,|DUS|ORD|MKE|
MKE|EDI,|EDI|EWR|MKE|
MKE|ELQ,|ELQ|IST|YYZ|MKE|
MKE|FDH,|FDH|IST|YYZ|MKE|
MKE|GOA,|GOA|IST|YYZ|MKE|
MKE|GOT,|GOT|BRU|YUL|YYZ|MKE|
MKE|HAJ,|HAJ|BRU|YUL|YYZ|MKE|
MKE|HBE,|HBE|IST|YYZ|MKE|
MKE|HEL,|HEL|IST|YYZ|MKE|
MKE|HRG,|HRG|IST|YYZ|MKE|
MKE|IFN,|IFN|IST|YYZ|MKE|
MKE|ISE,|ISE|IST|YYZ|MKE|
MKE|ISU,|ISU|IST|YYZ|MKE|
MKE|JIB,|JIB|IST|YYZ|MKE|
MKE|JRO,|JRO|IST|YYZ|MKE|
MKE|KAN,|KAN|IST|YYZ|MKE|
MKE|KBL,|KBL|IST|YYZ|MKE|
MKE|KBP,|KBP|IST|YYZ|MKE|
MKE|KFS,|KFS|IST|YYZ|MKE|
