KRY|BEY,|BEY|IST|URC|KRY|
KRY|BHX,|BHX|IST|URC|KRY|
KRY|BIO,|BIO|IST|URC|KRY|
KRY|BLQ,|BLQ|IST|URC|KRY|
KRY|BOM,|BOM|IST|URC|KRY|
KRY|BRE,|BRE|IST|URC|KRY|
KRY|BSL,|BSL|IST|URC|KRY|
KRY|BSR,|BSR|IST|URC|KRY|
KRY|BUD,|BUD|IST|URC|KRY|
KRY|BUS,|BUS|IST|URC|KRY|
KRY|CAI,|CAI|IST|URC|KRY|
KRY|CGN,|CGN|IST|URC|KRY|
KRY|CMN,|CMN|IST|URC|KRY|
KRY|CND,|CND|IST|URC|KRY|
KRY|DAR,|DAR|IST|URC|KRY|
KRY|DLM,|DLM|IST|URC|KRY|
KRY|DMM,|DMM|IST|URC|KRY|
KRY|DNK,|DNK|IST|URC|KRY|
KRY|DNZ,|DNZ|IST|URC|KRY|
KRY|DOK,|DOK|IST|URC|KRY|
KRY|DUS,|DUS|IST|URC|KRY|
KRY|EDI,|EDI|IST|URC|KRY|
KRY|ELQ,|ELQ|IST|URC|KRY|
KRY|FDH,|FDH|IST|URC|KRY|
KRY|GOA,|GOA|IST|URC|KRY|
KRY|GOT,|GOT|IST|URC|KRY|
KRY|HAJ,|HAJ|IST|URC|KRY|
KRY|HBE,|HBE|IST|URC|KRY|
KRY|HEL,|HEL|IST|URC|KRY|
KRY|HRG,|HRG|IST|URC|KRY|
KRY|IFN,|IFN|IST|URC|KRY|
KRY|ISE,|ISE|IST|URC|KRY|
KRY|ISU,|ISU|IST|URC|KRY|
KRY|JIB,|JIB|IST|URC|KRY|
KRY|JRO,|JRO|IST|URC|KRY|
KRY|KAN,|KAN|IST|URC|KRY|
KRY|KBL,|KBL|IST|URC|KRY|
KRY|KBP,|KBP|IST|URC|KRY|
KRY|KFS,|KFS|IST|URC|KRY|
KRY|KHI,|KHI|IST|URC|KRY|
KRY|KIV,|KIV|IST|URC|KRY|
KRY|KRT,|KRT|IST|URC|KRY|
KRY|KSH,|KSH|IST|URC|KRY|
KRY|KVD,|KVD|IST|URC|KRY|
KRY|KWI,|KWI|SAW|TBS|URC|KRY|
KRY|KYA,|KYA|SAW|TBS|URC|KRY|
KRY|KZN,|KZN|IST|URC|KRY|
KRY|KZR,|KZR|IST|URC|KRY|
KRY|LED,|LED|IST|URC|KRY|
KRY|LEJ,|LEJ|IST|URC|KRY|
KRY|LGW,|LGW|IST|URC|KRY|
KRY|LHE,|LHE|IST|URC|KRY|
KRY|LIS,|LIS|IST|URC|KRY|
KRY|LJU,|LJU|IST|URC|KRY|
KRY|LOS,|LOS|IST|URC|KRY|
KRY|LUX,|LUX|IST|URC|KRY|
KRY|LWO,|LWO|IST|URC|KRY|
KRY|LYS,|LYS|IST|URC|KRY|
KRY|MAD,|MAD|IST|URC|KRY|
KRY|MAN,|MAN|IST|URC|KRY|
KRY|MED,|MED|IST|URC|KRY|
KRY|MHD,|MHD|IST|URC|KRY|
KRY|MLA,|MLA|IST|URC|KRY|
KRY|MRS,|MRS|IST|URC|KRY|
KRY|MSQ,|MSQ|IST|URC|KRY|
KRY|MXP,|MXP|IST|URC|KRY|
