UIO|ASR,|ASR|SAW|VIE|YYZ|IAH|UIO|
UIO|ATH,|ATH|IST|IAH|UIO|
UIO|BAH,|BAH|IST|IAH|UIO|
UIO|BEG,|BEG|IST|IAH|UIO|
UIO|BEN,|BEN|IST|IAH|UIO|
UIO|BEY,|BEY|IST|IAH|UIO|
UIO|BHX,|BHX|EWR|IAH|UIO|
UIO|BIO,|BIO|IST|IAH|UIO|
UIO|BLQ,|BLQ|IST|IAH|UIO|
UIO|BOM,|BOM|EWR|IAH|UIO|
UIO|BRE,|BRE|IST|IAH|UIO|
UIO|BSL,|BSL|IST|IAH|UIO|
UIO|BSR,|BSR|IST|IAH|UIO|
UIO|BUD,|BUD|IST|IAH|UIO|
UIO|BUS,|BUS|IST|IAH|UIO|
UIO|CAI,|CAI|JFK|IAD|IAH|UIO|
UIO|CGN,|CGN|IST|IAH|UIO|
UIO|CMN,|CMN|IST|IAH|UIO|
UIO|CND,|CND|IST|IAH|UIO|
UIO|DAR,|DAR|NBO|ZRH|YUL|IAH|UIO|
UIO|DLM,|DLM|IST|IAH|UIO|
UIO|DMM,|DMM|IST|IAH|UIO|
UIO|DNK,|DNK|IST|IAH|UIO|
UIO|DNZ,|DNZ|IST|IAH|UIO|
UIO|DOK,|DOK|IST|IAH|UIO|
UIO|DUS,|DUS|ORD|IAH|UIO|
UIO|EDI,|EDI|EWR|IAH|UIO|
UIO|ELQ,|ELQ|IST|IAH|UIO|
UIO|FDH,|FDH|IST|IAH|UIO|
UIO|GOA,|GOA|IST|IAH|UIO|
UIO|GOT,|GOT|BRU|YUL|IAH|UIO|
UIO|HAJ,|HAJ|BRU|YUL|IAH|UIO|
UIO|HBE,|HBE|IST|IAH|UIO|
UIO|HEL,|HEL|IST|IAH|UIO|
UIO|HRG,|HRG|IST|IAH|UIO|
UIO|IFN,|IFN|IST|IAH|UIO|
UIO|ISE,|ISE|IST|IAH|UIO|
UIO|ISU,|ISU|IST|IAH|UIO|
UIO|JIB,|JIB|IST|IAH|UIO|
UIO|JRO,|JRO|IST|IAH|UIO|
UIO|KAN,|KAN|IST|IAH|UIO|
UIO|KBL,|KBL|IST|IAH|UIO|
UIO|KBP,|KBP|IST|IAH|UIO|
UIO|KFS,|KFS|IST|IAH|UIO|
UIO|KHI,|KHI|IST|IAH|UIO|
UIO|KIV,|KIV|IST|IAH|UIO|
UIO|KRT,|KRT|IST|IAH|UIO|
UIO|KSH,|KSH|IST|IAH|UIO|
UIO|KVD,|KVD|IST|IAH|UIO|
UIO|KWI,|KWI|SAW|VIE|YYZ|IAH|UIO|
UIO|KYA,|KYA|IST|IAH|UIO|
UIO|KZN,|KZN|IST|IAH|UIO|
UIO|KZR,|KZR|IST|IAH|UIO|
UIO|LED,|LED|VIE|YYZ|IAH|UIO|
UIO|LEJ,|LEJ|IST|IAH|UIO|
UIO|LGW,|LGW|IST|IAH|UIO|
UIO|LHE,|LHE|IST|IAH|UIO|
