SMF|IFN,|IFN|IST|FRA|SEA|SMF|
SMF|ISE,|ISE|IST|FRA|SEA|SMF|
SMF|ISU,|ISU|IST|FRA|SEA|SMF|
SMF|JIB,|JIB|IST|FRA|SEA|SMF|
SMF|JRO,|JRO|IST|FRA|SEA|SMF|
SMF|KAN,|KAN|IST|FRA|SEA|SMF|
SMF|KBL,|KBL|IST|FRA|SEA|SMF|
SMF|KBP,|KBP|IST|FRA|SEA|SMF|
SMF|KFS,|KFS|IST|FRA|SEA|SMF|
SMF|KHI,|KHI|IST|FRA|SEA|SMF|
SMF|KIV,|KIV|IST|FRA|SEA|SMF|
SMF|KRT,|KRT|IST|FRA|SEA|SMF|
SMF|KSH,|KSH|IST|FRA|SEA|SMF|
SMF|KVD,|KVD|IST|FRA|SEA|SMF|
SMF|KWI,|KWI|SAW|FRA|SEA|SMF|
SMF|KYA,|KYA|IST|FRA|SEA|SMF|
SMF|KZN,|KZN|IST|FRA|SEA|SMF|
SMF|KZR,|KZR|IST|FRA|SEA|SMF|
SMF|LED,|LED|VIE|ORD|SMF|
SMF|LEJ,|LEJ|IST|FRA|SEA|SMF|
SMF|LGW,|LGW|IST|FRA|SEA|SMF|
SMF|LHE,|LHE|IST|FRA|SEA|SMF|
SMF|LIS,|LIS|EWR|ORD|SMF|
SMF|LJU,|LJU|IST|FRA|SEA|SMF|
SMF|LOS,|LOS|IAH|SMF|
SMF|LUX,|LUX|IST|FRA|SEA|SMF|
SMF|LWO,|LWO|IST|FRA|SEA|SMF|
SMF|LYS,|LYS|IST|FRA|SEA|SMF|
SMF|MAD,|MAD|EWR|ORD|SMF|
SMF|MAN,|MAN|EWR|ORD|SMF|
SMF|MED,|MED|IST|FRA|SEA|SMF|
SMF|MHD,|MHD|IST|FRA|SEA|SMF|
SMF|MLA,|MLA|IST|FRA|SEA|SMF|
SMF|MRS,|MRS|IST|FRA|SEA|SMF|
SMF|MSQ,|MSQ|IST|FRA|SEA|SMF|
SMF|MXP,|MXP|EWR|ORD|SMF|
SMF|MZH,|MZH|IST|FRA|SEA|SMF|
SMF|MZR,|MZR|IST|FRA|SEA|SMF|
SMF|NAJ,|NAJ|IST|FRA|SEA|SMF|
SMF|NAV,|NAV|IST|FRA|SEA|SMF|
SMF|NCE,|NCE|IST|FRA|SEA|SMF|
SMF|NIM,|NIM|IST|FRA|SEA|SMF|
SMF|NJF,|NJF|IST|FRA|SEA|SMF|
SMF|NSI,|NSI|BRU|ORD|SMF|
SMF|NUE,|NUE|IST|FRA|SEA|SMF|
SMF|ODS,|ODS|IST|FRA|SEA|SMF|
SMF|ORN,|ORN|IST|FRA|SEA|SMF|
SMF|OTP,|OTP|IST|FRA|SEA|SMF|
SMF|PRG,|PRG|BRU|ORD|SMF|
SMF|PRN,|PRN|IST|FRA|SEA|SMF|
SMF|RIX,|RIX|IST|FRA|SEA|SMF|
SMF|ROV,|ROV|IST|FRA|SEA|SMF|
SMF|RTM,|RTM|IST|FRA|SEA|SMF|
SMF|RUH,|RUH|IST|FRA|SEA|SMF|
SMF|SAH,|SAH|IST|FRA|SEA|SMF|
SMF|SJJ,|SJJ|IST|FRA|SEA|SMF|
SMF|SKG,|SKG|IST|FRA|SEA|SMF|
SMF|SKP,|SKP|IST|FRA|SEA|SMF|
SMF|SSH,|SSH|IST|FRA|SEA|SMF|
SMF|STR,|STR|EWR|ORD|SMF|
SMF|SVX,|SVX|IST|FRA|SEA|SMF|
SMF|SYZ,|SYZ|IST|FRA|SEA|SMF|
SMF|SZG,|SZG|IST|FRA|SEA|SMF|
SMF|TBZ,|TBZ|IST|FRA|SEA|SMF|
SMF|TGD,|TGD|IST|FRA|SEA|SMF|
SMF|TIA,|TIA|IST|FRA|SEA|SMF|
SMF|TIF,|TIF|IST|FRA|SEA|SMF|
SMF|TIP,|TIP|IST|FRA|SEA|SMF|
SMF|TLL,|TLL|VNO|FRA|SEA|SMF|
SMF|TLS,|TLS|IST|FRA|SEA|SMF|
