AKU|BEN,|BEN|IST|URC|AKU|
AKU|BEY,|BEY|IST|URC|AKU|
AKU|BHX,|BHX|IST|URC|AKU|
AKU|BIO,|BIO|IST|URC|AKU|
AKU|BLQ,|BLQ|IST|URC|AKU|
AKU|BOM,|BOM|IST|URC|AKU|
AKU|BRE,|BRE|IST|URC|AKU|
AKU|BSL,|BSL|IST|URC|AKU|
AKU|BSR,|BSR|IST|URC|AKU|
AKU|BUD,|BUD|IST|URC|AKU|
AKU|BUS,|BUS|IST|URC|AKU|
AKU|CAI,|CAI|IST|URC|AKU|
AKU|CGN,|CGN|IST|URC|AKU|
AKU|CMN,|CMN|IST|URC|AKU|
AKU|CND,|CND|IST|URC|AKU|
AKU|DAR,|DAR|IST|URC|AKU|
AKU|DLM,|DLM|IST|URC|AKU|
AKU|DMM,|DMM|IST|URC|AKU|
AKU|DNK,|DNK|IST|URC|AKU|
AKU|DNZ,|DNZ|IST|URC|AKU|
AKU|DOK,|DOK|IST|URC|AKU|
AKU|DUS,|DUS|IST|URC|AKU|
AKU|EDI,|EDI|IST|URC|AKU|
AKU|ELQ,|ELQ|IST|URC|AKU|
AKU|FDH,|FDH|IST|URC|AKU|
AKU|GOA,|GOA|IST|URC|AKU|
AKU|GOT,|GOT|IST|URC|AKU|
AKU|HAJ,|HAJ|IST|URC|AKU|
AKU|HBE,|HBE|IST|URC|AKU|
AKU|HEL,|HEL|IST|URC|AKU|
AKU|HRG,|HRG|IST|URC|AKU|
AKU|IFN,|IFN|IST|URC|AKU|
AKU|ISE,|ISE|IST|URC|AKU|
AKU|ISU,|ISU|IST|URC|AKU|
AKU|JIB,|JIB|IST|URC|AKU|
AKU|JRO,|JRO|IST|URC|AKU|
AKU|KAN,|KAN|IST|URC|AKU|
AKU|KBL,|KBL|IST|URC|AKU|
AKU|KBP,|KBP|IST|URC|AKU|
AKU|KFS,|KFS|IST|URC|AKU|
AKU|KHI,|KHI|IST|URC|AKU|
AKU|KIV,|KIV|IST|URC|AKU|
AKU|KRT,|KRT|IST|URC|AKU|
AKU|KSH,|KSH|IST|URC|AKU|
AKU|KVD,|KVD|IST|URC|AKU|
AKU|KWI,|KWI|SAW|TBS|URC|AKU|
AKU|KYA,|KYA|SAW|TBS|URC|AKU|
AKU|KZN,|KZN|IST|URC|AKU|
AKU|KZR,|KZR|IST|URC|AKU|
AKU|LED,|LED|IST|URC|AKU|
AKU|LEJ,|LEJ|IST|URC|AKU|
AKU|LGW,|LGW|IST|URC|AKU|
AKU|LHE,|LHE|IST|URC|AKU|
AKU|LIS,|LIS|IST|URC|AKU|
AKU|LJU,|LJU|IST|URC|AKU|
AKU|LOS,|LOS|IST|URC|AKU|
AKU|LUX,|LUX|IST|URC|AKU|
AKU|LWO,|LWO|IST|URC|AKU|
AKU|LYS,|LYS|IST|URC|AKU|
AKU|MAD,|MAD|IST|URC|AKU|
AKU|MAN,|MAN|IST|URC|AKU|
AKU|MED,|MED|IST|URC|AKU|
AKU|MHD,|MHD|IST|URC|AKU|
AKU|MLA,|MLA|IST|URC|AKU|
AKU|MRS,|MRS|IST|URC|AKU|
AKU|MSQ,|MSQ|IST|URC|AKU|
AKU|MXP,|MXP|IST|URC|AKU|
AKU|MZH,|MZH|IST|URC|AKU|
AKU|MZR,|MZR|IST|URC|AKU|
AKU|NAJ,|NAJ|IST|URC|AKU|
AKU|NAV,|NAV|IST|URC|AKU|
AKU|NCE,|NCE|IST|URC|AKU|
AKU|NIM,|NIM|IST|URC|AKU|
AKU|NJF,|NJF|IST|URC|AKU|
AKU|NSI,|NSI|IST|URC|AKU|
AKU|NUE,|NUE|IST|URC|AKU|
AKU|ODS,|ODS|IST|URC|AKU|
AKU|ORN,|ORN|IST|URC|AKU|
AKU|OTP,|OTP|IST|URC|AKU|
AKU|PRG,|PRG|IST|URC|AKU|
AKU|PRN,|PRN|IST|URC|AKU|
AKU|RIX,|RIX|IST|URC|AKU|
AKU|ROV,|ROV|IST|URC|AKU|
AKU|RTM,|RTM|IST|URC|AKU|
AKU|RUH,|RUH|IST|URC|AKU|
AKU|SAH,|SAH|IST|URC|AKU|
AKU|SJJ,|SJJ|IST|URC|AKU|
AKU|SKG,|SKG|IST|URC|AKU|
AKU|SKP,|SKP|IST|URC|AKU|
AKU|SSH,|SSH|IST|URC|AKU|
AKU|STR,|STR|IST|URC|AKU|
AKU|SVX,|SVX|IST|URC|AKU|
AKU|SYZ,|SYZ|IST|URC|AKU|
AKU|SZG,|SZG|IST|URC|AKU|
AKU|TBZ,|TBZ|IST|URC|AKU|
AKU|TGD,|TGD|IST|URC|AKU|
AKU|TIA,|TIA|IST|URC|AKU|
AKU|TIF,|TIF|IST|URC|AKU|
AKU|TIP,|TIP|IST|URC|AKU|
AKU|TLL,|TLL|IST|URC|AKU|
AKU|TLS,|TLS|IST|URC|AKU|
AKU|TRN,|TRN|IST|URC|AKU|
AKU|TUN,|TUN|IST|URC|AKU|
AKU|TXL,|TXL|IST|URC|AKU|
AKU|UFA,|UFA|IST|URC|AKU|
AKU|VAS,|VAS|SAW|TBS|URC|AKU|
AKU|VCE,|VCE|IST|URC|AKU|
AKU|YNB,|YNB|IST|URC|AKU|
AKU|ZAG,|ZAG|IST|URC|AKU|
