YQX|ACC,|ACC|IST|LHR|YYT|YQX|
YQX|AER,|AER|IST|LHR|YYT|YQX|
YQX|AGP,|AGP|IST|LHR|YYT|YQX|
YQX|ALG,|ALG|IST|LHR|YYT|YQX|
YQX|AMM,|AMM|IST|LHR|YYT|YQX|
YQX|AQJ,|AQJ|IST|LHR|YYT|YQX|
YQX|ARN,|ARN|EWR|YHZ|YQX|
YQX|ASR,|ASR|IST|LHR|YYT|YQX|
YQX|ATH,|ATH|IST|LHR|YYT|YQX|
YQX|BAH,|BAH|IST|LHR|YYT|YQX|
YQX|BEG,|BEG|IST|LHR|YYT|YQX|
YQX|BEN,|BEN|IST|LHR|YYT|YQX|
YQX|BEY,|BEY|IST|LHR|YYT|YQX|
YQX|BHX,|BHX|EWR|YHZ|YQX|
YQX|BIO,|BIO|IST|LHR|YYT|YQX|
YQX|BLQ,|BLQ|IST|LHR|YYT|YQX|
YQX|BOM,|BOM|IST|LHR|YYT|YQX|
YQX|BRE,|BRE|IST|LHR|YYT|YQX|
YQX|BSL,|BSL|IST|LHR|YYT|YQX|
YQX|BSR,|BSR|IST|LHR|YYT|YQX|
YQX|BUD,|BUD|IST|LHR|YYT|YQX|
YQX|BUS,|BUS|IST|LHR|YYT|YQX|
YQX|CAI,|CAI|IST|LHR|YYT|YQX|
YQX|CGN,|CGN|IST|LHR|YYT|YQX|
YQX|CMN,|CMN|IST|LHR|YYT|YQX|
YQX|CND,|CND|IST|LHR|YYT|YQX|
YQX|DAR,|DAR|IST|LHR|YYT|YQX|
YQX|DLM,|DLM|IST|LHR|YYT|YQX|
YQX|DMM,|DMM|IST|LHR|YYT|YQX|
YQX|DNK,|DNK|IST|LHR|YYT|YQX|
YQX|DNZ,|DNZ|IST|LHR|YYT|YQX|
YQX|DOK,|DOK|IST|LHR|YYT|YQX|
YQX|DUS,|DUS|EWR|YHZ|YQX|
YQX|EDI,|EDI|EWR|YHZ|YQX|
YQX|ELQ,|ELQ|IST|LHR|YYT|YQX|
YQX|FDH,|FDH|IST|LHR|YYT|YQX|
YQX|GOA,|GOA|IST|LHR|YYT|YQX|
YQX|GOT,|GOT|BRU|YUL|YHZ|YQX|
YQX|HAJ,|HAJ|BRU|YUL|YHZ|YQX|
YQX|HBE,|HBE|IST|LHR|YYT|YQX|
YQX|HEL,|HEL|IST|LHR|YYT|YQX|
YQX|HRG,|HRG|IST|LHR|YYT|YQX|
YQX|IFN,|IFN|IST|LHR|YYT|YQX|
YQX|ISE,|ISE|IST|LHR|YYT|YQX|
YQX|ISU,|ISU|IST|LHR|YYT|YQX|
