JAN|BJV,|BJV|IST|ORD|JAN|
JAN|CKZ,|CKZ|ESB|VIE|ORD|JAN|
JAN|DIY,|DIY|ESB|VIE|ORD|JAN|
JAN|ECN,|ECN|IST|ORD|JAN|
JAN|ERC,|ERC|ESB|VIE|ORD|JAN|
JAN|ERZ,|ERZ|ESB|VIE|ORD|JAN|
JAN|EZS,|EZS|ESB|VIE|ORD|JAN|
JAN|GNY,|GNY|ESB|VIE|ORD|JAN|
JAN|GZP,|GZP|ESB|VIE|ORD|JAN|
JAN|GZT,|GZT|ESB|VIE|ORD|JAN|
JAN|HTY,|HTY|IST|ORD|JAN|
JAN|KCM,|KCM|ESB|VIE|ORD|JAN|
JAN|KSY,|KSY|ESB|VIE|ORD|JAN|
JAN|MLX,|MLX|ESB|VIE|ORD|JAN|
JAN|MQM,|MQM|ESB|VIE|ORD|JAN|
JAN|MSR,|MSR|ESB|VIE|ORD|JAN|
JAN|TEQ,|TEQ|ESB|VIE|ORD|JAN|
JAN|TZX,|TZX|ESB|VIE|ORD|JAN|
JAN|VAN,|VAN|ESB|VIE|ORD|JAN|
JAN|ULN,|ULN|FRU|IST|ORD|JAN|
JAN|HIJ,|HIJ|ICN|YVR|IAH|JAN|
JAN|VVO,|VVO|ICN|YVR|IAH|JAN|
JAN|ACC,|ACC|IST|ORD|JAN|
JAN|AER,|AER|IST|ORD|JAN|
JAN|AGP,|AGP|IST|ORD|JAN|
JAN|ALG,|ALG|IST|ORD|JAN|
JAN|AMM,|AMM|IST|ORD|JAN|
JAN|AQJ,|AQJ|IST|ORD|JAN|
JAN|ARN,|ARN|EWR|MDW|JAN|
JAN|ASR,|ASR|SAW|VIE|ORD|JAN|
JAN|ATH,|ATH|IST|ORD|JAN|
JAN|BAH,|BAH|IST|ORD|JAN|
JAN|BEG,|BEG|IST|ORD|JAN|
JAN|BEN,|BEN|IST|ORD|JAN|
JAN|BEY,|BEY|IST|ORD|JAN|
JAN|BHX,|BHX|EWR|MDW|JAN|
JAN|BIO,|BIO|IST|ORD|JAN|
JAN|BLQ,|BLQ|IST|ORD|JAN|
JAN|BOM,|BOM|IST|ORD|JAN|
JAN|BRE,|BRE|IST|ORD|JAN|
JAN|BSL,|BSL|IST|ORD|JAN|
JAN|BSR,|BSR|IST|ORD|JAN|
JAN|BUD,|BUD|IST|ORD|JAN|
JAN|BUS,|BUS|IST|ORD|JAN|
JAN|CAI,|CAI|IST|ORD|JAN|
JAN|CGN,|CGN|IST|ORD|JAN|
JAN|CMN,|CMN|IST|ORD|JAN|
JAN|CND,|CND|IST|ORD|JAN|
JAN|DAR,|DAR|NBO|ZRH|ORD|JAN|
JAN|DLM,|DLM|IST|ORD|JAN|
JAN|DMM,|DMM|IST|ORD|JAN|
JAN|DNK,|DNK|IST|ORD|JAN|
JAN|DNZ,|DNZ|IST|ORD|JAN|
JAN|DOK,|DOK|IST|ORD|JAN|
JAN|DUS,|DUS|ORD|JAN|
JAN|EDI,|EDI|EWR|MDW|JAN|
JAN|ELQ,|ELQ|IST|ORD|JAN|
JAN|FDH,|FDH|IST|ORD|JAN|
JAN|GOA,|GOA|IST|ORD|JAN|
JAN|GOT,|GOT|BRU|ORD|JAN|
JAN|HAJ,|HAJ|BRU|ORD|JAN|
JAN|HBE,|HBE|IST|ORD|JAN|
JAN|HEL,|HEL|IST|ORD|JAN|
JAN|HRG,|HRG|IST|ORD|JAN|
JAN|IFN,|IFN|IST|ORD|JAN|
JAN|ISE,|ISE|IST|ORD|JAN|
JAN|ISU,|ISU|IST|ORD|JAN|
JAN|JIB,|JIB|IST|ORD|JAN|
JAN|JRO,|JRO|IST|ORD|JAN|
JAN|KAN,|KAN|IST|ORD|JAN|
JAN|KBL,|KBL|IST|ORD|JAN|
JAN|KBP,|KBP|IST|ORD|JAN|
JAN|KFS,|KFS|IST|ORD|JAN|
JAN|KHI,|KHI|IST|ORD|JAN|
JAN|KIV,|KIV|IST|ORD|JAN|
