UFA|ASB,|ASB|IST|UFA|
UFA|DNH,|DNH|URC|IST|UFA|
UFA|DYU,|DYU|IST|UFA|
UFA|FRU,|FRU|IST|UFA|
UFA|GYD,|GYD|IST|UFA|
UFA|HTN,|HTN|URC|IST|UFA|
UFA|IKA,|IKA|IST|UFA|
UFA|KCA,|KCA|URC|IST|UFA|
UFA|KHG,|KHG|URC|IST|UFA|
UFA|KRL,|KRL|URC|IST|UFA|
UFA|KRY,|KRY|URC|IST|UFA|
UFA|LBD,|LBD|URC|IST|UFA|
UFA|NLT,|NLT|URC|IST|UFA|
UFA|OSS,|OSS|IST|UFA|
UFA|OVB,|OVB|IST|UFA|
UFA|TBS,|TBS|IST|UFA|
UFA|TCG,|TCG|URC|IST|UFA|
UFA|TSE,|TSE|IST|UFA|
UFA|YIN,|YIN|URC|IST|UFA|
UFA|ENH,|ENH|WUH|URC|IST|UFA|
UFA|ENY,|ENY|XIY|URC|IST|UFA|
UFA|WXN,|WXN|XIY|URC|IST|UFA|
UFA|BLL,|BLL|IST|UFA|
UFA|ESB,|ESB|IST|UFA|
UFA|SAW,|SAW|ADB|IST|UFA|
UFA|HAM,|HAM|IST|UFA|
UFA|HRE,|HRE|ADD|IST|UFA|
UFA|JUB,|JUB|CAI|IST|UFA|
UFA|SSG,|SSG|DLA|IST|UFA|
UFA|BGW,|BGW|IST|UFA|
UFA|EBL,|EBL|IST|UFA|
UFA|VKO,|VKO|IST|UFA|
UFA|MCT,|MCT|IST|UFA|
UFA|AYT,|AYT|IST|UFA|
UFA|SCQ,|SCQ|BIO|IST|UFA|
UFA|AAL,|AAL|IST|UFA|
UFA|AOE,|AOE|BRU|IST|UFA|
UFA|JNB,|JNB|IST|UFA|
UFA|LBV,|LBV|DLA|IST|UFA|
UFA|ADA,|ADA|IST|UFA|
UFA|ADB,|ADB|IST|UFA|
UFA|ADF,|ADF|IST|UFA|
UFA|AJI,|AJI|IST|UFA|
UFA|BAL,|BAL|IST|UFA|
UFA|BJV,|BJV|IST|UFA|
UFA|CKZ,|CKZ|ESB|IST|UFA|
UFA|DIY,|DIY|IST|UFA|
UFA|ECN,|ECN|IST|UFA|
UFA|ERC,|ERC|IST|UFA|
UFA|ERZ,|ERZ|IST|UFA|
UFA|EZS,|EZS|IST|UFA|
UFA|GNY,|GNY|IST|UFA|
UFA|GZP,|GZP|ESB|IST|UFA|
UFA|GZT,|GZT|IST|UFA|
UFA|HTY,|HTY|IST|UFA|
UFA|KCM,|KCM|IST|UFA|
UFA|KSY,|KSY|IST|UFA|
UFA|MLX,|MLX|IST|UFA|
UFA|MQM,|MQM|IST|UFA|
UFA|MSR,|MSR|IST|UFA|
UFA|TEQ,|TEQ|ESB|IST|UFA|
UFA|TZX,|TZX|IST|UFA|
UFA|VAN,|VAN|IST|UFA|
UFA|ULN,|ULN|FRU|IST|UFA|
UFA|HIJ,|HIJ|ICN|IST|UFA|
UFA|VVO,|VVO|ICN|IST|UFA|
UFA|ACC,|ACC|IST|UFA|
UFA|AER,|AER|IST|UFA|
UFA|AGP,|AGP|IST|UFA|
UFA|ALG,|ALG|IST|UFA|
UFA|AMM,|AMM|IST|UFA|
UFA|AQJ,|AQJ|IST|UFA|
UFA|ARN,|ARN|IST|UFA|
UFA|ASR,|ASR|IST|UFA|
UFA|ATH,|ATH|IST|UFA|
UFA|BAH,|BAH|IST|UFA|
UFA|BEG,|BEG|IST|UFA|
UFA|BEN,|BEN|IST|UFA|
UFA|BEY,|BEY|IST|UFA|
UFA|BHX,|BHX|IST|UFA|
UFA|BIO,|BIO|IST|UFA|
UFA|BLQ,|BLQ|IST|UFA|
UFA|BOM,|BOM|IST|UFA|
UFA|BRE,|BRE|IST|UFA|
UFA|BSL,|BSL|IST|UFA|
UFA|BSR,|BSR|IST|UFA|
UFA|BUD,|BUD|IST|UFA|
UFA|BUS,|BUS|IST|UFA|
UFA|CAI,|CAI|IST|UFA|
UFA|CGN,|CGN|IST|UFA|
UFA|CMN,|CMN|IST|UFA|
UFA|CND,|CND|IST|UFA|
UFA|DAR,|DAR|IST|UFA|
UFA|DLM,|DLM|IST|UFA|
UFA|DMM,|DMM|IST|UFA|
UFA|DNK,|DNK|IST|UFA|
UFA|DNZ,|DNZ|IST|UFA|
UFA|DOK,|DOK|IST|UFA|
UFA|DUS,|DUS|IST|UFA|
UFA|EDI,|EDI|IST|UFA|
UFA|ELQ,|ELQ|IST|UFA|
UFA|FDH,|FDH|IST|UFA|
UFA|GOA,|GOA|IST|UFA|
UFA|GOT,|GOT|IST|UFA|
UFA|HAJ,|HAJ|IST|UFA|
UFA|HBE,|HBE|IST|UFA|
UFA|HEL,|HEL|IST|UFA|
UFA|HRG,|HRG|IST|UFA|
UFA|IFN,|IFN|IST|UFA|
UFA|ISE,|ISE|IST|UFA|
UFA|ISU,|ISU|IST|UFA|
UFA|JIB,|JIB|IST|UFA|
UFA|JRO,|JRO|IST|UFA|
UFA|KAN,|KAN|IST|UFA|
UFA|KBL,|KBL|IST|UFA|
UFA|KBP,|KBP|IST|UFA|
UFA|KFS,|KFS|IST|UFA|
UFA|KHI,|KHI|IST|UFA|
UFA|KIV,|KIV|IST|UFA|
UFA|KRT,|KRT|IST|UFA|
UFA|KSH,|KSH|IST|UFA|
UFA|KVD,|KVD|IST|UFA|
UFA|KWI,|KWI|IST|UFA|
UFA|KYA,|KYA|IST|UFA|
