SYD|DUS,|DUS|IST|BKK|SYD|
SYD|EDI,|EDI|IST|BKK|SYD|
SYD|ELQ,|ELQ|IST|BKK|SYD|
SYD|FDH,|FDH|IST|BKK|SYD|
SYD|GOA,|GOA|IST|BKK|SYD|
SYD|GOT,|GOT|IST|BKK|SYD|
SYD|HAJ,|HAJ|IST|BKK|SYD|
SYD|HBE,|HBE|IST|BKK|SYD|
SYD|HEL,|HEL|IST|BKK|SYD|
SYD|HRG,|HRG|IST|BKK|SYD|
SYD|IFN,|IFN|IST|BKK|SYD|
SYD|ISE,|ISE|IST|BKK|SYD|
SYD|ISU,|ISU|IST|BKK|SYD|
SYD|JIB,|JIB|IST|BKK|SYD|
SYD|JRO,|JRO|IST|BKK|SYD|
SYD|KAN,|KAN|IST|BKK|SYD|
SYD|KBL,|KBL|IST|BKK|SYD|
SYD|KBP,|KBP|IST|BKK|SYD|
SYD|KFS,|KFS|IST|BKK|SYD|
SYD|KHI,|KHI|IST|BKK|SYD|
SYD|KIV,|KIV|IST|BKK|SYD|
SYD|KRT,|KRT|IST|BKK|SYD|
SYD|KSH,|KSH|IST|BKK|SYD|
SYD|KVD,|KVD|IST|BKK|SYD|
SYD|KWI,|KWI|IST|BKK|SYD|
SYD|KYA,|KYA|IST|BKK|SYD|
SYD|KZN,|KZN|IST|BKK|SYD|
SYD|KZR,|KZR|IST|BKK|SYD|
SYD|LED,|LED|IST|BKK|SYD|
SYD|LEJ,|LEJ|IST|BKK|SYD|
SYD|LGW,|LGW|IST|BKK|SYD|
SYD|LHE,|LHE|IST|BKK|SYD|
SYD|LIS,|LIS|IST|BKK|SYD|
SYD|LJU,|LJU|IST|BKK|SYD|
SYD|LOS,|LOS|IST|BKK|SYD|
SYD|LUX,|LUX|IST|BKK|SYD|
SYD|LWO,|LWO|IST|BKK|SYD|
SYD|LYS,|LYS|IST|BKK|SYD|
SYD|MAD,|MAD|IST|BKK|SYD|
SYD|MAN,|MAN|IST|BKK|SYD|
SYD|MED,|MED|IST|BKK|SYD|
SYD|MHD,|MHD|IST|BKK|SYD|
SYD|MLA,|MLA|IST|BKK|SYD|
SYD|MRS,|MRS|IST|BKK|SYD|
SYD|MSQ,|MSQ|IST|BKK|SYD|
SYD|MXP,|MXP|IST|BKK|SYD|
SYD|MZH,|MZH|IST|BKK|SYD|
SYD|MZR,|MZR|IST|BKK|SYD|
SYD|NAJ,|NAJ|IST|BKK|SYD|
SYD|NAV,|NAV|IST|BKK|SYD|
SYD|NCE,|NCE|IST|BKK|SYD|
SYD|NIM,|NIM|IST|BKK|SYD|
SYD|NJF,|NJF|IST|BKK|SYD|
SYD|NSI,|NSI|IST|BKK|SYD|
SYD|NUE,|NUE|IST|BKK|SYD|
SYD|ODS,|ODS|IST|BKK|SYD|
SYD|ORN,|ORN|IST|BKK|SYD|
SYD|OTP,|OTP|IST|BKK|SYD|
SYD|PRG,|PRG|IST|BKK|SYD|
SYD|PRN,|PRN|IST|BKK|SYD|
SYD|RIX,|RIX|IST|BKK|SYD|
SYD|ROV,|ROV|IST|BKK|SYD|
SYD|RTM,|RTM|IST|BKK|SYD|
SYD|RUH,|RUH|IST|BKK|SYD|
SYD|SAH,|SAH|IST|BKK|SYD|
SYD|SJJ,|SJJ|IST|BKK|SYD|
SYD|SKG,|SKG|IST|BKK|SYD|
SYD|SKP,|SKP|IST|BKK|SYD|
SYD|SSH,|SSH|IST|BKK|SYD|
SYD|STR,|STR|IST|BKK|SYD|
SYD|SVX,|SVX|IST|BKK|SYD|
SYD|SYZ,|SYZ|IST|BKK|SYD|
SYD|SZG,|SZG|IST|BKK|SYD|
SYD|TBZ,|TBZ|IST|BKK|SYD|
SYD|TGD,|TGD|IST|BKK|SYD|
SYD|TIA,|TIA|IST|BKK|SYD|
SYD|TIF,|TIF|IST|BKK|SYD|
SYD|TIP,|TIP|IST|BKK|SYD|
SYD|TLL,|TLL|IST|BKK|SYD|
SYD|TLS,|TLS|IST|BKK|SYD|
SYD|TRN,|TRN|IST|BKK|SYD|
SYD|TUN,|TUN|IST|BKK|SYD|
SYD|TXL,|TXL|IST|BKK|SYD|
SYD|UFA,|UFA|IST|BKK|SYD|
SYD|VAS,|VAS|IST|BKK|SYD|
SYD|VCE,|VCE|IST|BKK|SYD|
