FAY|RTM,|RTM|IST|IAD|FAY|
FAY|RUH,|RUH|IST|IAD|FAY|
FAY|SAH,|SAH|IST|IAD|FAY|
FAY|SJJ,|SJJ|IST|IAD|FAY|
FAY|SKG,|SKG|IST|IAD|FAY|
FAY|SKP,|SKP|IST|IAD|FAY|
FAY|SSH,|SSH|IST|IAD|FAY|
FAY|STR,|STR|EWR|IAD|FAY|
FAY|SVX,|SVX|IST|IAD|FAY|
FAY|SYZ,|SYZ|IST|IAD|FAY|
FAY|SZG,|SZG|IST|IAD|FAY|
FAY|TBZ,|TBZ|IST|IAD|FAY|
FAY|TGD,|TGD|IST|IAD|FAY|
FAY|TIA,|TIA|IST|IAD|FAY|
FAY|TIF,|TIF|IST|IAD|FAY|
FAY|TIP,|TIP|IST|IAD|FAY|
FAY|TLL,|TLL|VNO|CPH|YYZ|IAD|FAY|
FAY|TLS,|TLS|IST|IAD|FAY|
FAY|TRN,|TRN|IST|IAD|FAY|
FAY|TUN,|TUN|IST|IAD|FAY|
FAY|TXL,|TXL|EWR|IAD|FAY|
FAY|UFA,|UFA|IST|IAD|FAY|
FAY|VAS,|VAS|SAW|FRA|IAD|FAY|
FAY|VCE,|VCE|IST|IAD|FAY|
FAY|YNB,|YNB|IST|IAD|FAY|
