OHE|LGW,|LGW|IST|PEK|HRB|OHE|
OHE|LHE,|LHE|IST|PEK|HRB|OHE|
OHE|LIS,|LIS|IST|PEK|HRB|OHE|
OHE|LJU,|LJU|IST|PEK|HRB|OHE|
OHE|LOS,|LOS|IST|PEK|HRB|OHE|
OHE|LUX,|LUX|IST|PEK|HRB|OHE|
OHE|LWO,|LWO|IST|PEK|HRB|OHE|
OHE|LYS,|LYS|IST|PEK|HRB|OHE|
OHE|MAD,|MAD|IST|PEK|HRB|OHE|
OHE|MAN,|MAN|IST|PEK|HRB|OHE|
OHE|MED,|MED|IST|PEK|HRB|OHE|
OHE|MHD,|MHD|IST|PEK|HRB|OHE|
OHE|MLA,|MLA|IST|PEK|HRB|OHE|
OHE|MRS,|MRS|IST|PEK|HRB|OHE|
OHE|MSQ,|MSQ|IST|PEK|HRB|OHE|
OHE|MXP,|MXP|IST|PEK|HRB|OHE|
OHE|MZH,|MZH|IST|PEK|HRB|OHE|
OHE|MZR,|MZR|IST|PEK|HRB|OHE|
OHE|NAJ,|NAJ|IST|PEK|HRB|OHE|
OHE|NAV,|NAV|IST|PEK|HRB|OHE|
