NKC|KSY,|KSY|IST|DKR|NKC|
NKC|MLX,|MLX|IST|DKR|NKC|
NKC|MQM,|MQM|IST|DKR|NKC|
NKC|MSR,|MSR|IST|DKR|NKC|
NKC|TEQ,|TEQ|ESB|IST|DKR|NKC|
NKC|TZX,|TZX|IST|DKR|NKC|
NKC|VAN,|VAN|IST|DKR|NKC|
NKC|ULN,|ULN|FRU|IST|DKR|NKC|
NKC|HIJ,|HIJ|ICN|IST|DKR|NKC|
NKC|VVO,|VVO|ICN|IST|DKR|NKC|
NKC|ACC,|ACC|IST|DKR|NKC|
NKC|AER,|AER|IST|DKR|NKC|
NKC|AGP,|AGP|IST|DKR|NKC|
NKC|ALG,|ALG|IST|DKR|NKC|
NKC|AMM,|AMM|IST|DKR|NKC|
NKC|AQJ,|AQJ|IST|DKR|NKC|
NKC|ARN,|ARN|GOT|BRU|DKR|NKC|
NKC|ASR,|ASR|IST|DKR|NKC|
NKC|ATH,|ATH|IST|DKR|NKC|
NKC|BAH,|BAH|IST|DKR|NKC|
NKC|BEG,|BEG|IST|DKR|NKC|
NKC|BEN,|BEN|IST|DKR|NKC|
NKC|BEY,|BEY|IST|DKR|NKC|
NKC|BHX,|BHX|BRU|DKR|NKC|
NKC|BIO,|BIO|IST|DKR|NKC|
NKC|BLQ,|BLQ|IST|DKR|NKC|
NKC|BOM,|BOM|IST|DKR|NKC|
NKC|BRE,|BRE|IST|DKR|NKC|
NKC|BSL,|BSL|IST|DKR|NKC|
NKC|BSR,|BSR|IST|DKR|NKC|
NKC|BUD,|BUD|IST|DKR|NKC|
NKC|BUS,|BUS|IST|DKR|NKC|
NKC|CAI,|CAI|IST|DKR|NKC|
NKC|CGN,|CGN|IST|DKR|NKC|
NKC|CMN,|CMN|IST|DKR|NKC|
NKC|CND,|CND|IST|DKR|NKC|
NKC|DAR,|DAR|IST|DKR|NKC|
NKC|DLM,|DLM|IST|DKR|NKC|
NKC|DMM,|DMM|IST|DKR|NKC|
NKC|DNK,|DNK|IST|DKR|NKC|
NKC|DNZ,|DNZ|IST|DKR|NKC|
NKC|DOK,|DOK|IST|DKR|NKC|
NKC|DUS,|DUS|IST|DKR|NKC|
NKC|EDI,|EDI|IST|DKR|NKC|
NKC|ELQ,|ELQ|IST|DKR|NKC|
NKC|FDH,|FDH|IST|DKR|NKC|
NKC|GOA,|GOA|IST|DKR|NKC|
NKC|GOT,|GOT|BRU|DKR|NKC|
NKC|HAJ,|HAJ|BRU|DKR|NKC|
NKC|HBE,|HBE|IST|DKR|NKC|
