WUH|NUE,|NUE|IST|URC|WUH|
WUH|ODS,|ODS|IST|URC|WUH|
WUH|ORN,|ORN|IST|URC|WUH|
WUH|OTP,|OTP|IST|URC|WUH|
WUH|PRG,|PRG|IST|URC|WUH|
WUH|PRN,|PRN|IST|URC|WUH|
WUH|RIX,|RIX|IST|URC|WUH|
WUH|ROV,|ROV|IST|URC|WUH|
WUH|RTM,|RTM|IST|URC|WUH|
WUH|RUH,|RUH|IST|URC|WUH|
WUH|SAH,|SAH|IST|URC|WUH|
WUH|SJJ,|SJJ|IST|URC|WUH|
WUH|SKG,|SKG|IST|URC|WUH|
WUH|SKP,|SKP|IST|URC|WUH|
WUH|SSH,|SSH|IST|URC|WUH|
WUH|STR,|STR|IST|URC|WUH|
WUH|SVX,|SVX|IST|URC|WUH|
WUH|SYZ,|SYZ|IST|URC|WUH|
WUH|SZG,|SZG|IST|URC|WUH|
WUH|TBZ,|TBZ|IST|URC|WUH|
WUH|TGD,|TGD|IST|URC|WUH|
WUH|TIA,|TIA|IST|URC|WUH|
WUH|TIF,|TIF|IST|URC|WUH|
WUH|TIP,|TIP|IST|URC|WUH|
WUH|TLL,|TLL|IST|URC|WUH|
WUH|TLS,|TLS|IST|URC|WUH|
WUH|TRN,|TRN|IST|URC|WUH|
WUH|TUN,|TUN|IST|URC|WUH|
WUH|TXL,|TXL|IST|URC|WUH|
WUH|UFA,|UFA|IST|URC|WUH|
WUH|VAS,|VAS|SAW|TBS|URC|WUH|
WUH|VCE,|VCE|IST|URC|WUH|
WUH|YNB,|YNB|IST|URC|WUH|
WUH|ZAG,|ZAG|IST|URC|WUH|
WUH|MGQ,|MGQ|JIB|IST|URC|WUH|
WUH|CPT,|CPT|JNB|IST|URC|WUH|
WUH|MBA,|MBA|JRO|IST|URC|WUH|
WUH|NDJ,|NDJ|KAN|IST|URC|WUH|
WUH|CMB,|CMB|MLE|CAN|WUH|
WUH|ADE,|ADE|SAH|IST|URC|WUH|
WUH|ASF,|ASF|SAW|TBS|URC|WUH|
WUH|STW,|STW|SAW|TBS|URC|WUH|
WUH|LFW,|LFW|ABJ|OUA|NIM|IST|URC|WUH|
WUH|CEC,|CEC|SFO|ICN|WUH|
WUH|SMF,|SMF|SFO|ICN|WUH|
WUH|CDR,|CDR|AIA|DEN|YVR|ICN|WUH|
WUH|FMN,|FMN|DEN|YVR|ICN|WUH|
WUH|JST,|JST|IAD|PEK|WUH|
WUH|JHW,|JHW|CLE|YYZ|PEK|WUH|
WUH|SHD,|SHD|IAD|PEK|WUH|
WUH|PTY,|PTY|ORD|PEK|WUH|
WUH|FNA,|FNA|BRU|IST|URC|WUH|
WUH|SXB,|SXB|BRU|IST|URC|WUH|
WUH|ACV,|ACV|SFO|ICN|WUH|
WUH|MGW,|MGW|IAD|PEK|WUH|
WUH|ALB,|ALB|EWR|PEK|WUH|
WUH|AUS,|AUS|DEN|YVR|ICN|WUH|
WUH|BFD,|BFD|CLE|YYZ|PEK|WUH|
WUH|BUF,|BUF|CLE|YYZ|PEK|WUH|
WUH|CHS,|CHS|ORD|PEK|WUH|
WUH|DAY,|DAY|ORD|PEK|WUH|
WUH|DUJ,|DUJ|CLE|YYZ|PEK|WUH|
WUH|ERI,|ERI|CLE|YYZ|PEK|WUH|
WUH|FKL,|FKL|CLE|YYZ|PEK|WUH|
WUH|FNT,|FNT|CLE|YYZ|PEK|WUH|
WUH|GRR,|GRR|ORD|PEK|WUH|
WUH|GSP,|GSP|ORD|PEK|WUH|
WUH|PBI,|PBI|ATL|ORD|PEK|WUH|
WUH|PKB,|PKB|CLE|YYZ|PEK|WUH|
WUH|RIC,|RIC|IAD|PEK|WUH|
WUH|SDF,|SDF|ORD|PEK|WUH|
WUH|GUM,|GUM|HKG|WUH|
WUH|WRL,|WRL|CYS|DEN|YVR|ICN|WUH|
WUH|LBL,|WUH|
WUH|ABQ,|ABQ|SEA|ICN|WUH|
WUH|AIA,|AIA|DEN|YVR|ICN|WUH|
WUH|ALS,|ALS|DEN|YVR|ICN|WUH|
WUH|AMA,|AMA|DEN|YVR|ICN|WUH|
