SAN|TLS,|TLS|IST|LAX|SAN|
SAN|TRN,|TRN|IST|LAX|SAN|
SAN|TUN,|TUN|IST|LAX|SAN|
SAN|TXL,|TXL|EWR|SAN|
SAN|UFA,|UFA|IST|LAX|SAN|
SAN|VAS,|VAS|IST|LAX|SAN|
SAN|VCE,|VCE|IST|LAX|SAN|
SAN|YNB,|YNB|IST|LAX|SAN|
SAN|ZAG,|ZAG|IST|LAX|SAN|
SAN|MGQ,|MGQ|JIB|IST|LAX|SAN|
SAN|CPT,|CPT|JNB|DKR|IAD|SAN|
SAN|MBA,|MBA|JRO|IST|LAX|SAN|
SAN|NDJ,|NDJ|KAN|IST|LAX|SAN|
SAN|CMB,|CMB|MLE|CAN|LAX|SAN|
SAN|ADE,|ADE|SAH|IST|LAX|SAN|
SAN|ASF,|ASF|SAW|FRA|DEN|SAN|
SAN|STW,|STW|SAW|FRA|DEN|SAN|
SAN|LFW,|LFW|ABJ|BRU|ORD|SAN|
SAN|CEC,|CEC|ACV|SMF|SAN|
SAN|SMF,|SMF|SAN|
SAN|CDR,|CDR|AIA|DEN|SAN|
SAN|FMN,|FMN|SOW|PHX|SAN|
SAN|JST,|JST|IAD|SAN|
SAN|JHW,|JHW|CLE|MCI|SAN|
SAN|SHD,|SHD|IAD|SAN|
SAN|PTY,|PTY|IAH|SAN|
SAN|FNA,|FNA|BRU|ORD|SAN|
SAN|SXB,|SXB|BRU|ORD|SAN|
SAN|ACV,|ACV|SMF|SAN|
SAN|MGW,|MGW|IAD|SAN|
SAN|ALB,|ALB|MDW|SAN|
SAN|AUS,|AUS|SAN|
SAN|BFD,|BFD|CLE|MCI|SAN|
SAN|BUF,|BUF|ORD|SAN|
SAN|CHS,|CHS|ATL|SAN|
SAN|DAY,|DAY|DEN|SAN|
SAN|DUJ,|DUJ|CLE|MCI|SAN|
