BUD|CMB,|CMB|MLE|IST|BUD|
BUD|ADE,|ADE|SAH|IST|BUD|
BUD|ASF,|ASF|SAW|ADB|IST|BUD|
BUD|STW,|STW|SAW|ADB|IST|BUD|
BUD|LFW,|LFW|ABJ|OUA|NIM|IST|BUD|
BUD|CEC,|CEC|ACV|SMF|SEA|FRA|IST|BUD|
BUD|SMF,|SMF|SEA|FRA|IST|BUD|
BUD|CDR,|CDR|AIA|DEN|FRA|IST|BUD|
BUD|FMN,|FMN|DEN|FRA|IST|BUD|
BUD|JST,|JST|IAD|IST|BUD|
BUD|JHW,|JHW|CLE|YYZ|IST|BUD|
BUD|SHD,|SHD|IAD|IST|BUD|
BUD|PTY,|PTY|MIA|ZRH|IST|BUD|
BUD|FNA,|FNA|BRU|IST|BUD|
BUD|SXB,|SXB|BRU|IST|BUD|
BUD|ACV,|ACV|SMF|SEA|FRA|IST|BUD|
BUD|MGW,|MGW|IAD|IST|BUD|
BUD|ALB,|ALB|EWR|BHX|IST|BUD|
BUD|AUS,|AUS|ORD|IST|BUD|
BUD|BFD,|BFD|CLE|YYZ|IST|BUD|
BUD|BUF,|BUF|EWR|BHX|IST|BUD|
BUD|CHS,|CHS|EWR|BHX|IST|BUD|
BUD|DAY,|DAY|CLE|YYZ|IST|BUD|
BUD|DUJ,|DUJ|CLE|YYZ|IST|BUD|
BUD|ERI,|ERI|CLE|YYZ|IST|BUD|
BUD|FKL,|FKL|CLE|YYZ|IST|BUD|
BUD|FNT,|FNT|CLE|YYZ|IST|BUD|
BUD|GRR,|GRR|CLE|YYZ|IST|BUD|
BUD|GSP,|GSP|EWR|BHX|IST|BUD|
BUD|PBI,|PBI|EWR|BHX|IST|BUD|
BUD|PKB,|PKB|CLE|YYZ|IST|BUD|
BUD|RIC,|RIC|EWR|BHX|IST|BUD|
BUD|SDF,|SDF|CLE|YYZ|IST|BUD|
BUD|GUM,|GUM|FUK|ICN|IST|BUD|
BUD|WRL,|WRL|CYS|DEN|FRA|IST|BUD|
BUD|LBL,|BUD|
BUD|ABQ,|ABQ|DEN|FRA|IST|BUD|
