MDE|ZHA,|ZHA|CAN|PEK|ORD|MIA|MDE|
MDE|ZYI,|ZYI|PEK|ORD|MIA|MDE|
MDE|BAV,|BAV|CGO|PEK|ORD|MIA|MDE|
MDE|CJU,|CJU|DLC|PEK|ORD|MIA|MDE|
MDE|DSN,|DSN|CGO|PEK|ORD|MIA|MDE|
MDE|HMI,|HMI|URC|TSE|FRA|MIA|MDE|
MDE|INC,|INC|PEK|ORD|MIA|MDE|
MDE|KHH,|KHH|CGO|PEK|ORD|MIA|MDE|
MDE|UYN,|UYN|CGO|PEK|ORD|MIA|MDE|
MDE|XNN,|XNN|PEK|ORD|MIA|MDE|
MDE|ZUH,|ZUH|PEK|ORD|MIA|MDE|
MDE|YNJ,|YNJ|ICN|YVR|DEN|MIA|MDE|
MDE|DAT,|DAT|CIH|PEK|ORD|MIA|MDE|
MDE|JHG,|JHG|CKG|PEK|ORD|MIA|MDE|
MDE|LJG,|LJG|CKG|PEK|ORD|MIA|MDE|
MDE|LXA,|LXA|XIY|PEK|ORD|MIA|MDE|
MDE|YCU,|YCU|CSX|PEK|ORD|MIA|MDE|
MDE|LZO,|LZO|CSX|PEK|ORD|MIA|MDE|
MDE|MDG,|MDG|ICN|YVR|DEN|MIA|MDE|
MDE|NGO,|NGO|ICN|YVR|DEN|MIA|MDE|
MDE|TOY,|TOY|DLC|PEK|ORD|MIA|MDE|
MDE|MFM,|MFM|XMN|PEK|ORD|MIA|MDE|
MDE|TGO,|TGO|HET|DLC|PEK|ORD|MIA|MDE|
MDE|XIL,|XIL|HET|DLC|PEK|ORD|MIA|MDE|
MDE|HEK,|HEK|HRB|PEK|ORD|MIA|MDE|
MDE|KIJ,|KIJ|HRB|PEK|ORD|MIA|MDE|
MDE|LDS,|LDS|HRB|PEK|ORD|MIA|MDE|
MDE|OHE,|OHE|HRB|PEK|ORD|MIA|MDE|
MDE|HSN,|HSN|PEK|ORD|MIA|MDE|
MDE|DLU,|DLU|KMG|PEK|ORD|MIA|MDE|
MDE|SYM,|SYM|KMG|PEK|ORD|MIA|MDE|
MDE|ZAT,|ZAT|KMG|PEK|ORD|MIA|MDE|
MDE|LUN,|LUN|NBO|ZRH|MIA|MDE|
MDE|AOG,|AOG|PEK|ORD|MIA|MDE|
MDE|GMP,|GMP|PEK|ORD|MIA|MDE|
MDE|ISB,|ISB|IST|ZRH|MIA|MDE|
MDE|TAS,|TAS|IST|ZRH|MIA|MDE|
MDE|WUS,|WUS|PEK|ORD|MIA|MDE|
MDE|JMU,|JMU|PVG|ORD|MIA|MDE|
MDE|NDG,|NDG|PVG|ORD|MIA|MDE|
MDE|JXA,|JXA|SHE|PEK|ORD|MIA|MDE|
MDE|PUS,|PUS|SHE|PEK|ORD|MIA|MDE|
MDE|BKI,|BKI|SZX|PEK|ORD|MIA|MDE|
MDE|AKU,|AKU|URC|TSE|FRA|MIA|MDE|
MDE|ALA,|ALA|TSE|FRA|MIA|MDE|
MDE|ASB,|ASB|GYD|FRA|MIA|MDE|
MDE|DNH,|DNH|URC|TSE|FRA|MIA|MDE|
MDE|DYU,|DYU|IST|ZRH|MIA|MDE|
MDE|FRU,|FRU|IST|ZRH|MIA|MDE|
MDE|GYD,|GYD|FRA|MIA|MDE|
MDE|HTN,|HTN|URC|TSE|FRA|MIA|MDE|
MDE|IKA,|IKA|IST|ZRH|MIA|MDE|
MDE|KCA,|KCA|URC|TSE|FRA|MIA|MDE|
MDE|KHG,|KHG|URC|TSE|FRA|MIA|MDE|
MDE|KRL,|KRL|URC|TSE|FRA|MIA|MDE|
MDE|KRY,|KRY|URC|TSE|FRA|MIA|MDE|
MDE|LBD,|LBD|URC|TSE|FRA|MIA|MDE|
MDE|NLT,|NLT|URC|TSE|FRA|MIA|MDE|
MDE|OSS,|OSS|IST|ZRH|MIA|MDE|
MDE|OVB,|OVB|IST|ZRH|MIA|MDE|
MDE|TBS,|TBS|IST|ZRH|MIA|MDE|
MDE|TCG,|TCG|URC|TSE|FRA|MIA|MDE|
MDE|TSE,|TSE|FRA|MIA|MDE|
MDE|YIN,|YIN|URC|TSE|FRA|MIA|MDE|
MDE|ENH,|ENH|WUH|PEK|ORD|MIA|MDE|
MDE|ENY,|ENY|XIY|PEK|ORD|MIA|MDE|
MDE|WXN,|WXN|XIY|PEK|ORD|MIA|MDE|
MDE|BLL,|BLL|IST|ZRH|MIA|MDE|
MDE|ESB,|ESB|FRA|MIA|MDE|
MDE|SAW,|SAW|FRA|MIA|MDE|
MDE|HAM,|HAM|EWR|MIA|MDE|
MDE|HRE,|HRE|ADD|IST|ZRH|MIA|MDE|
MDE|JUB,|JUB|CAI|IST|ZRH|MIA|MDE|
MDE|SSG,|SSG|DLA|BRU|EWR|MIA|MDE|
MDE|BGW,|BGW|IST|ZRH|MIA|MDE|
MDE|EBL,|EBL|IST|ZRH|MIA|MDE|
MDE|VKO,|VKO|IST|ZRH|MIA|MDE|
MDE|MCT,|MCT|IST|ZRH|MIA|MDE|
MDE|AYT,|AYT|IST|ZRH|MIA|MDE|
MDE|SCQ,|SCQ|BIO|IST|ZRH|MIA|MDE|
MDE|AAL,|AAL|IST|ZRH|MIA|MDE|
MDE|AOE,|AOE|BRU|EWR|MIA|MDE|
MDE|JNB,|JNB|DKR|IAD|MIA|MDE|
MDE|LBV,|LBV|DLA|BRU|EWR|MIA|MDE|
MDE|ADA,|ADA|IST|ZRH|MIA|MDE|
MDE|ADB,|ADB|IST|ZRH|MIA|MDE|
MDE|ADF,|ADF|ESB|FRA|MIA|MDE|
MDE|AJI,|AJI|ESB|FRA|MIA|MDE|
MDE|BAL,|BAL|ESB|FRA|MIA|MDE|
MDE|BJV,|BJV|IST|ZRH|MIA|MDE|
MDE|CKZ,|CKZ|ESB|FRA|MIA|MDE|
MDE|DIY,|DIY|ESB|FRA|MIA|MDE|
MDE|ECN,|ECN|IST|ZRH|MIA|MDE|
MDE|ERC,|ERC|ESB|FRA|MIA|MDE|
MDE|ERZ,|ERZ|ESB|FRA|MIA|MDE|
MDE|EZS,|EZS|ESB|FRA|MIA|MDE|
MDE|GNY,|GNY|ESB|FRA|MIA|MDE|
MDE|GZP,|GZP|ESB|FRA|MIA|MDE|
MDE|GZT,|GZT|IST|ZRH|MIA|MDE|
MDE|HTY,|HTY|IST|ZRH|MIA|MDE|
MDE|KCM,|KCM|IST|ZRH|MIA|MDE|
MDE|KSY,|KSY|IST|ZRH|MIA|MDE|
MDE|MLX,|MLX|ESB|FRA|MIA|MDE|
MDE|MQM,|MQM|ESB|FRA|MIA|MDE|
MDE|MSR,|MSR|ESB|FRA|MIA|MDE|
MDE|TEQ,|TEQ|ESB|FRA|MIA|MDE|
MDE|TZX,|TZX|IST|ZRH|MIA|MDE|
MDE|VAN,|VAN|ESB|FRA|MIA|MDE|
MDE|ULN,|ULN|FRU|IST|ZRH|MIA|MDE|
MDE|HIJ,|HIJ|ICN|YVR|DEN|MIA|MDE|
MDE|VVO,|VVO|ICN|YVR|DEN|MIA|MDE|
MDE|ACC,|ACC|IST|ZRH|MIA|MDE|
MDE|AER,|AER|IST|ZRH|MIA|MDE|
MDE|AGP,|AGP|IST|ZRH|MIA|MDE|
MDE|ALG,|ALG|IST|ZRH|MIA|MDE|
MDE|AMM,|AMM|IST|ZRH|MIA|MDE|
MDE|AQJ,|AQJ|IST|ZRH|MIA|MDE|
MDE|ARN,|ARN|EWR|MIA|MDE|
MDE|ASR,|ASR|IST|ZRH|MIA|MDE|
MDE|ATH,|ATH|IST|ZRH|MIA|MDE|
MDE|BAH,|BAH|IST|ZRH|MIA|MDE|
MDE|BEG,|BEG|IST|ZRH|MIA|MDE|
MDE|BEN,|BEN|IST|ZRH|MIA|MDE|
MDE|BEY,|BEY|IST|ZRH|MIA|MDE|
MDE|BHX,|BHX|EWR|MIA|MDE|
MDE|BIO,|BIO|IST|ZRH|MIA|MDE|
MDE|BLQ,|BLQ|IST|ZRH|MIA|MDE|
MDE|BOM,|BOM|EWR|MIA|MDE|
MDE|BRE,|BRE|IST|ZRH|MIA|MDE|
MDE|BSL,|BSL|IST|ZRH|MIA|MDE|
MDE|BSR,|BSR|IST|ZRH|MIA|MDE|
MDE|BUD,|BUD|IST|ZRH|MIA|MDE|
MDE|BUS,|BUS|IST|ZRH|MIA|MDE|
MDE|CAI,|CAI|IST|ZRH|MIA|MDE|
MDE|CGN,|CGN|IST|ZRH|MIA|MDE|
MDE|CMN,|CMN|IST|ZRH|MIA|MDE|
MDE|CND,|CND|IST|ZRH|MIA|MDE|
MDE|DAR,|DAR|NBO|ZRH|MIA|MDE|
MDE|DLM,|DLM|IST|ZRH|MIA|MDE|
MDE|DMM,|DMM|IST|ZRH|MIA|MDE|
MDE|DNK,|DNK|IST|ZRH|MIA|MDE|
MDE|DNZ,|DNZ|IST|ZRH|MIA|MDE|
MDE|DOK,|DOK|IST|ZRH|MIA|MDE|
MDE|DUS,|DUS|EWR|MIA|MDE|
MDE|EDI,|EDI|EWR|MIA|MDE|
MDE|ELQ,|ELQ|IST|ZRH|MIA|MDE|
MDE|FDH,|FDH|IST|ZRH|MIA|MDE|
MDE|GOA,|GOA|IST|ZRH|MIA|MDE|
MDE|GOT,|GOT|BRU|EWR|MIA|MDE|
MDE|HAJ,|HAJ|BRU|EWR|MIA|MDE|
MDE|HBE,|HBE|IST|ZRH|MIA|MDE|
MDE|HEL,|HEL|IST|ZRH|MIA|MDE|
MDE|HRG,|HRG|IST|ZRH|MIA|MDE|
MDE|IFN,|IFN|IST|ZRH|MIA|MDE|
MDE|ISE,|ISE|IST|ZRH|MIA|MDE|
MDE|ISU,|ISU|IST|ZRH|MIA|MDE|
MDE|JIB,|JIB|IST|ZRH|MIA|MDE|
MDE|JRO,|JRO|IST|ZRH|MIA|MDE|
MDE|KAN,|KAN|IST|ZRH|MIA|MDE|
MDE|KBL,|KBL|IST|ZRH|MIA|MDE|
MDE|KBP,|KBP|IST|ZRH|MIA|MDE|
MDE|KFS,|KFS|IST|ZRH|MIA|MDE|
MDE|KHI,|KHI|IST|ZRH|MIA|MDE|
MDE|KIV,|KIV|IST|ZRH|MIA|MDE|
MDE|KRT,|KRT|IST|ZRH|MIA|MDE|
MDE|KSH,|KSH|IST|ZRH|MIA|MDE|
MDE|KVD,|KVD|IST|ZRH|MIA|MDE|
MDE|KWI,|KWI|IST|ZRH|MIA|MDE|
MDE|KYA,|KYA|IST|ZRH|MIA|MDE|
MDE|KZN,|KZN|IST|ZRH|MIA|MDE|
MDE|KZR,|KZR|IST|ZRH|MIA|MDE|
MDE|LED,|LED|VIE|IAD|MIA|MDE|
MDE|LEJ,|LEJ|IST|ZRH|MIA|MDE|
MDE|LGW,|LGW|IST|ZRH|MIA|MDE|
MDE|LHE,|LHE|IST|ZRH|MIA|MDE|
MDE|LIS,|LIS|MIA|MDE|
MDE|LJU,|LJU|IST|ZRH|MIA|MDE|
MDE|LOS,|LOS|IAH|MIA|MDE|
MDE|LUX,|LUX|IST|ZRH|MIA|MDE|
MDE|LWO,|LWO|IST|ZRH|MIA|MDE|
MDE|LYS,|LYS|IST|ZRH|MIA|MDE|
