CNX|NUE,|NUE|IST|CAN|CNX|
CNX|ODS,|ODS|IST|CAN|CNX|
CNX|ORN,|ORN|IST|CAN|CNX|
CNX|OTP,|OTP|IST|CAN|CNX|
CNX|PRG,|PRG|IST|CAN|CNX|
CNX|PRN,|PRN|IST|CAN|CNX|
CNX|RIX,|RIX|IST|CAN|CNX|
CNX|ROV,|ROV|IST|CAN|CNX|
CNX|RTM,|RTM|IST|CAN|CNX|
CNX|RUH,|RUH|IST|CAN|CNX|
CNX|SAH,|SAH|IST|CAN|CNX|
CNX|SJJ,|SJJ|IST|CAN|CNX|
CNX|SKG,|SKG|IST|CAN|CNX|
CNX|SKP,|SKP|IST|CAN|CNX|
CNX|SSH,|SSH|IST|CAN|CNX|
CNX|STR,|STR|IST|CAN|CNX|
CNX|SVX,|SVX|IST|CAN|CNX|
CNX|SYZ,|SYZ|IST|CAN|CNX|
CNX|SZG,|SZG|IST|CAN|CNX|
CNX|TBZ,|TBZ|IST|CAN|CNX|
CNX|TGD,|TGD|IST|CAN|CNX|
CNX|TIA,|TIA|IST|CAN|CNX|
CNX|TIF,|TIF|IST|CAN|CNX|
CNX|TIP,|TIP|IST|CAN|CNX|
CNX|TLL,|TLL|IST|CAN|CNX|
CNX|TLS,|TLS|IST|CAN|CNX|
CNX|TRN,|TRN|IST|CAN|CNX|
CNX|TUN,|TUN|IST|CAN|CNX|
CNX|TXL,|TXL|IST|CAN|CNX|
CNX|UFA,|UFA|IST|CAN|CNX|
CNX|VAS,|VAS|IST|CAN|CNX|
CNX|VCE,|VCE|IST|CAN|CNX|
CNX|YNB,|YNB|IST|CAN|CNX|
CNX|ZAG,|ZAG|IST|CAN|CNX|
CNX|MGQ,|MGQ|JIB|IST|CAN|CNX|
CNX|CPT,|CPT|JNB|IST|CAN|CNX|
CNX|MBA,|MBA|JRO|IST|CAN|CNX|
CNX|NDJ,|NDJ|KAN|IST|CAN|CNX|
CNX|CMB,|CMB|MLE|CAN|CNX|
CNX|ADE,|ADE|SAH|IST|CAN|CNX|
CNX|ASF,|ASF|SAW|TBS|URC|CAN|CNX|
CNX|STW,|STW|SAW|TBS|URC|CAN|CNX|
CNX|LFW,|LFW|ABJ|OUA|NIM|IST|CAN|CNX|
CNX|CEC,|CEC|SFO|PVG|CAN|CNX|
CNX|SMF,|SMF|SFO|PVG|CAN|CNX|
CNX|CDR,|CDR|AIA|DEN|YVR|CAN|CNX|
CNX|FMN,|FMN|DEN|YVR|CAN|CNX|
CNX|JST,|JST|IAD|PEK|CAN|CNX|
