MTY|NCE,|NCE|IST|IAH|MTY|
MTY|NIM,|NIM|IST|IAH|MTY|
MTY|NJF,|NJF|IST|IAH|MTY|
MTY|NSI,|NSI|BRU|YUL|IAH|MTY|
MTY|NUE,|NUE|IST|IAH|MTY|
MTY|ODS,|ODS|IST|IAH|MTY|
MTY|ORN,|ORN|IST|IAH|MTY|
MTY|OTP,|OTP|IST|IAH|MTY|
MTY|PRG,|PRG|BRU|YUL|IAH|MTY|
MTY|PRN,|PRN|IST|IAH|MTY|
MTY|RIX,|RIX|IST|IAH|MTY|
MTY|ROV,|ROV|IST|IAH|MTY|
MTY|RTM,|RTM|IST|IAH|MTY|
MTY|RUH,|RUH|IST|IAH|MTY|
MTY|SAH,|SAH|IST|IAH|MTY|
MTY|SJJ,|SJJ|IST|IAH|MTY|
MTY|SKG,|SKG|IST|IAH|MTY|
MTY|SKP,|SKP|IST|IAH|MTY|
MTY|SSH,|SSH|IST|IAH|MTY|
MTY|STR,|STR|EWR|IAH|MTY|
MTY|SVX,|SVX|IST|IAH|MTY|
MTY|SYZ,|SYZ|IST|IAH|MTY|
MTY|SZG,|SZG|IST|IAH|MTY|
MTY|TBZ,|TBZ|IST|IAH|MTY|
MTY|TGD,|TGD|IST|IAH|MTY|
MTY|TIA,|TIA|IST|IAH|MTY|
MTY|TIF,|TIF|IST|IAH|MTY|
MTY|TIP,|TIP|IST|IAH|MTY|
