JMU|ATH,|ATH|IST|PVG|JMU|
JMU|BAH,|BAH|KWI|SAW|TBS|URC|PVG|JMU|
JMU|BEG,|BEG|IST|PVG|JMU|
JMU|BEN,|BEN|IST|PVG|JMU|
JMU|BEY,|BEY|IST|PVG|JMU|
JMU|BHX,|BHX|IST|PVG|JMU|
JMU|BIO,|BIO|IST|PVG|JMU|
JMU|BLQ,|BLQ|IST|PVG|JMU|
JMU|BOM,|BOM|IST|PVG|JMU|
JMU|BRE,|BRE|IST|PVG|JMU|
JMU|BSL,|BSL|IST|PVG|JMU|
JMU|BSR,|BSR|IST|PVG|JMU|
JMU|BUD,|BUD|IST|PVG|JMU|
JMU|BUS,|BUS|IST|PVG|JMU|
JMU|CAI,|CAI|IST|PVG|JMU|
JMU|CGN,|CGN|IST|PVG|JMU|
JMU|CMN,|CMN|IST|PVG|JMU|
JMU|CND,|CND|IST|PVG|JMU|
JMU|DAR,|DAR|NBO|CAN|PVG|JMU|
JMU|DLM,|DLM|IST|PVG|JMU|
JMU|DMM,|DMM|IST|PVG|JMU|
JMU|DNK,|DNK|IST|PVG|JMU|
JMU|DNZ,|DNZ|IST|PVG|JMU|
JMU|DOK,|DOK|IST|PVG|JMU|
JMU|DUS,|DUS|IST|PVG|JMU|
JMU|EDI,|EDI|IST|PVG|JMU|
JMU|ELQ,|ELQ|IST|PVG|JMU|
JMU|FDH,|FDH|IST|PVG|JMU|
JMU|GOA,|GOA|IST|PVG|JMU|
JMU|GOT,|GOT|IST|PVG|JMU|
JMU|HAJ,|HAJ|IST|PVG|JMU|
JMU|HBE,|HBE|IST|PVG|JMU|
JMU|HEL,|HEL|IST|PVG|JMU|
JMU|HRG,|HRG|IST|PVG|JMU|
JMU|IFN,|IFN|IST|PVG|JMU|
JMU|ISE,|ISE|IST|PVG|JMU|
JMU|ISU,|ISU|IST|PVG|JMU|
JMU|JIB,|JIB|IST|PVG|JMU|
JMU|JRO,|JRO|IST|PVG|JMU|
JMU|KAN,|KAN|IST|PVG|JMU|
JMU|KBL,|KBL|IST|PVG|JMU|
JMU|KBP,|KBP|IST|PVG|JMU|
JMU|KFS,|KFS|IST|PVG|JMU|
JMU|KHI,|KHI|IST|PVG|JMU|
JMU|KIV,|KIV|IST|PVG|JMU|
JMU|KRT,|KRT|IST|PVG|JMU|
