BHX|TBZ,|TBZ|IST|BHX|
BHX|TGD,|TGD|IST|BHX|
BHX|TIA,|TIA|IST|BHX|
BHX|TIF,|TIF|IST|BHX|
BHX|TIP,|TIP|IST|BHX|
BHX|TLL,|TLL|IST|BHX|
BHX|TLS,|TLS|IST|BHX|
BHX|TRN,|TRN|IST|BHX|
BHX|TUN,|TUN|IST|BHX|
BHX|TXL,|TXL|IST|BHX|
BHX|UFA,|UFA|IST|BHX|
BHX|VAS,|VAS|SAW|BRU|BHX|
BHX|VCE,|VCE|IST|BHX|
BHX|YNB,|YNB|IST|BHX|
BHX|ZAG,|ZAG|IST|BHX|
BHX|MGQ,|MGQ|JIB|IST|BHX|
BHX|CPT,|CPT|JNB|IST|BHX|
BHX|MBA,|MBA|JRO|IST|BHX|
BHX|NDJ,|NDJ|KAN|IST|BHX|
BHX|CMB,|CMB|MLE|IST|BHX|
BHX|ADE,|ADE|SAH|IST|BHX|
BHX|ASF,|ASF|SAW|BRU|BHX|
BHX|STW,|STW|SAW|BRU|BHX|
BHX|LFW,|LFW|ABJ|BRU|BHX|
BHX|CEC,|CEC|ACV|SMF|ORD|EWR|BHX|
BHX|SMF,|SMF|ORD|EWR|BHX|
BHX|CDR,|CDR|AIA|DEN|EWR|BHX|
BHX|FMN,|FMN|DEN|EWR|BHX|
BHX|JST,|JST|IAD|EWR|BHX|
BHX|JHW,|JHW|CLE|EWR|BHX|
BHX|SHD,|SHD|IAD|EWR|BHX|
BHX|PTY,|PTY|EWR|BHX|
BHX|FNA,|FNA|BRU|BHX|
BHX|SXB,|SXB|BRU|BHX|
BHX|ACV,|ACV|SMF|ORD|EWR|BHX|
BHX|MGW,|MGW|IAD|EWR|BHX|
BHX|ALB,|ALB|EWR|BHX|
BHX|AUS,|AUS|EWR|BHX|
BHX|BFD,|BFD|CLE|EWR|BHX|
BHX|BUF,|BUF|EWR|BHX|
BHX|CHS,|CHS|EWR|BHX|
BHX|DAY,|DAY|EWR|BHX|
BHX|DUJ,|DUJ|CLE|EWR|BHX|
BHX|ERI,|ERI|CLE|EWR|BHX|
BHX|FKL,|FKL|CLE|EWR|BHX|
BHX|FNT,|FNT|CLE|EWR|BHX|
BHX|GRR,|GRR|EWR|BHX|
BHX|GSP,|GSP|EWR|BHX|
BHX|PBI,|PBI|EWR|BHX|
BHX|PKB,|PKB|CLE|EWR|BHX|
BHX|RIC,|RIC|EWR|BHX|
BHX|SDF,|SDF|EWR|BHX|
BHX|GUM,|GUM|FUK|ICN|IST|BHX|
BHX|WRL,|WRL|CYS|DEN|EWR|BHX|
BHX|LBL,|BHX|
BHX|ABQ,|ABQ|MCI|EWR|BHX|
BHX|AIA,|AIA|DEN|EWR|BHX|
BHX|ALS,|ALS|DEN|EWR|BHX|
BHX|AMA,|AMA|DAL|LIT|BWI|EWR|BHX|
BHX|ANC,|ANC|ORD|EWR|BHX|
BHX|ASE,|ASE|DEN|EWR|BHX|
BHX|BFL,|BFL|DEN|EWR|BHX|
BHX|BHM,|BHM|BWI|EWR|BHX|
BHX|BIL,|BIL|DEN|EWR|BHX|
BHX|BIS,|BIS|DEN|EWR|BHX|
BHX|BOI,|BOI|ORD|EWR|BHX|
BHX|BUR,|BUR|LAS|EWR|BHX|
BHX|BZN,|BZN|ORD|EWR|BHX|
BHX|CID,|CID|ORD|EWR|BHX|
BHX|COD,|COD|DEN|EWR|BHX|
BHX|COS,|COS|ORD|EWR|BHX|
BHX|CPR,|CPR|DEN|EWR|BHX|
BHX|CYS,|CYS|DEN|EWR|BHX|
BHX|DIK,|DIK|DEN|EWR|BHX|
BHX|DRO,|DRO|DEN|EWR|BHX|
BHX|DSM,|DSM|EWR|BHX|
BHX|EGE,|EGE|DEN|EWR|BHX|
