YYB|MZR,|MZR|IST|YYZ|YYB|
YYB|NAJ,|NAJ|IST|YYZ|YYB|
YYB|NAV,|NAV|IST|YYZ|YYB|
YYB|NCE,|NCE|IST|YYZ|YYB|
YYB|NIM,|NIM|IST|YYZ|YYB|
YYB|NJF,|NJF|IST|YYZ|YYB|
YYB|NSI,|NSI|BRU|YUL|YYZ|YYB|
YYB|NUE,|NUE|IST|YYZ|YYB|
YYB|ODS,|ODS|IST|YYZ|YYB|
YYB|ORN,|ORN|IST|YYZ|YYB|
YYB|OTP,|OTP|IST|YYZ|YYB|
YYB|PRG,|PRG|BRU|YUL|YYZ|YYB|
YYB|PRN,|PRN|IST|YYZ|YYB|
YYB|RIX,|RIX|IST|YYZ|YYB|
YYB|ROV,|ROV|IST|YYZ|YYB|
YYB|RTM,|RTM|IST|YYZ|YYB|
YYB|RUH,|RUH|IST|YYZ|YYB|
YYB|SAH,|SAH|IST|YYZ|YYB|
YYB|SJJ,|SJJ|IST|YYZ|YYB|
YYB|SKG,|SKG|IST|YYZ|YYB|
YYB|SKP,|SKP|IST|YYZ|YYB|
YYB|SSH,|SSH|IST|YYZ|YYB|
YYB|STR,|STR|EWR|YYZ|YYB|
YYB|SVX,|SVX|IST|YYZ|YYB|
YYB|SYZ,|SYZ|IST|YYZ|YYB|
YYB|SZG,|SZG|IST|YYZ|YYB|
YYB|TBZ,|TBZ|IST|YYZ|YYB|
YYB|TGD,|TGD|IST|YYZ|YYB|
YYB|TIA,|TIA|IST|YYZ|YYB|
YYB|TIF,|TIF|IST|YYZ|YYB|
YYB|TIP,|TIP|IST|YYZ|YYB|
YYB|TLL,|TLL|VNO|CPH|YYZ|YYB|
YYB|TLS,|TLS|IST|YYZ|YYB|
