ELM|DIY,|DIY|ESB|VIE|ORD|ELM|
ELM|ECN,|ECN|IST|ORD|ELM|
ELM|ERC,|ERC|ESB|VIE|ORD|ELM|
ELM|ERZ,|ERZ|ESB|VIE|ORD|ELM|
ELM|EZS,|EZS|ESB|VIE|ORD|ELM|
ELM|GNY,|GNY|ESB|VIE|ORD|ELM|
ELM|GZP,|GZP|ESB|VIE|ORD|ELM|
ELM|GZT,|GZT|ESB|VIE|ORD|ELM|
ELM|HTY,|HTY|IST|ORD|ELM|
ELM|KCM,|KCM|ESB|VIE|ORD|ELM|
ELM|KSY,|KSY|ESB|VIE|ORD|ELM|
ELM|MLX,|MLX|ESB|VIE|ORD|ELM|
ELM|MQM,|MQM|ESB|VIE|ORD|ELM|
ELM|MSR,|MSR|ESB|VIE|ORD|ELM|
ELM|TEQ,|TEQ|ESB|VIE|ORD|ELM|
ELM|TZX,|TZX|ESB|VIE|ORD|ELM|
ELM|VAN,|VAN|ESB|VIE|ORD|ELM|
ELM|ULN,|ULN|FRU|IST|ORD|ELM|
ELM|HIJ,|HIJ|ICN|YVR|ORD|ELM|
ELM|VVO,|VVO|ICN|YVR|ORD|ELM|
ELM|ACC,|ACC|IST|ORD|ELM|
ELM|AER,|AER|IST|ORD|ELM|
ELM|AGP,|AGP|IST|ORD|ELM|
ELM|ALG,|ALG|IST|ORD|ELM|
ELM|AMM,|AMM|IST|ORD|ELM|
ELM|AQJ,|AQJ|IST|ORD|ELM|
ELM|ARN,|ARN|EWR|ORD|ELM|
ELM|ASR,|ASR|SAW|VIE|ORD|ELM|
ELM|ATH,|ATH|IST|ORD|ELM|
ELM|BAH,|BAH|IST|ORD|ELM|
ELM|BEG,|BEG|IST|ORD|ELM|
ELM|BEN,|BEN|IST|ORD|ELM|
ELM|BEY,|BEY|IST|ORD|ELM|
ELM|BHX,|BHX|EWR|ORD|ELM|
ELM|BIO,|BIO|IST|ORD|ELM|
ELM|BLQ,|BLQ|IST|ORD|ELM|
ELM|BOM,|BOM|IST|ORD|ELM|
ELM|BRE,|BRE|IST|ORD|ELM|
ELM|BSL,|BSL|IST|ORD|ELM|
ELM|BSR,|BSR|IST|ORD|ELM|
ELM|BUD,|BUD|IST|ORD|ELM|
ELM|BUS,|BUS|IST|ORD|ELM|
ELM|CAI,|CAI|IST|ORD|ELM|
ELM|CGN,|CGN|IST|ORD|ELM|
ELM|CMN,|CMN|IST|ORD|ELM|
ELM|CND,|CND|IST|ORD|ELM|
ELM|DAR,|DAR|NBO|ZRH|ORD|ELM|
ELM|DLM,|DLM|IST|ORD|ELM|
ELM|DMM,|DMM|IST|ORD|ELM|
ELM|DNK,|DNK|IST|ORD|ELM|
