SIN|DYU,|DYU|URC|CAN|SIN|
SIN|FRU,|FRU|URC|CAN|SIN|
SIN|GYD,|GYD|URC|CAN|SIN|
SIN|HTN,|HTN|URC|CAN|SIN|
SIN|IKA,|IKA|URC|CAN|SIN|
SIN|KCA,|KCA|URC|CAN|SIN|
SIN|KHG,|KHG|URC|CAN|SIN|
SIN|KRL,|KRL|URC|CAN|SIN|
SIN|KRY,|KRY|URC|CAN|SIN|
SIN|LBD,|LBD|URC|CAN|SIN|
SIN|NLT,|NLT|URC|CAN|SIN|
SIN|OSS,|OSS|URC|CAN|SIN|
SIN|OVB,|OVB|URC|CAN|SIN|
SIN|TBS,|TBS|URC|CAN|SIN|
SIN|TCG,|TCG|URC|CAN|SIN|
SIN|TSE,|TSE|URC|CAN|SIN|
SIN|YIN,|YIN|URC|CAN|SIN|
SIN|ENH,|ENH|WUH|CAN|SIN|
SIN|ENY,|ENY|XIY|CAN|SIN|
SIN|WXN,|WXN|XMN|SIN|
SIN|BLL,|BLL|IST|SIN|
SIN|ESB,|ESB|IST|SIN|
SIN|SAW,|SAW|ADB|IST|SIN|
SIN|HAM,|HAM|IST|SIN|
SIN|HRE,|HRE|ADD|IST|SIN|
SIN|JUB,|JUB|CAI|IST|SIN|
SIN|SSG,|SSG|DLA|IST|SIN|
SIN|BGW,|BGW|IST|SIN|
SIN|EBL,|EBL|IST|SIN|
SIN|VKO,|VKO|IST|SIN|
SIN|MCT,|MCT|IST|SIN|
SIN|AYT,|AYT|IST|SIN|
SIN|SCQ,|SCQ|BIO|IST|SIN|
SIN|AAL,|AAL|IST|SIN|
SIN|AOE,|AOE|BRU|IST|SIN|
SIN|JNB,|JNB|IST|SIN|
SIN|LBV,|LBV|DLA|IST|SIN|
SIN|ADA,|ADA|IST|SIN|
SIN|ADB,|ADB|IST|SIN|
SIN|ADF,|ADF|IST|SIN|
SIN|AJI,|AJI|IST|SIN|
SIN|BAL,|BAL|IST|SIN|
SIN|BJV,|BJV|IST|SIN|
SIN|CKZ,|CKZ|ESB|IST|SIN|
SIN|DIY,|DIY|IST|SIN|
SIN|ECN,|ECN|IST|SIN|
SIN|ERC,|ERC|IST|SIN|
SIN|ERZ,|ERZ|IST|SIN|
SIN|EZS,|EZS|IST|SIN|
SIN|GNY,|GNY|IST|SIN|
SIN|GZP,|GZP|ESB|IST|SIN|
SIN|GZT,|GZT|IST|SIN|
SIN|HTY,|HTY|IST|SIN|
SIN|KCM,|KCM|IST|SIN|
SIN|KSY,|KSY|IST|SIN|
SIN|MLX,|MLX|IST|SIN|
SIN|MQM,|MQM|IST|SIN|
SIN|MSR,|MSR|IST|SIN|
SIN|TEQ,|TEQ|ESB|IST|SIN|
SIN|TZX,|TZX|IST|SIN|
SIN|VAN,|VAN|IST|SIN|
SIN|ULN,|ULN|FRU|URC|CAN|SIN|
SIN|HIJ,|HIJ|ICN|CAN|SIN|
SIN|VVO,|VVO|ICN|CAN|SIN|
SIN|ACC,|ACC|IST|SIN|
SIN|AER,|AER|IST|SIN|
SIN|AGP,|AGP|IST|SIN|
SIN|ALG,|ALG|IST|SIN|
SIN|AMM,|AMM|IST|SIN|
SIN|AQJ,|AQJ|IST|SIN|
SIN|ARN,|ARN|IST|SIN|
SIN|ASR,|ASR|IST|SIN|
SIN|ATH,|ATH|IST|SIN|
SIN|BAH,|BAH|IST|SIN|
SIN|BEG,|BEG|IST|SIN|
SIN|BEN,|BEN|IST|SIN|
SIN|BEY,|BEY|IST|SIN|
SIN|BHX,|BHX|IST|SIN|
SIN|BIO,|BIO|IST|SIN|
SIN|BLQ,|BLQ|IST|SIN|
SIN|BOM,|BOM|IST|SIN|
SIN|BRE,|BRE|IST|SIN|
SIN|BSL,|BSL|IST|SIN|
SIN|BSR,|BSR|IST|SIN|
SIN|BUD,|BUD|IST|SIN|
SIN|BUS,|BUS|IST|SIN|
SIN|CAI,|CAI|IST|SIN|
SIN|CGN,|CGN|IST|SIN|
SIN|CMN,|CMN|IST|SIN|
SIN|CND,|CND|IST|SIN|
SIN|DAR,|DAR|NBO|CAN|SIN|
SIN|DLM,|DLM|IST|SIN|
SIN|DMM,|DMM|IST|SIN|
SIN|DNK,|DNK|IST|SIN|
SIN|DNZ,|DNZ|IST|SIN|
SIN|DOK,|DOK|IST|SIN|
