PAP|MCT,|MCT|IST|FRA|YUL|PAP|
PAP|AYT,|AYT|IST|FRA|YUL|PAP|
PAP|SCQ,|SCQ|BIO|IST|FRA|YUL|PAP|
PAP|AAL,|AAL|IST|FRA|YUL|PAP|
PAP|AOE,|AOE|BRU|YUL|PAP|
PAP|JNB,|JNB|JFK|YUL|PAP|
PAP|LBV,|LBV|DLA|BRU|YUL|PAP|
PAP|ADA,|ADA|SAW|FRA|YUL|PAP|
PAP|ADB,|ADB|IST|FRA|YUL|PAP|
PAP|ADF,|ADF|ESB|FRA|YUL|PAP|
PAP|AJI,|AJI|ESB|FRA|YUL|PAP|
PAP|BAL,|BAL|ESB|FRA|YUL|PAP|
PAP|BJV,|BJV|IST|FRA|YUL|PAP|
PAP|CKZ,|CKZ|ESB|FRA|YUL|PAP|
PAP|DIY,|DIY|ESB|FRA|YUL|PAP|
PAP|ECN,|ECN|IST|FRA|YUL|PAP|
PAP|ERC,|ERC|ESB|FRA|YUL|PAP|
PAP|ERZ,|ERZ|ESB|FRA|YUL|PAP|
PAP|EZS,|EZS|ESB|FRA|YUL|PAP|
PAP|GNY,|GNY|ESB|FRA|YUL|PAP|
PAP|GZP,|GZP|ESB|FRA|YUL|PAP|
PAP|GZT,|GZT|ESB|FRA|YUL|PAP|
PAP|HTY,|HTY|SAW|FRA|YUL|PAP|
PAP|KCM,|KCM|ESB|FRA|YUL|PAP|
PAP|KSY,|KSY|ESB|FRA|YUL|PAP|
PAP|MLX,|MLX|ESB|FRA|YUL|PAP|
PAP|MQM,|MQM|ESB|FRA|YUL|PAP|
PAP|MSR,|MSR|ESB|FRA|YUL|PAP|
PAP|TEQ,|TEQ|ESB|FRA|YUL|PAP|
PAP|TZX,|TZX|ESB|FRA|YUL|PAP|
PAP|VAN,|VAN|ESB|FRA|YUL|PAP|
PAP|ULN,|ULN|FRU|IST|FRA|YUL|PAP|
PAP|HIJ,|HIJ|ICN|JFK|YUL|PAP|
PAP|VVO,|VVO|ICN|JFK|YUL|PAP|
PAP|ACC,|ACC|IST|FRA|YUL|PAP|
PAP|AER,|AER|IST|FRA|YUL|PAP|
PAP|AGP,|AGP|IST|FRA|YUL|PAP|
PAP|ALG,|ALG|IST|FRA|YUL|PAP|
PAP|AMM,|AMM|IST|FRA|YUL|PAP|
PAP|AQJ,|AQJ|IST|FRA|YUL|PAP|
PAP|ARN,|ARN|EWR|YUL|PAP|
PAP|ASR,|ASR|SAW|FRA|YUL|PAP|
PAP|ATH,|ATH|IST|FRA|YUL|PAP|
PAP|BAH,|BAH|IST|FRA|YUL|PAP|
PAP|BEG,|BEG|IST|FRA|YUL|PAP|
PAP|BEN,|BEN|IST|FRA|YUL|PAP|
PAP|BEY,|BEY|IST|FRA|YUL|PAP|
PAP|BHX,|BHX|EWR|YUL|PAP|
PAP|BIO,|BIO|IST|FRA|YUL|PAP|
PAP|BLQ,|BLQ|IST|FRA|YUL|PAP|
PAP|BOM,|BOM|IST|FRA|YUL|PAP|
