LIS|BJV,|BJV|IST|LIS|
LIS|CKZ,|CKZ|ESB|IST|LIS|
LIS|DIY,|DIY|IST|LIS|
LIS|ECN,|ECN|IST|LIS|
LIS|ERC,|ERC|IST|LIS|
LIS|ERZ,|ERZ|IST|LIS|
LIS|EZS,|EZS|IST|LIS|
LIS|GNY,|GNY|IST|LIS|
LIS|GZP,|GZP|ESB|IST|LIS|
LIS|GZT,|GZT|IST|LIS|
LIS|HTY,|HTY|IST|LIS|
LIS|KCM,|KCM|IST|LIS|
LIS|KSY,|KSY|IST|LIS|
LIS|MLX,|MLX|IST|LIS|
LIS|MQM,|MQM|IST|LIS|
LIS|MSR,|MSR|IST|LIS|
LIS|TEQ,|TEQ|ESB|IST|LIS|
LIS|TZX,|TZX|IST|LIS|
LIS|VAN,|VAN|IST|LIS|
LIS|ULN,|ULN|FRU|IST|LIS|
LIS|HIJ,|HIJ|ICN|IST|LIS|
LIS|VVO,|VVO|ICN|IST|LIS|
LIS|ACC,|ACC|IST|LIS|
LIS|AER,|AER|IST|LIS|
LIS|AGP,|AGP|IST|LIS|
LIS|ALG,|ALG|IST|LIS|
LIS|AMM,|AMM|IST|LIS|
LIS|AQJ,|AQJ|IST|LIS|
LIS|ARN,|ARN|IST|LIS|
LIS|ASR,|ASR|IST|LIS|
LIS|ATH,|ATH|IST|LIS|
LIS|BAH,|BAH|IST|LIS|
LIS|BEG,|BEG|IST|LIS|
LIS|BEN,|BEN|IST|LIS|
LIS|BEY,|BEY|IST|LIS|
LIS|BHX,|BHX|IST|LIS|
LIS|BIO,|BIO|IST|LIS|
LIS|BLQ,|BLQ|IST|LIS|
LIS|BOM,|BOM|IST|LIS|
LIS|BRE,|BRE|IST|LIS|
LIS|BSL,|BSL|IST|LIS|
LIS|BSR,|BSR|IST|LIS|
LIS|BUD,|BUD|IST|LIS|
LIS|BUS,|BUS|IST|LIS|
LIS|CAI,|CAI|IST|LIS|
LIS|CGN,|CGN|IST|LIS|
LIS|CMN,|CMN|IST|LIS|
LIS|CND,|CND|IST|LIS|
LIS|DAR,|DAR|IST|LIS|
LIS|DLM,|DLM|IST|LIS|
LIS|DMM,|DMM|IST|LIS|
LIS|DNK,|DNK|IST|LIS|
LIS|DNZ,|DNZ|IST|LIS|
LIS|DOK,|DOK|IST|LIS|
LIS|DUS,|DUS|IST|LIS|
LIS|EDI,|EDI|IST|LIS|
LIS|ELQ,|ELQ|IST|LIS|
LIS|FDH,|FDH|IST|LIS|
LIS|GOA,|GOA|IST|LIS|
LIS|GOT,|GOT|IST|LIS|
LIS|HAJ,|HAJ|IST|LIS|
LIS|HBE,|HBE|IST|LIS|
LIS|HEL,|HEL|IST|LIS|
LIS|HRG,|HRG|IST|LIS|
LIS|IFN,|IFN|IST|LIS|
LIS|ISE,|ISE|IST|LIS|
LIS|ISU,|ISU|IST|LIS|
LIS|JIB,|JIB|IST|LIS|
LIS|JRO,|JRO|IST|LIS|
LIS|KAN,|KAN|IST|LIS|
LIS|KBL,|KBL|IST|LIS|
LIS|KBP,|KBP|IST|LIS|
LIS|KFS,|KFS|IST|LIS|
LIS|KHI,|KHI|IST|LIS|
LIS|KIV,|KIV|IST|LIS|
LIS|KRT,|KRT|IST|LIS|
LIS|KSH,|KSH|IST|LIS|
LIS|KVD,|KVD|IST|LIS|
LIS|KWI,|KWI|IST|LIS|
LIS|KYA,|KYA|IST|LIS|
LIS|KZN,|KZN|IST|LIS|
LIS|KZR,|KZR|IST|LIS|
LIS|LED,|LED|IST|LIS|
LIS|LEJ,|LEJ|IST|LIS|
LIS|LGW,|LGW|IST|LIS|
LIS|LHE,|LHE|IST|LIS|
LIS|LJU,|LJU|IST|LIS|
LIS|LOS,|LOS|IST|LIS|
LIS|LUX,|LUX|IST|LIS|
LIS|LWO,|LWO|IST|LIS|
LIS|LYS,|LYS|IST|LIS|
LIS|MAD,|MAD|IST|LIS|
LIS|MAN,|MAN|IST|LIS|
LIS|MED,|MED|IST|LIS|
LIS|MHD,|MHD|IST|LIS|
LIS|MLA,|MLA|IST|LIS|
LIS|MRS,|MRS|IST|LIS|
LIS|MSQ,|MSQ|IST|LIS|
LIS|MXP,|MXP|IST|LIS|
LIS|MZH,|MZH|IST|LIS|
LIS|MZR,|MZR|IST|LIS|
LIS|NAJ,|NAJ|IST|LIS|
LIS|NAV,|NAV|IST|LIS|
LIS|NCE,|NCE|IST|LIS|
LIS|NIM,|NIM|IST|LIS|
LIS|NJF,|NJF|IST|LIS|
LIS|NSI,|NSI|IST|LIS|
LIS|NUE,|NUE|IST|LIS|
LIS|ODS,|ODS|IST|LIS|
LIS|ORN,|ORN|IST|LIS|
LIS|OTP,|OTP|IST|LIS|
LIS|PRG,|PRG|IST|LIS|
LIS|PRN,|PRN|IST|LIS|
LIS|RIX,|RIX|IST|LIS|
LIS|ROV,|ROV|IST|LIS|
LIS|RTM,|RTM|IST|LIS|
LIS|RUH,|RUH|IST|LIS|
LIS|SAH,|SAH|IST|LIS|
LIS|SJJ,|SJJ|IST|LIS|
LIS|SKG,|SKG|IST|LIS|
LIS|SKP,|SKP|IST|LIS|
LIS|SSH,|SSH|IST|LIS|
LIS|STR,|STR|IST|LIS|
LIS|SVX,|SVX|IST|LIS|
LIS|SYZ,|SYZ|IST|LIS|
LIS|SZG,|SZG|IST|LIS|
LIS|TBZ,|TBZ|IST|LIS|
LIS|TGD,|TGD|IST|LIS|
LIS|TIA,|TIA|IST|LIS|
LIS|TIF,|TIF|IST|LIS|
LIS|TIP,|TIP|IST|LIS|
LIS|TLL,|TLL|IST|LIS|
LIS|TLS,|TLS|IST|LIS|
LIS|TRN,|TRN|IST|LIS|
LIS|TUN,|TUN|IST|LIS|
LIS|TXL,|TXL|IST|LIS|
LIS|UFA,|UFA|IST|LIS|
LIS|VAS,|VAS|IST|LIS|
LIS|VCE,|VCE|IST|LIS|
LIS|YNB,|YNB|IST|LIS|
LIS|ZAG,|ZAG|IST|LIS|
LIS|MGQ,|MGQ|JIB|IST|LIS|
LIS|CPT,|CPT|JNB|IST|LIS|
LIS|MBA,|MBA|JRO|IST|LIS|
LIS|NDJ,|NDJ|KAN|IST|LIS|
LIS|CMB,|CMB|MLE|IST|LIS|
LIS|ADE,|ADE|SAH|IST|LIS|
LIS|ASF,|ASF|SAW|ADB|IST|LIS|
LIS|STW,|STW|SAW|ADB|IST|LIS|
LIS|LFW,|LFW|ABJ|OUA|NIM|IST|LIS|
LIS|CEC,|CEC|ACV|SMF|ORD|EWR|LIS|
LIS|SMF,|SMF|ORD|EWR|LIS|
LIS|CDR,|CDR|AIA|DEN|EWR|LIS|
LIS|FMN,|FMN|DEN|EWR|LIS|
LIS|JST,|JST|IAD|EWR|LIS|
LIS|JHW,|JHW|CLE|EWR|LIS|
LIS|SHD,|SHD|IAD|EWR|LIS|
LIS|PTY,|PTY|MIA|LIS|
LIS|FNA,|FNA|BRU|IST|LIS|
LIS|SXB,|SXB|BRU|IST|LIS|
LIS|ACV,|ACV|SMF|ORD|EWR|LIS|
LIS|MGW,|MGW|IAD|EWR|LIS|
LIS|ALB,|ALB|EWR|LIS|
LIS|AUS,|AUS|EWR|LIS|
LIS|BFD,|BFD|CLE|EWR|LIS|
LIS|BUF,|BUF|EWR|LIS|
LIS|CHS,|CHS|EWR|LIS|
LIS|DAY,|DAY|EWR|LIS|
LIS|DUJ,|DUJ|CLE|EWR|LIS|
LIS|ERI,|ERI|CLE|EWR|LIS|
LIS|FKL,|FKL|CLE|EWR|LIS|
LIS|FNT,|FNT|CLE|EWR|LIS|
LIS|GRR,|GRR|EWR|LIS|
LIS|GSP,|GSP|EWR|LIS|
LIS|PBI,|PBI|EWR|LIS|
LIS|PKB,|PKB|CLE|EWR|LIS|
LIS|RIC,|RIC|EWR|LIS|
LIS|SDF,|SDF|EWR|LIS|
LIS|GUM,|GUM|FUK|ICN|IST|LIS|
LIS|WRL,|WRL|CYS|DEN|EWR|LIS|
LIS|LBL,|LIS|
LIS|ABQ,|ABQ|MCI|EWR|LIS|
LIS|AIA,|AIA|DEN|EWR|LIS|
LIS|ALS,|ALS|DEN|EWR|LIS|
LIS|AMA,|AMA|DAL|LIT|BWI|EWR|LIS|
LIS|ANC,|ANC|ORD|EWR|LIS|
LIS|ASE,|ASE|DEN|EWR|LIS|
LIS|BFL,|BFL|DEN|EWR|LIS|
LIS|BHM,|BHM|BWI|EWR|LIS|
LIS|BIL,|BIL|DEN|EWR|LIS|
LIS|BIS,|BIS|DEN|EWR|LIS|
LIS|BOI,|BOI|ORD|EWR|LIS|
LIS|BUR,|BUR|LAS|EWR|LIS|
LIS|BZN,|BZN|ORD|EWR|LIS|
LIS|CID,|CID|ORD|EWR|LIS|
LIS|COD,|COD|DEN|EWR|LIS|
LIS|COS,|COS|ORD|EWR|LIS|
LIS|CPR,|CPR|DEN|EWR|LIS|
LIS|CYS,|CYS|DEN|EWR|LIS|
LIS|DIK,|DIK|DEN|EWR|LIS|
LIS|DRO,|DRO|DEN|EWR|LIS|
LIS|DSM,|DSM|EWR|LIS|
LIS|EGE,|EGE|DEN|EWR|LIS|
LIS|ELP,|ELP|DAL|LIT|BWI|EWR|LIS|
LIS|EUG,|EUG|PDX|EWR|LIS|
LIS|FAR,|FAR|ORD|EWR|LIS|
