BFD|DAR,|DAR|NBO|ZRH|YYZ|CLE|BFD|
BFD|DLM,|DLM|IST|YYZ|CLE|BFD|
BFD|DMM,|DMM|IST|YYZ|CLE|BFD|
BFD|DNK,|DNK|IST|YYZ|CLE|BFD|
BFD|DNZ,|DNZ|IST|YYZ|CLE|BFD|
BFD|DOK,|DOK|IST|YYZ|CLE|BFD|
BFD|DUS,|DUS|EWR|CLE|BFD|
BFD|EDI,|EDI|EWR|CLE|BFD|
BFD|ELQ,|ELQ|IST|YYZ|CLE|BFD|
BFD|FDH,|FDH|IST|YYZ|CLE|BFD|
BFD|GOA,|GOA|IST|YYZ|CLE|BFD|
BFD|GOT,|GOT|BRU|YUL|YYZ|CLE|BFD|
BFD|HAJ,|HAJ|BRU|YUL|YYZ|CLE|BFD|
BFD|HBE,|HBE|IST|YYZ|CLE|BFD|
BFD|HEL,|HEL|IST|YYZ|CLE|BFD|
BFD|HRG,|HRG|IST|YYZ|CLE|BFD|
BFD|IFN,|IFN|IST|YYZ|CLE|BFD|
BFD|ISE,|ISE|IST|YYZ|CLE|BFD|
BFD|ISU,|ISU|IST|YYZ|CLE|BFD|
BFD|JIB,|JIB|IST|YYZ|CLE|BFD|
BFD|JRO,|JRO|IST|YYZ|CLE|BFD|
BFD|KAN,|KAN|IST|YYZ|CLE|BFD|
BFD|KBL,|KBL|IST|YYZ|CLE|BFD|
BFD|KBP,|KBP|IST|YYZ|CLE|BFD|
BFD|KFS,|KFS|IST|YYZ|CLE|BFD|
BFD|KHI,|KHI|IST|YYZ|CLE|BFD|
BFD|KIV,|KIV|IST|YYZ|CLE|BFD|
BFD|KRT,|KRT|IST|YYZ|CLE|BFD|
BFD|KSH,|KSH|IST|YYZ|CLE|BFD|
