GZT|ROV,|ROV|IST|GZT|
GZT|RTM,|RTM|IST|GZT|
GZT|RUH,|RUH|IST|GZT|
GZT|SAH,|SAH|IST|GZT|
GZT|SJJ,|SJJ|IST|GZT|
GZT|SKG,|SKG|IST|GZT|
GZT|SKP,|SKP|IST|GZT|
GZT|SSH,|SSH|IST|GZT|
GZT|STR,|STR|IST|GZT|
GZT|SVX,|SVX|IST|GZT|
GZT|SYZ,|SYZ|IST|GZT|
GZT|SZG,|SZG|IST|GZT|
GZT|TBZ,|TBZ|IST|GZT|
GZT|TGD,|TGD|IST|GZT|
GZT|TIA,|TIA|IST|GZT|
GZT|TIF,|TIF|IST|GZT|
GZT|TIP,|TIP|IST|GZT|
GZT|TLL,|TLL|IST|GZT|
GZT|TLS,|TLS|IST|GZT|
GZT|TRN,|TRN|IST|GZT|
GZT|TUN,|TUN|IST|GZT|
GZT|TXL,|TXL|IST|GZT|
GZT|UFA,|UFA|IST|GZT|
GZT|VAS,|VAS|SAW|GZT|
GZT|VCE,|VCE|IST|GZT|
GZT|YNB,|YNB|IST|GZT|
GZT|ZAG,|ZAG|IST|GZT|
GZT|MGQ,|MGQ|JIB|IST|GZT|
GZT|CPT,|CPT|JNB|IST|GZT|
GZT|MBA,|MBA|JRO|IST|GZT|
GZT|NDJ,|NDJ|KAN|IST|GZT|
GZT|CMB,|CMB|MLE|IST|GZT|
GZT|ADE,|ADE|SAH|IST|GZT|
GZT|ASF,|ASF|SAW|GZT|
GZT|STW,|STW|SAW|GZT|
GZT|LFW,|LFW|ABJ|OUA|NIM|IST|GZT|
GZT|CEC,|CEC|ACV|SMF|SEA|FRA|ESB|GZT|
GZT|SMF,|SMF|SEA|FRA|ESB|GZT|
GZT|CDR,|CDR|AIA|DEN|FRA|ESB|GZT|
GZT|FMN,|FMN|DEN|FRA|ESB|GZT|
GZT|JST,|JST|IAD|VIE|ESB|GZT|
