COS|BAH,|BAH|IST|FRA|DEN|COS|
COS|BEG,|BEG|IST|FRA|DEN|COS|
COS|BEN,|BEN|IST|FRA|DEN|COS|
COS|BEY,|BEY|IST|FRA|DEN|COS|
COS|BHX,|BHX|EWR|ORD|COS|
COS|BIO,|BIO|IST|FRA|DEN|COS|
COS|BLQ,|BLQ|IST|FRA|DEN|COS|
COS|BOM,|BOM|IST|FRA|DEN|COS|
COS|BRE,|BRE|IST|FRA|DEN|COS|
COS|BSL,|BSL|IST|FRA|DEN|COS|
COS|BSR,|BSR|IST|FRA|DEN|COS|
COS|BUD,|BUD|IST|FRA|DEN|COS|
COS|BUS,|BUS|IST|FRA|DEN|COS|
COS|CAI,|CAI|IST|FRA|DEN|COS|
COS|CGN,|CGN|IST|FRA|DEN|COS|
COS|CMN,|CMN|IST|FRA|DEN|COS|
COS|CND,|CND|IST|FRA|DEN|COS|
COS|DAR,|DAR|NBO|ZRH|ORD|COS|
COS|DLM,|DLM|IST|FRA|DEN|COS|
COS|DMM,|DMM|IST|FRA|DEN|COS|
COS|DNK,|DNK|IST|FRA|DEN|COS|
COS|DNZ,|DNZ|IST|FRA|DEN|COS|
COS|DOK,|DOK|IST|FRA|DEN|COS|
COS|DUS,|DUS|ORD|COS|
COS|EDI,|EDI|EWR|ORD|COS|
COS|ELQ,|ELQ|IST|FRA|DEN|COS|
COS|FDH,|FDH|IST|FRA|DEN|COS|
COS|GOA,|GOA|IST|FRA|DEN|COS|
COS|GOT,|GOT|BRU|ORD|COS|
COS|HAJ,|HAJ|BRU|ORD|COS|
COS|HBE,|HBE|IST|FRA|DEN|COS|
COS|HEL,|HEL|IST|FRA|DEN|COS|
COS|HRG,|HRG|IST|FRA|DEN|COS|
COS|IFN,|IFN|IST|FRA|DEN|COS|
COS|ISE,|ISE|IST|FRA|DEN|COS|
COS|ISU,|ISU|IST|FRA|DEN|COS|
COS|JIB,|JIB|IST|FRA|DEN|COS|
COS|JRO,|JRO|IST|FRA|DEN|COS|
COS|KAN,|KAN|IST|FRA|DEN|COS|
COS|KBL,|KBL|IST|FRA|DEN|COS|
