SZG|BUF,|BUF|EWR|BHX|IST|SZG|
SZG|CHS,|CHS|EWR|BHX|IST|SZG|
SZG|DAY,|DAY|CLE|YYZ|IST|SZG|
SZG|DUJ,|DUJ|CLE|YYZ|IST|SZG|
SZG|ERI,|ERI|CLE|YYZ|IST|SZG|
SZG|FKL,|FKL|CLE|YYZ|IST|SZG|
SZG|FNT,|FNT|CLE|YYZ|IST|SZG|
SZG|GRR,|GRR|CLE|YYZ|IST|SZG|
SZG|GSP,|GSP|EWR|BHX|IST|SZG|
SZG|PBI,|PBI|EWR|BHX|IST|SZG|
SZG|PKB,|PKB|CLE|YYZ|IST|SZG|
SZG|RIC,|RIC|EWR|BHX|IST|SZG|
SZG|SDF,|SDF|CLE|YYZ|IST|SZG|
SZG|GUM,|GUM|FUK|ICN|IST|SZG|
SZG|WRL,|WRL|CYS|DEN|FRA|IST|SZG|
SZG|LBL,|SZG|
SZG|ABQ,|ABQ|DEN|FRA|IST|SZG|
